Data Table for Weekly Case Trends - New York (excludes NYC)*
Date generated: Mon Dec 05 2022 12:48:18 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
New York,Nov 30 2022,12846,0
New York,Nov 23 2022,11147,0
New York,Nov 16 2022,11353,0
New York,Nov  9 2022,13943,0
New York,Nov  2 2022,14035,0
New York,Oct 26 2022,14004,0
New York,Oct 19 2022,15523,0
New York,Oct 12 2022,16197,0
New York,Oct  5 2022,17224,0
New York,Sep 28 2022,18549,0
New York,Sep 21 2022,18200,0
New York,Sep 14 2022,15540,0
New York,Sep  7 2022,13433,0
New York,Aug 31 2022,15398,0
New York,Aug 24 2022,15923,0
New York,Aug 17 2022,16959,0
New York,Aug 10 2022,18340,0
New York,Aug  3 2022,19537,0
New York,Jul 27 2022,20773,0
New York,Jul 20 2022,20637,0
New York,Jul 13 2022,21803,0
New York,Jul  6 2022,14355,0
New York,Jun 29 2022,16192,0
New York,Jun 22 2022,13996,0
New York,Jun 15 2022,15417,0
New York,Jun  8 2022,19777,0
New York,Jun  1 2022,22935,0
New York,May 25 2022,33374,0
New York,May 18 2022,40665,0
New York,May 11 2022,40109,0
New York,May  4 2022,34718,0
New York,Apr 27 2022,30063,0
New York,Apr 20 2022,26315,0
New York,Apr 13 2022,22279,0
New York,Apr  6 2022,15088,0
New York,Mar 30 2022,11696,0
New York,Mar 23 2022,9311,0
New York,Mar 16 2022,7354,0
New York,Mar  9 2022,7598,0
New York,Mar  2 2022,8528,0
New York,Feb 23 2022,12540,0
New York,Feb 16 2022,18074,0
New York,Feb  9 2022,28720,0
New York,Feb  2 2022,47438,0
New York,Jan 26 2022,83440,0
New York,Jan 19 2022,140484,0
New York,Jan 12 2022,226479,0
New York,Jan  5 2022,206354,0
New York,Dec 29 2021,113651,0
New York,Dec 22 2021,69461,0
New York,Dec 15 2021,49667,0
New York,Dec  8 2021,51116,0
New York,Dec  1 2021,36257,0
New York,Nov 24 2021,37514,0
New York,Nov 17 2021,32013,0
New York,Nov 10 2021,25202,0
New York,Nov  3 2021,21024,0
New York,Oct 27 2021,19023,0
New York,Oct 20 2021,22528,0
New York,Oct 13 2021,23289,0
New York,Oct  6 2021,22867,0
New York,Sep 29 2021,23888,0
New York,Sep 22 2021,24165,0
New York,Sep 15 2021,22877,0
New York,Sep  8 2021,20461,0
New York,Sep  1 2021,21074,0
New York,Aug 25 2021,17406,0
New York,Aug 18 2021,16340,0
New York,Aug 11 2021,13268,0
New York,Aug  4 2021,9079,0
New York,Jul 28 2021,5288,0
New York,Jul 21 2021,3094,0
New York,Jul 14 2021,1891,0
New York,Jul  7 2021,1166,0
New York,Jun 30 2021,980,0
New York,Jun 23 2021,1063,0
New York,Jun 16 2021,1479,0
New York,Jun  9 2021,2244,0
New York,Jun  2 2021,3000,0
New York,May 26 2021,5112,0
New York,May 19 2021,7294,0
New York,May 12 2021,9389,0
New York,May  5 2021,12406,0
New York,Apr 28 2021,15086,0
New York,Apr 21 2021,21167,0
New York,Apr 14 2021,25464,0
New York,Apr  7 2021,26539,0
New York,Mar 31 2021,27874,0
New York,Mar 24 2021,24598,0
New York,Mar 17 2021,22893,0
New York,Mar 10 2021,23040,0
New York,Mar  3 2021,24388,0
New York,Feb 24 2021,22609,0
New York,Feb 17 2021,26475,0
New York,Feb 10 2021,31407,0
New York,Feb  3 2021,38343,0
New York,Jan 27 2021,50816,0
New York,Jan 20 2021,59198,0
New York,Jan 13 2021,71135,0
New York,Jan  6 2021,66198,0
New York,Dec 30 2020,50310,0
New York,Dec 23 2020,48265,0
New York,Dec 16 2020,46707,0
New York,Dec  9 2020,45598,0
New York,Dec  2 2020,33417,0
New York,Nov 25 2020,26025,0
New York,Nov 18 2020,21399,0
New York,Nov 11 2020,16229,0
New York,Nov  4 2020,9292,0
New York,Oct 28 2020,7670,0
New York,Oct 21 2020,6286,0
New York,Oct 14 2020,5906,0
New York,Oct  7 2020,5660,0
New York,Sep 30 2020,3803,0
New York,Sep 23 2020,3064,0
New York,Sep 16 2020,3234,0
New York,Sep  9 2020,3095,0
New York,Sep  2 2020,2897,0
New York,Aug 26 2020,2328,0
New York,Aug 19 2020,2213,0
New York,Aug 12 2020,2330,0
New York,Aug  5 2020,2602,0
New York,Jul 29 2020,2600,0
New York,Jul 22 2020,2418,0
New York,Jul 15 2020,2872,0
New York,Jul  8 2020,2548,0
New York,Jul  1 2020,2286,0
New York,Jun 24 2020,2117,0
New York,Jun 17 2020,2163,0
New York,Jun 10 2020,2825,0
New York,Jun  3 2020,4216,0
New York,May 27 2020,5177,0
New York,May 20 2020,6409,0
New York,May 13 2020,7784,0
New York,May  6 2020,10777,0
New York,Apr 29 2020,19454,0
New York,Apr 22 2020,19359,0
New York,Apr 15 2020,26989,0
New York,Apr  8 2020,32539,0
New York,Apr  1 2020,23524,0
New York,Mar 25 2020,11818,0
New York,Mar 18 2020,1002,0
New York,Mar 11 2020,155,0
New York,Mar  4 2020,10,0
New York,Feb 26 2020,0,0
New York,Feb 19 2020,0,0
New York,Feb 12 2020,0,0
New York,Feb  5 2020,0,0
New York,Jan 29 2020,0,0
