Data Table for Weekly Case Trends - North Dakota
Date generated: Mon Dec 05 2022 12:58:48 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
North Dakota,Nov 30 2022,764,0
North Dakota,Nov 23 2022,809,0
North Dakota,Nov 16 2022,922,0
North Dakota,Nov  9 2022,967,0
North Dakota,Nov  2 2022,900,0
North Dakota,Oct 26 2022,827,0
North Dakota,Oct 19 2022,797,0
North Dakota,Oct 12 2022,982,0
North Dakota,Oct  5 2022,999,0
North Dakota,Sep 28 2022,1020,0
North Dakota,Sep 21 2022,1014,0
North Dakota,Sep 14 2022,967,0
North Dakota,Sep  7 2022,1388,0
North Dakota,Aug 31 2022,1364,0
North Dakota,Aug 24 2022,1509,0
North Dakota,Aug 17 2022,1776,0
North Dakota,Aug 10 2022,1938,0
North Dakota,Aug  3 2022,1856,0
North Dakota,Jul 27 2022,1799,0
North Dakota,Jul 20 2022,1800,0
North Dakota,Jul 13 2022,1557,0
North Dakota,Jul  6 2022,1358,0
North Dakota,Jun 29 2022,1165,0
North Dakota,Jun 22 2022,1253,0
North Dakota,Jun 15 2022,1069,0
North Dakota,Jun  8 2022,1199,0
North Dakota,Jun  1 2022,935,0
North Dakota,May 25 2022,882,0
North Dakota,May 18 2022,723,0
North Dakota,May 11 2022,611,0
North Dakota,May  4 2022,414,0
North Dakota,Apr 27 2022,333,0
North Dakota,Apr 20 2022,273,0
North Dakota,Apr 13 2022,247,0
North Dakota,Apr  6 2022,190,0
North Dakota,Mar 30 2022,230,0
North Dakota,Mar 23 2022,145,0
North Dakota,Mar 16 2022,408,0
North Dakota,Mar  9 2022,567,0
North Dakota,Mar  2 2022,1015,0
North Dakota,Feb 23 2022,1439,0
North Dakota,Feb 16 2022,3139,0
North Dakota,Feb  9 2022,5982,0
North Dakota,Feb  2 2022,9932,0
North Dakota,Jan 26 2022,14476,0
North Dakota,Jan 19 2022,14806,0
North Dakota,Jan 12 2022,9717,0
North Dakota,Jan  5 2022,5204,0
North Dakota,Dec 29 2021,2234,0
North Dakota,Dec 22 2021,2124,0
North Dakota,Dec 15 2021,2405,0
North Dakota,Dec  8 2021,2866,0
North Dakota,Dec  1 2021,3134,0
North Dakota,Nov 24 2021,3104,0
North Dakota,Nov 17 2021,3315,0
North Dakota,Nov 10 2021,3568,0
North Dakota,Nov  3 2021,3470,0
North Dakota,Oct 27 2021,3400,0
North Dakota,Oct 20 2021,3424,0
North Dakota,Oct 13 2021,3831,0
North Dakota,Oct  6 2021,4332,0
North Dakota,Sep 29 2021,4117,0
North Dakota,Sep 22 2021,3237,0
North Dakota,Sep 15 2021,3444,0
North Dakota,Sep  8 2021,2647,0
North Dakota,Sep  1 2021,2289,0
North Dakota,Aug 25 2021,1743,0
North Dakota,Aug 18 2021,1180,0
North Dakota,Aug 11 2021,811,0
North Dakota,Aug  4 2021,523,0
North Dakota,Jul 28 2021,318,0
North Dakota,Jul 21 2021,165,0
North Dakota,Jul 14 2021,151,0
North Dakota,Jul  7 2021,72,0
North Dakota,Jun 30 2021,97,0
North Dakota,Jun 23 2021,119,0
North Dakota,Jun 16 2021,191,0
North Dakota,Jun  9 2021,254,0
North Dakota,Jun  2 2021,264,0
North Dakota,May 26 2021,416,0
North Dakota,May 19 2021,603,0
North Dakota,May 12 2021,679,0
North Dakota,May  5 2021,927,0
North Dakota,Apr 28 2021,934,0
North Dakota,Apr 21 2021,1005,0
North Dakota,Apr 14 2021,1046,0
North Dakota,Apr  7 2021,1075,0
North Dakota,Mar 31 2021,1096,0
North Dakota,Mar 24 2021,714,0
North Dakota,Mar 17 2021,666,0
North Dakota,Mar 10 2021,546,0
North Dakota,Mar  3 2021,544,0
North Dakota,Feb 24 2021,626,0
North Dakota,Feb 17 2021,663,0
North Dakota,Feb 10 2021,335,0
North Dakota,Feb  3 2021,756,0
North Dakota,Jan 27 2021,932,0
North Dakota,Jan 20 2021,1084,0
North Dakota,Jan 13 2021,1305,0
North Dakota,Jan  6 2021,1334,0
North Dakota,Dec 30 2020,1788,0
North Dakota,Dec 23 2020,2017,0
North Dakota,Dec 16 2020,2538,0
North Dakota,Dec  9 2020,6011,0
North Dakota,Dec  2 2020,4658,0
North Dakota,Nov 25 2020,8249,0
North Dakota,Nov 18 2020,9855,0
North Dakota,Nov 11 2020,9075,0
North Dakota,Nov  4 2020,8391,0
North Dakota,Oct 28 2020,5745,0
North Dakota,Oct 21 2020,5215,0
North Dakota,Oct 14 2020,4092,0
North Dakota,Oct  7 2020,3011,0
North Dakota,Sep 30 2020,2866,0
North Dakota,Sep 23 2020,2643,0
North Dakota,Sep 16 2020,2213,0
North Dakota,Sep  9 2020,1855,0
North Dakota,Sep  2 2020,1808,0
North Dakota,Aug 26 2020,1495,0
North Dakota,Aug 19 2020,995,0
North Dakota,Aug 12 2020,914,0
North Dakota,Aug  5 2020,832,0
North Dakota,Jul 29 2020,861,0
North Dakota,Jul 22 2020,800,0
North Dakota,Jul 15 2020,594,0
North Dakota,Jul  8 2020,356,0
North Dakota,Jul  1 2020,254,0
North Dakota,Jun 24 2020,195,0
North Dakota,Jun 17 2020,225,0
North Dakota,Jun 10 2020,262,0
North Dakota,Jun  3 2020,241,0
North Dakota,May 27 2020,360,0
North Dakota,May 20 2020,431,0
North Dakota,May 13 2020,324,0
North Dakota,May  6 2020,290,0
North Dakota,Apr 29 2020,354,0
North Dakota,Apr 22 2020,314,0
North Dakota,Apr 15 2020,114,0
North Dakota,Apr  8 2020,110,0
North Dakota,Apr  1 2020,96,0
North Dakota,Mar 25 2020,39,0
North Dakota,Mar 18 2020,6,0
North Dakota,Mar 11 2020,0,0
North Dakota,Mar  4 2020,0,0
