Data Table for Weekly Case Trends - Ohio
Date generated: Mon Dec 05 2022 12:59:03 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Ohio,Nov 30 2022,0,0
Ohio,Nov 23 2022,19594,0
Ohio,Nov 16 2022,10868,0
Ohio,Nov  9 2022,12259,0
Ohio,Nov  2 2022,11663,0
Ohio,Oct 26 2022,11097,0
Ohio,Oct 19 2022,8535,0
Ohio,Oct 12 2022,9997,0
Ohio,Oct  5 2022,12101,0
Ohio,Sep 28 2022,14536,0
Ohio,Sep 21 2022,20552,0
Ohio,Sep 14 2022,21731,0
Ohio,Sep  7 2022,25280,0
Ohio,Aug 31 2022,23436,0
Ohio,Aug 24 2022,24067,0
Ohio,Aug 17 2022,26016,0
Ohio,Aug 10 2022,27785,0
Ohio,Aug  3 2022,29876,0
Ohio,Jul 27 2022,26610,0
Ohio,Jul 20 2022,24465,0
Ohio,Jul 13 2022,18838,0
Ohio,Jul  6 2022,17225,0
Ohio,Jun 29 2022,16159,0
Ohio,Jun 22 2022,16169,0
Ohio,Jun 15 2022,18247,0
Ohio,Jun  8 2022,17530,0
Ohio,Jun  1 2022,19546,0
Ohio,May 25 2022,19536,0
Ohio,May 18 2022,15970,0
Ohio,May 11 2022,11013,0
Ohio,May  4 2022,8732,0
Ohio,Apr 27 2022,6889,0
Ohio,Apr 20 2022,4818,0
Ohio,Apr 13 2022,3833,0
Ohio,Apr  6 2022,3092,0
Ohio,Mar 30 2022,3664,0
Ohio,Mar 23 2022,2195,0
Ohio,Mar 16 2022,2278,0
Ohio,Mar  9 2022,5393,0
Ohio,Mar  2 2022,7786,0
Ohio,Feb 23 2022,10176,0
Ohio,Feb 16 2022,16820,0
Ohio,Feb  9 2022,25878,0
Ohio,Feb  2 2022,54640,0
Ohio,Jan 26 2022,101659,0
Ohio,Jan 19 2022,192231,0
Ohio,Jan 12 2022,134150,0
Ohio,Jan  5 2022,137101,0
Ohio,Dec 29 2021,95135,0
Ohio,Dec 22 2021,73049,0
Ohio,Dec 15 2021,55031,0
Ohio,Dec  8 2021,53347,0
Ohio,Dec  1 2021,39030,0
Ohio,Nov 24 2021,39695,0
Ohio,Nov 17 2021,34638,0
Ohio,Nov 10 2021,29590,0
Ohio,Nov  3 2021,24393,0
Ohio,Oct 27 2021,24139,0
Ohio,Oct 20 2021,27305,0
Ohio,Oct 13 2021,34586,0
Ohio,Oct  6 2021,38343,0
Ohio,Sep 29 2021,41642,0
Ohio,Sep 22 2021,46535,0
Ohio,Sep 15 2021,50424,0
Ohio,Sep  8 2021,40839,0
Ohio,Sep  1 2021,35524,0
Ohio,Aug 25 2021,24367,0
Ohio,Aug 18 2021,18793,0
Ohio,Aug 11 2021,14353,0
Ohio,Aug  4 2021,9544,0
Ohio,Jul 28 2021,6123,0
Ohio,Jul 21 2021,4053,0
Ohio,Jul 14 2021,2237,0
Ohio,Jul  7 2021,1683,0
Ohio,Jun 30 2021,1624,0
Ohio,Jun 23 2021,1801,0
Ohio,Jun 16 2021,2183,0
Ohio,Jun  9 2021,2832,0
Ohio,Jun  2 2021,3305,0
Ohio,May 26 2021,6044,0
Ohio,May 19 2021,6354,0
Ohio,May 12 2021,8448,0
Ohio,May  5 2021,9749,0
Ohio,Apr 28 2021,10588,0
Ohio,Apr 21 2021,12452,0
Ohio,Apr 14 2021,15081,0
Ohio,Apr  7 2021,13299,0
Ohio,Mar 31 2021,12895,0
