Data Table for Weekly Case Trends - Oklahoma
Date generated: Mon Dec 05 2022 12:59:17 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Oklahoma,Nov 30 2022,2908,0
Oklahoma,Nov 23 2022,3218,0
Oklahoma,Nov 16 2022,3387,0
Oklahoma,Nov  9 2022,2895,0
Oklahoma,Nov  2 2022,2801,0
Oklahoma,Oct 26 2022,3113,0
Oklahoma,Oct 19 2022,2719,0
Oklahoma,Oct 12 2022,3150,0
Oklahoma,Oct  5 2022,4100,0
Oklahoma,Sep 28 2022,5665,0
Oklahoma,Sep 21 2022,6833,0
Oklahoma,Sep 14 2022,9746,0
Oklahoma,Sep  7 2022,10711,0
Oklahoma,Aug 31 2022,9271,0
Oklahoma,Aug 24 2022,9718,0
Oklahoma,Aug 17 2022,12187,0
Oklahoma,Aug 10 2022,11852,0
Oklahoma,Aug  3 2022,12328,0
Oklahoma,Jul 27 2022,11412,0
Oklahoma,Jul 20 2022,10309,0
Oklahoma,Jul 13 2022,9200,0
Oklahoma,Jul  6 2022,7483,0
Oklahoma,Jun 29 2022,5850,0
Oklahoma,Jun 22 2022,4911,0
Oklahoma,Jun 15 2022,3884,0
Oklahoma,Jun  8 2022,3056,0
Oklahoma,Jun  1 2022,2448,0
Oklahoma,May 25 2022,2037,0
Oklahoma,May 18 2022,2137,0
Oklahoma,May 11 2022,1448,0
Oklahoma,May  4 2022,1747,0
Oklahoma,Apr 27 2022,1758,0
Oklahoma,Apr 20 2022,1188,0
Oklahoma,Apr 13 2022,2055,0
Oklahoma,Apr  6 2022,1827,0
Oklahoma,Mar 30 2022,1806,0
Oklahoma,Mar 23 2022,2958,0
Oklahoma,Mar 16 2022,2155,0
Oklahoma,Mar  9 2022,1705,0
Oklahoma,Mar  2 2022,5805,0
Oklahoma,Feb 23 2022,6403,0
Oklahoma,Feb 16 2022,10056,0
Oklahoma,Feb  9 2022,16543,0
Oklahoma,Feb  2 2022,52904,0
Oklahoma,Jan 26 2022,78036,0
Oklahoma,Jan 19 2022,77828,0
Oklahoma,Jan 12 2022,50294,0
Oklahoma,Jan  5 2022,24077,0
Oklahoma,Dec 29 2021,9516,0
Oklahoma,Dec 22 2021,6703,0
Oklahoma,Dec 15 2021,7689,0
Oklahoma,Dec  8 2021,9378,0
Oklahoma,Dec  1 2021,5292,0
Oklahoma,Nov 24 2021,5646,0
Oklahoma,Nov 17 2021,5885,0
Oklahoma,Nov 10 2021,3926,0
Oklahoma,Nov  3 2021,4401,0
Oklahoma,Oct 27 2021,5602,0
Oklahoma,Oct 20 2021,7248,0
Oklahoma,Oct 13 2021,8678,0
Oklahoma,Oct  6 2021,8949,0
Oklahoma,Sep 29 2021,11085,0
Oklahoma,Sep 22 2021,13113,0
Oklahoma,Sep 15 2021,15464,0
Oklahoma,Sep  8 2021,17727,0
Oklahoma,Sep  1 2021,19574,0
Oklahoma,Aug 25 2021,15899,0
Oklahoma,Aug 18 2021,15471,0
Oklahoma,Aug 11 2021,14214,0
Oklahoma,Aug  4 2021,12286,0
Oklahoma,Jul 28 2021,8651,0
Oklahoma,Jul 21 2021,5249,0
Oklahoma,Jul 14 2021,3477,0
Oklahoma,Jul  7 2021,1825,0
Oklahoma,Jun 30 2021,1438,0
Oklahoma,Jun 23 2021,1269,0
Oklahoma,Jun 16 2021,1052,0
Oklahoma,Jun  9 2021,810,0
Oklahoma,Jun  2 2021,788,0
Oklahoma,May 26 2021,1024,0
Oklahoma,May 19 2021,931,0
Oklahoma,May 12 2021,1278,0
Oklahoma,May  5 2021,1626,0
Oklahoma,Apr 28 2021,1676,0
Oklahoma,Apr 21 2021,1734,0
Oklahoma,Apr 14 2021,2319,0
Oklahoma,Apr  7 2021,2168,0
Oklahoma,Mar 31 2021,2298,0
Oklahoma,Mar 24 2021,2694,0
Oklahoma,Mar 17 2021,3348,0
Oklahoma,Mar 10 2021,4575,0
Oklahoma,Mar  3 2021,4783,0
Oklahoma,Feb 24 2021,5233,0
Oklahoma,Feb 17 2021,8214,0
Oklahoma,Feb 10 2021,13530,0
Oklahoma,Feb  3 2021,15273,0
Oklahoma,Jan 27 2021,18877,0
Oklahoma,Jan 20 2021,19091,0
Oklahoma,Jan 13 2021,29897,0
Oklahoma,Jan  6 2021,24630,0
Oklahoma,Dec 30 2020,17877,0
Oklahoma,Dec 23 2020,24145,0
Oklahoma,Dec 16 2020,22279,0
Oklahoma,Dec  9 2020,20648,0
Oklahoma,Dec  2 2020,18003,0
Oklahoma,Nov 25 2020,22917,0
Oklahoma,Nov 18 2020,19089,0
Oklahoma,Nov 11 2020,14563,0
Oklahoma,Nov  4 2020,8621,0
Oklahoma,Oct 28 2020,8296,0
Oklahoma,Oct 21 2020,8231,0
Oklahoma,Oct 14 2020,8268,0
Oklahoma,Oct  7 2020,7158,0
Oklahoma,Sep 30 2020,7034,0
Oklahoma,Sep 23 2020,7882,0
Oklahoma,Sep 16 2020,6354,0
Oklahoma,Sep  9 2020,5803,0
Oklahoma,Sep  2 2020,5287,0
Oklahoma,Aug 26 2020,4906,0
Oklahoma,Aug 19 2020,4532,0
Oklahoma,Aug 12 2020,4830,0
Oklahoma,Aug  5 2020,5944,0
Oklahoma,Jul 29 2020,7330,0
Oklahoma,Jul 22 2020,4485,0
Oklahoma,Jul 15 2020,4919,0
Oklahoma,Jul  8 2020,3774,0
Oklahoma,Jul  1 2020,2605,0
Oklahoma,Jun 24 2020,2604,0
Oklahoma,Jun 17 2020,1428,0
Oklahoma,Jun 10 2020,677,0
Oklahoma,Jun  3 2020,578,0
Oklahoma,May 27 2020,695,0
Oklahoma,May 20 2020,675,0
Oklahoma,May 13 2020,655,0
Oklahoma,May  6 2020,728,0
Oklahoma,Apr 29 2020,580,0
Oklahoma,Apr 22 2020,632,0
Oklahoma,Apr 15 2020,735,0
