Data Table for Weekly Case Trends - Pennsylvania
Date generated: Mon Dec 05 2022 12:59:46 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Pennsylvania,Nov 30 2022,10730,0
Pennsylvania,Nov 23 2022,10052,0
Pennsylvania,Nov 16 2022,9787,0
Pennsylvania,Nov  9 2022,12220,0
Pennsylvania,Nov  2 2022,13070,0
Pennsylvania,Oct 26 2022,12295,0
Pennsylvania,Oct 19 2022,12134,0
Pennsylvania,Oct 12 2022,13382,0
Pennsylvania,Oct  5 2022,12779,0
Pennsylvania,Sep 28 2022,15247,0
Pennsylvania,Sep 21 2022,17291,0
Pennsylvania,Sep 14 2022,18934,0
Pennsylvania,Sep  7 2022,16960,0
Pennsylvania,Aug 31 2022,18280,0
Pennsylvania,Aug 24 2022,20222,0
Pennsylvania,Aug 17 2022,21502,0
Pennsylvania,Aug 10 2022,20658,0
Pennsylvania,Aug  3 2022,21968,0
Pennsylvania,Jul 27 2022,25033,0
Pennsylvania,Jul 20 2022,20086,0
Pennsylvania,Jul 13 2022,19771,0
Pennsylvania,Jul  6 2022,17014,0
Pennsylvania,Jun 29 2022,13912,0
Pennsylvania,Jun 22 2022,15188,0
Pennsylvania,Jun 15 2022,17476,0
Pennsylvania,Jun  8 2022,22212,0
Pennsylvania,Jun  1 2022,24341,0
Pennsylvania,May 25 2022,30637,0
Pennsylvania,May 18 2022,27763,0
Pennsylvania,May 11 2022,22026,0
Pennsylvania,May  4 2022,15004,0
Pennsylvania,Apr 27 2022,11301,0
Pennsylvania,Apr 20 2022,9445,0
Pennsylvania,Apr 13 2022,6984,0
Pennsylvania,Apr  6 2022,4857,0
Pennsylvania,Mar 30 2022,4326,0
Pennsylvania,Mar 23 2022,4241,0
Pennsylvania,Mar 16 2022,5466,0
Pennsylvania,Mar  9 2022,6906,0
Pennsylvania,Mar  2 2022,9935,0
Pennsylvania,Feb 23 2022,16562,0
Pennsylvania,Feb 16 2022,22556,0
Pennsylvania,Feb  9 2022,34456,0
Pennsylvania,Feb  2 2022,68884,0
Pennsylvania,Jan 26 2022,99143,0
Pennsylvania,Jan 19 2022,156708,0
Pennsylvania,Jan 12 2022,201172,0
Pennsylvania,Jan  5 2022,154786,0
Pennsylvania,Dec 29 2021,80353,0
Pennsylvania,Dec 22 2021,56453,0
Pennsylvania,Dec 15 2021,57865,0
Pennsylvania,Dec  8 2021,54636,0
Pennsylvania,Dec  1 2021,40054,0
Pennsylvania,Nov 24 2021,44462,0
Pennsylvania,Nov 17 2021,37486,0
Pennsylvania,Nov 10 2021,31608,0
Pennsylvania,Nov  3 2021,26985,0
Pennsylvania,Oct 27 2021,27670,0
Pennsylvania,Oct 20 2021,30628,0
Pennsylvania,Oct 13 2021,33493,0
Pennsylvania,Oct  6 2021,34007,0
Pennsylvania,Sep 29 2021,33536,0
Pennsylvania,Sep 22 2021,33880,0
Pennsylvania,Sep 15 2021,30622,0
Pennsylvania,Sep  8 2021,25411,0
Pennsylvania,Sep  1 2021,23712,0
Pennsylvania,Aug 25 2021,20063,0
Pennsylvania,Aug 18 2021,14959,0
Pennsylvania,Aug 11 2021,11752,0
Pennsylvania,Aug  4 2021,8251,0
Pennsylvania,Jul 28 2021,4846,0
Pennsylvania,Jul 21 2021,3084,0
Pennsylvania,Jul 14 2021,1798,0
Pennsylvania,Jul  7 2021,1187,0
Pennsylvania,Jun 30 2021,1268,0
Pennsylvania,Jun 23 2021,1658,0
Pennsylvania,Jun 16 2021,2564,0
Pennsylvania,Jun  9 2021,3871,0
Pennsylvania,Jun  2 2021,5151,0
Pennsylvania,May 26 2021,8817,0
Pennsylvania,May 19 2021,11108,0
Pennsylvania,May 12 2021,15290,0
Pennsylvania,May  5 2021,21629,0
Pennsylvania,Apr 28 2021,24820,0
Pennsylvania,Apr 21 2021,30784,0
Pennsylvania,Apr 14 2021,34001,0
Pennsylvania,Apr  7 2021,30049,0
Pennsylvania,Mar 31 2021,29013,0
Pennsylvania,Mar 24 2021,23356,0
Pennsylvania,Mar 17 2021,18663,0
Pennsylvania,Mar 10 2021,17535,0
Pennsylvania,Mar  3 2021,18149,0
Pennsylvania,Feb 24 2021,18033,0
Pennsylvania,Feb 17 2021,21715,0
Pennsylvania,Feb 10 2021,26878,0
Pennsylvania,Feb  3 2021,35126,0
Pennsylvania,Jan 27 2021,35414,0
Pennsylvania,Jan 20 2021,41256,0
Pennsylvania,Jan 13 2021,58068,0
Pennsylvania,Jan  6 2021,51939,0
Pennsylvania,Dec 30 2020,50428,0
Pennsylvania,Dec 23 2020,61842,0
Pennsylvania,Dec 16 2020,74405,0
Pennsylvania,Dec  9 2020,69585,0
Pennsylvania,Dec  2 2020,48478,0
Pennsylvania,Nov 25 2020,46570,0
Pennsylvania,Nov 18 2020,39403,0
Pennsylvania,Nov 11 2020,26260,0
Pennsylvania,Nov  4 2020,17306,0
Pennsylvania,Oct 28 2020,14459,0
Pennsylvania,Oct 21 2020,10688,0
Pennsylvania,Oct 14 2020,9327,0
Pennsylvania,Oct  7 2020,7488,0
Pennsylvania,Sep 30 2020,6730,0
Pennsylvania,Sep 23 2020,5567,0
Pennsylvania,Sep 16 2020,5776,0
Pennsylvania,Sep  9 2020,5706,0
Pennsylvania,Sep  2 2020,5269,0
Pennsylvania,Aug 26 2020,4438,0
Pennsylvania,Aug 19 2020,5108,0
Pennsylvania,Aug 12 2020,5500,0
Pennsylvania,Aug  5 2020,5608,0
Pennsylvania,Jul 29 2020,6655,0
Pennsylvania,Jul 22 2020,5976,0
Pennsylvania,Jul 15 2020,5456,0
Pennsylvania,Jul  8 2020,5033,0
Pennsylvania,Jul  1 2020,4086,0
Pennsylvania,Jun 24 2020,3433,0
Pennsylvania,Jun 17 2020,2993,0
Pennsylvania,Jun 10 2020,3460,0
Pennsylvania,Jun  3 2020,4139,0
Pennsylvania,May 27 2020,5136,0
Pennsylvania,May 20 2020,5836,0
Pennsylvania,May 13 2020,7169,0
Pennsylvania,May  6 2020,8471,0
Pennsylvania,Apr 29 2020,9949,0
Pennsylvania,Apr 22 2020,9575,0
Pennsylvania,Apr 15 2020,10403,0
Pennsylvania,Apr  8 2020,10480,0
Pennsylvania,Apr  1 2020,4691,0
Pennsylvania,Mar 25 2020,1098,0
Pennsylvania,Mar 18 2020,141,0
Pennsylvania,Mar 11 2020,18,0
Pennsylvania,Mar  4 2020,0,0
Pennsylvania,Feb 26 2020,0,0
Pennsylvania,Feb 19 2020,0,0
Pennsylvania,Feb 12 2020,0,0
Pennsylvania,Feb  5 2020,0,0
Pennsylvania,Jan 29 2020,0,0
