Data Table for Weekly Case Trends - South Carolina
Date generated: Mon Dec 05 2022 13:00:47 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
South Carolina,Nov 30 2022,3028,0
South Carolina,Nov 23 2022,3064,0
South Carolina,Nov 16 2022,2954,0
South Carolina,Nov  9 2022,4173,0
South Carolina,Nov  2 2022,3467,0
South Carolina,Oct 26 2022,3093,0
South Carolina,Oct 19 2022,3166,0
South Carolina,Oct 12 2022,3153,0
South Carolina,Oct  5 2022,4207,0
South Carolina,Sep 28 2022,4635,0
South Carolina,Sep 21 2022,6693,0
South Carolina,Sep 14 2022,9106,0
South Carolina,Sep  7 2022,13359,0
South Carolina,Aug 31 2022,13261,0
South Carolina,Aug 24 2022,10272,0
South Carolina,Aug 17 2022,13640,0
South Carolina,Aug 10 2022,15987,0
South Carolina,Aug  3 2022,15956,0
South Carolina,Jul 27 2022,17662,0
South Carolina,Jul 20 2022,13918,0
South Carolina,Jul 13 2022,13446,0
South Carolina,Jul  6 2022,13733,0
South Carolina,Jun 29 2022,11014,0
South Carolina,Jun 22 2022,10621,0
South Carolina,Jun 15 2022,10348,0
South Carolina,Jun  8 2022,9456,0
South Carolina,Jun  1 2022,9205,0
South Carolina,May 25 2022,8034,0
South Carolina,May 18 2022,5753,0
South Carolina,May 11 2022,4515,0
South Carolina,May  4 2022,3186,0
South Carolina,Apr 27 2022,2181,0
South Carolina,Apr 20 2022,1496,0
South Carolina,Apr 13 2022,898,0
South Carolina,Apr  6 2022,1565,0
South Carolina,Mar 30 2022,1022,0
South Carolina,Mar 23 2022,1376,0
South Carolina,Mar 16 2022,1523,0
South Carolina,Mar  9 2022,2422,0
South Carolina,Mar  2 2022,4793,0
South Carolina,Feb 23 2022,11615,0
South Carolina,Feb 16 2022,17514,0
South Carolina,Feb  9 2022,33218,0
South Carolina,Feb  2 2022,66201,0
South Carolina,Jan 26 2022,91718,0
South Carolina,Jan 19 2022,121951,0
South Carolina,Jan 12 2022,96346,0
South Carolina,Jan  5 2022,58240,0
South Carolina,Dec 29 2021,17835,0
South Carolina,Dec 22 2021,8606,0
South Carolina,Dec 15 2021,7299,0
South Carolina,Dec  8 2021,7269,0
South Carolina,Dec  1 2021,4220,0
South Carolina,Nov 24 2021,5060,0
South Carolina,Nov 17 2021,4727,0
South Carolina,Nov 10 2021,4711,0
South Carolina,Nov  3 2021,5544,0
South Carolina,Oct 27 2021,5824,0
South Carolina,Oct 20 2021,8116,0
South Carolina,Oct 13 2021,11146,0
South Carolina,Oct  6 2021,14963,0
South Carolina,Sep 29 2021,19995,0
South Carolina,Sep 22 2021,25100,0
South Carolina,Sep 15 2021,33438,0
South Carolina,Sep  8 2021,35708,0
South Carolina,Sep  1 2021,37740,0
South Carolina,Aug 25 2021,29722,0
South Carolina,Aug 18 2021,24664,0
South Carolina,Aug 11 2021,20305,0
South Carolina,Aug  4 2021,15170,0
South Carolina,Jul 28 2021,8380,0
South Carolina,Jul 21 2021,4047,0
South Carolina,Jul 14 2021,2379,0
South Carolina,Jul  7 2021,1414,0
South Carolina,Jun 30 2021,970,0
South Carolina,Jun 23 2021,626,0
South Carolina,Jun 16 2021,773,0
South Carolina,Jun  9 2021,1060,0
South Carolina,Jun  2 2021,1550,0
South Carolina,May 26 2021,2363,0
South Carolina,May 19 2021,3871,0
South Carolina,May 12 2021,3761,0
South Carolina,May  5 2021,5199,0
South Carolina,Apr 28 2021,5271,0
South Carolina,Apr 21 2021,6436,0
South Carolina,Apr 14 2021,6302,0
South Carolina,Apr  7 2021,7000,0
South Carolina,Mar 31 2021,7699,0
South Carolina,Mar 24 2021,7832,0
South Carolina,Mar 17 2021,7627,0
South Carolina,Mar 10 2021,8477,0
South Carolina,Mar  3 2021,10952,0
South Carolina,Feb 24 2021,16675,0
South Carolina,Feb 17 2021,19229,0
South Carolina,Feb 10 2021,22346,0
South Carolina,Feb  3 2021,23563,0
South Carolina,Jan 27 2021,27388,0
South Carolina,Jan 20 2021,34465,0
South Carolina,Jan 13 2021,32143,0
South Carolina,Jan  6 2021,29760,0
South Carolina,Dec 30 2020,21245,0
South Carolina,Dec 23 2020,22110,0
South Carolina,Dec 16 2020,20676,0
South Carolina,Dec  9 2020,18609,0
South Carolina,Dec  2 2020,9930,0
South Carolina,Nov 25 2020,11459,0
South Carolina,Nov 18 2020,10450,0
South Carolina,Nov 11 2020,8127,0
South Carolina,Nov  4 2020,7388,0
South Carolina,Oct 28 2020,7121,0
South Carolina,Oct 21 2020,6552,0
South Carolina,Oct 14 2020,6102,0
South Carolina,Oct  7 2020,5749,0
South Carolina,Sep 30 2020,6269,0
South Carolina,Sep 23 2020,7566,0
South Carolina,Sep 16 2020,7909,0
South Carolina,Sep  9 2020,5706,0
South Carolina,Sep  2 2020,6413,0
South Carolina,Aug 26 2020,5681,0
South Carolina,Aug 19 2020,5434,0
South Carolina,Aug 12 2020,7507,0
South Carolina,Aug  5 2020,9625,0
South Carolina,Jul 29 2020,10805,0
South Carolina,Jul 22 2020,12797,0
South Carolina,Jul 15 2020,13336,0
South Carolina,Jul  8 2020,10990,0
South Carolina,Jul  1 2020,10021,0
South Carolina,Jun 24 2020,7342,0
South Carolina,Jun 17 2020,4788,0
South Carolina,Jun 10 2020,3298,0
South Carolina,Jun  3 2020,1846,0
