Data Table for Weekly Case Trends - South Dakota
Date generated: Mon Dec 05 2022 13:01:02 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
South Dakota,Nov 30 2022,1108,0
South Dakota,Nov 23 2022,847,0
South Dakota,Nov 16 2022,952,0
South Dakota,Nov  9 2022,871,0
South Dakota,Nov  2 2022,832,0
South Dakota,Oct 26 2022,719,0
South Dakota,Oct 19 2022,631,0
South Dakota,Oct 12 2022,625,0
South Dakota,Oct  5 2022,841,0
South Dakota,Sep 28 2022,732,0
South Dakota,Sep 21 2022,956,0
South Dakota,Sep 14 2022,1173,0
South Dakota,Sep  7 2022,963,0
South Dakota,Aug 31 2022,1292,0
South Dakota,Aug 24 2022,1585,0
South Dakota,Aug 17 2022,1438,0
South Dakota,Aug 10 2022,1373,0
South Dakota,Aug  3 2022,1573,0
South Dakota,Jul 27 2022,1498,0
South Dakota,Jul 20 2022,1514,0
South Dakota,Jul 13 2022,1569,0
South Dakota,Jul  6 2022,1182,0
South Dakota,Jun 29 2022,1254,0
South Dakota,Jun 22 2022,972,0
South Dakota,Jun 15 2022,974,0
South Dakota,Jun  8 2022,970,0
South Dakota,Jun  1 2022,650,0
South Dakota,May 25 2022,594,0
South Dakota,May 18 2022,474,0
South Dakota,May 11 2022,453,0
South Dakota,May  4 2022,370,0
South Dakota,Apr 27 2022,277,0
South Dakota,Apr 20 2022,167,0
South Dakota,Apr 13 2022,127,0
South Dakota,Apr  6 2022,137,0
South Dakota,Mar 30 2022,154,0
South Dakota,Mar 23 2022,205,0
South Dakota,Mar 16 2022,252,0
South Dakota,Mar  9 2022,376,0
South Dakota,Mar  2 2022,600,0
South Dakota,Feb 23 2022,1827,0
South Dakota,Feb 16 2022,1750,0
South Dakota,Feb  9 2022,3048,0
South Dakota,Feb  2 2022,6011,0
South Dakota,Jan 26 2022,10996,0
South Dakota,Jan 19 2022,13973,0
South Dakota,Jan 12 2022,12628,0
South Dakota,Jan  5 2022,6890,0
South Dakota,Dec 29 2021,3148,0
South Dakota,Dec 22 2021,2484,0
South Dakota,Dec 15 2021,2362,0
South Dakota,Dec  8 2021,3260,0
South Dakota,Dec  1 2021,2849,0
South Dakota,Nov 24 2021,2819,0
South Dakota,Nov 17 2021,2650,0
South Dakota,Nov 10 2021,2699,0
South Dakota,Nov  3 2021,2348,0
South Dakota,Oct 27 2021,2221,0
South Dakota,Oct 20 2021,2217,0
South Dakota,Oct 13 2021,2341,0
South Dakota,Oct  6 2021,2448,0
South Dakota,Sep 29 2021,2804,0
South Dakota,Sep 22 2021,2884,0
South Dakota,Sep 15 2021,3323,0
South Dakota,Sep  8 2021,2700,0
South Dakota,Sep  1 2021,2972,0
South Dakota,Aug 25 2021,2169,0
South Dakota,Aug 18 2021,1239,0
South Dakota,Aug 11 2021,858,0
South Dakota,Aug  4 2021,375,0
South Dakota,Jul 28 2021,265,0
South Dakota,Jul 21 2021,197,0
South Dakota,Jul 14 2021,112,0
South Dakota,Jul  7 2021,104,0
South Dakota,Jun 30 2021,80,0
South Dakota,Jun 23 2021,94,0
South Dakota,Jun 16 2021,73,0
South Dakota,Jun  9 2021,86,0
South Dakota,Jun  2 2021,150,0
South Dakota,May 26 2021,241,0
South Dakota,May 19 2021,308,0
South Dakota,May 12 2021,446,0
South Dakota,May  5 2021,671,0
South Dakota,Apr 28 2021,880,0
South Dakota,Apr 21 2021,1138,0
South Dakota,Apr 14 2021,1403,0
South Dakota,Apr  7 2021,1220,0
South Dakota,Mar 31 2021,1404,0
South Dakota,Mar 24 2021,1393,0
South Dakota,Mar 17 2021,1007,0
South Dakota,Mar 10 2021,1122,0
South Dakota,Mar  3 2021,1023,0
South Dakota,Feb 24 2021,1124,0
South Dakota,Feb 17 2021,1105,0
South Dakota,Feb 10 2021,940,0
South Dakota,Feb  3 2021,1027,0
South Dakota,Jan 27 2021,1572,0
South Dakota,Jan 20 2021,1864,0
South Dakota,Jan 13 2021,2497,0
South Dakota,Jan  6 2021,2957,0
South Dakota,Dec 30 2020,2682,0
South Dakota,Dec 23 2020,3435,0
South Dakota,Dec 16 2020,4581,0
South Dakota,Dec  9 2020,5820,0
South Dakota,Dec  2 2020,6061,0
South Dakota,Nov 25 2020,7471,0
South Dakota,Nov 18 2020,9975,0
South Dakota,Nov 11 2020,8907,0
South Dakota,Nov  4 2020,7789,0
South Dakota,Oct 28 2020,6956,0
South Dakota,Oct 21 2020,4829,0
South Dakota,Oct 14 2020,4309,0
South Dakota,Oct  7 2020,3517,0
South Dakota,Sep 30 2020,2756,0
South Dakota,Sep 23 2020,2339,0
South Dakota,Sep 16 2020,1720,0
South Dakota,Sep  9 2020,1570,0
South Dakota,Sep  2 2020,2433,0
South Dakota,Aug 26 2020,1005,0
South Dakota,Aug 19 2020,750,0
South Dakota,Aug 12 2020,665,0
South Dakota,Aug  5 2020,517,0
South Dakota,Jul 29 2020,557,0
South Dakota,Jul 22 2020,426,0
South Dakota,Jul 15 2020,409,0
South Dakota,Jul  8 2020,416,0
South Dakota,Jul  1 2020,407,0
South Dakota,Jun 24 2020,376,0
South Dakota,Jun 17 2020,445,0
South Dakota,Jun 10 2020,438,0
South Dakota,Jun  3 2020,454,0
South Dakota,May 27 2020,529,0
South Dakota,May 20 2020,445,0
South Dakota,May 13 2020,954,0
South Dakota,May  6 2020,404,0
South Dakota,Apr 29 2020,516,0
South Dakota,Apr 22 2020,690,0
South Dakota,Apr 15 2020,775,0
South Dakota,Apr  8 2020,264,0
South Dakota,Apr  1 2020,88,0
South Dakota,Mar 25 2020,30,0
South Dakota,Mar 18 2020,4,0
South Dakota,Mar 11 2020,7,0
South Dakota,Mar  4 2020,0,0
South Dakota,Feb 26 2020,0,0
South Dakota,Feb 19 2020,0,0
South Dakota,Feb 12 2020,0,0
South Dakota,Feb  5 2020,0,0
South Dakota,Jan 29 2020,0,0
