Data Table for Weekly Case Trends - Utah
Date generated: Mon Dec 05 2022 13:02:04 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Utah,Nov 30 2022,3952,0
Utah,Nov 23 2022,3899,0
Utah,Nov 16 2022,3419,0
Utah,Nov  9 2022,3092,0
Utah,Nov  2 2022,2248,0
Utah,Oct 26 2022,2109,0
Utah,Oct 19 2022,1636,0
Utah,Oct 12 2022,1491,0
Utah,Oct  5 2022,1733,0
Utah,Sep 28 2022,1897,0
Utah,Sep 21 2022,2014,0
Utah,Sep 14 2022,2566,0
Utah,Sep  7 2022,2470,0
Utah,Aug 31 2022,2926,0
Utah,Aug 24 2022,3197,0
Utah,Aug 17 2022,3636,0
Utah,Aug 10 2022,4773,0
Utah,Aug  3 2022,5488,0
Utah,Jul 27 2022,5770,0
Utah,Jul 20 2022,7140,0
Utah,Jul 13 2022,7841,0
Utah,Jul  6 2022,6892,0
Utah,Jun 29 2022,7489,0
Utah,Jun 22 2022,6422,0
Utah,Jun 15 2022,6619,0
Utah,Jun  8 2022,7537,0
Utah,Jun  1 2022,5485,0
Utah,May 25 2022,5499,0
Utah,May 18 2022,4290,0
Utah,May 11 2022,3241,0
Utah,May  4 2022,2494,0
Utah,Apr 27 2022,1642,0
Utah,Apr 20 2022,1188,0
Utah,Apr 13 2022,746,0
Utah,Apr  6 2022,702,0
Utah,Mar 30 2022,800,0
Utah,Mar 23 2022,887,0
Utah,Mar 16 2022,1141,0
Utah,Mar  9 2022,1571,0
Utah,Mar  2 2022,2827,0
Utah,Feb 23 2022,4831,0
Utah,Feb 16 2022,9074,0
Utah,Feb  9 2022,15250,0
Utah,Feb  2 2022,29922,0
Utah,Jan 26 2022,59253,0
Utah,Jan 19 2022,76633,0
Utah,Jan 12 2022,62586,0
Utah,Jan  5 2022,29982,0
Utah,Dec 29 2021,10925,0
Utah,Dec 22 2021,6867,0
Utah,Dec 15 2021,7595,0
Utah,Dec  8 2021,9901,0
Utah,Dec  1 2021,8403,0
Utah,Nov 24 2021,10327,0
Utah,Nov 17 2021,11708,0
Utah,Nov 10 2021,11261,0
Utah,Nov  3 2021,10246,0
Utah,Oct 27 2021,11295,0
Utah,Oct 20 2021,8515,0
Utah,Oct 13 2021,9651,0
Utah,Oct  6 2021,9933,0
Utah,Sep 29 2021,9376,0
Utah,Sep 22 2021,10073,0
Utah,Sep 15 2021,11721,0
Utah,Sep  8 2021,9527,0
Utah,Sep  1 2021,9004,0
Utah,Aug 25 2021,7846,0
Utah,Aug 18 2021,7018,0
Utah,Aug 11 2021,5744,0
Utah,Aug  4 2021,6347,0
Utah,Jul 28 2021,4538,0
Utah,Jul 21 2021,4346,0
Utah,Jul 14 2021,3602,0
Utah,Jul  7 2021,2522,0
Utah,Jun 30 2021,2590,0
Utah,Jun 23 2021,2171,0
Utah,Jun 16 2021,1948,0
Utah,Jun  9 2021,1944,0
Utah,Jun  2 2021,1407,0
Utah,May 26 2021,1661,0
Utah,May 19 2021,2179,0
Utah,May 12 2021,2264,0
Utah,May  5 2021,2455,0
Utah,Apr 28 2021,2659,0
Utah,Apr 21 2021,2679,0
Utah,Apr 14 2021,2753,0
Utah,Apr  7 2021,2801,0
Utah,Mar 31 2021,2903,0
Utah,Mar 24 2021,2955,0
Utah,Mar 17 2021,3475,0
Utah,Mar 10 2021,3611,0
Utah,Mar  3 2021,4109,0
Utah,Feb 24 2021,5364,0
Utah,Feb 17 2021,5887,0
Utah,Feb 10 2021,7364,0
Utah,Feb  3 2021,9322,0
Utah,Jan 27 2021,12287,0
Utah,Jan 20 2021,13453,0
Utah,Jan 13 2021,19967,0
Utah,Jan  6 2021,21015,0
Utah,Dec 30 2020,14372,0
Utah,Dec 23 2020,17084,0
Utah,Dec 16 2020,18370,0
Utah,Dec  9 2020,20363,0
Utah,Dec  2 2020,18517,0
Utah,Nov 25 2020,22011,0
Utah,Nov 18 2020,22409,0
Utah,Nov 11 2020,18358,0
Utah,Nov  4 2020,12884,0
Utah,Oct 28 2020,11036,0
Utah,Oct 21 2020,9034,0
Utah,Oct 14 2020,8574,0
Utah,Oct  7 2020,7446,0
Utah,Sep 30 2020,7254,0
Utah,Sep 23 2020,6224,0
Utah,Sep 16 2020,4198,0
Utah,Sep  9 2020,2847,0
Utah,Sep  2 2020,2682,0
Utah,Aug 26 2020,2678,0
Utah,Aug 19 2020,2453,0
Utah,Aug 12 2020,2741,0
Utah,Aug  5 2020,3099,0
Utah,Jul 29 2020,3605,0
Utah,Jul 22 2020,4415,0
Utah,Jul 15 2020,4302,0
Utah,Jul  8 2020,4154,0
Utah,Jul  1 2020,3970,0
Utah,Jun 24 2020,3461,0
Utah,Jun 17 2020,2493,0
Utah,Jun 10 2020,2375,0
Utah,Jun  3 2020,1809,0
Utah,May 27 2020,988,0
Utah,May 20 2020,1102,0
Utah,May 13 2020,1030,0
Utah,May  6 2020,1092,0
Utah,Apr 29 2020,1032,0
Utah,Apr 22 2020,909,0
Utah,Apr 15 2020,723,0
Utah,Apr  8 2020,830,0
Utah,Apr  1 2020,660,0
Utah,Mar 25 2020,272,0
Utah,Mar 18 2020,50,0
Utah,Mar 11 2020,2,0
Utah,Mar  4 2020,0,0
Utah,Feb 26 2020,0,0
Utah,Feb 19 2020,0,0
Utah,Feb 12 2020,0,0
Utah,Feb  5 2020,0,0
Utah,Jan 29 2020,0,0
