Data Table for Weekly Case Trends - Vermont
Date generated: Mon Dec 05 2022 13:02:21 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Vermont,Nov 30 2022,335,0
Vermont,Nov 23 2022,299,0
Vermont,Nov 16 2022,305,0
Vermont,Nov  9 2022,429,0
Vermont,Nov  2 2022,514,0
Vermont,Oct 26 2022,549,0
Vermont,Oct 19 2022,663,0
Vermont,Oct 12 2022,687,0
Vermont,Oct  5 2022,553,0
Vermont,Sep 28 2022,603,0
Vermont,Sep 21 2022,558,0
Vermont,Sep 14 2022,542,0
Vermont,Sep  7 2022,432,0
Vermont,Aug 31 2022,539,0
Vermont,Aug 24 2022,543,0
Vermont,Aug 17 2022,447,0
Vermont,Aug 10 2022,634,0
Vermont,Aug  3 2022,496,0
Vermont,Jul 27 2022,385,0
Vermont,Jul 20 2022,569,0
Vermont,Jul 13 2022,550,0
Vermont,Jul  6 2022,477,0
Vermont,Jun 29 2022,638,0
Vermont,Jun 22 2022,615,0
Vermont,Jun 15 2022,746,0
Vermont,Jun  8 2022,993,0
Vermont,Jun  1 2022,1216,0
Vermont,May 25 2022,1606,0
Vermont,May 18 2022,2397,0
Vermont,May 11 2022,2110,0
Vermont,May  4 2022,2286,0
Vermont,Apr 27 2022,1894,0
Vermont,Apr 20 2022,1854,0
Vermont,Apr 13 2022,1569,0
Vermont,Apr  6 2022,1115,0
Vermont,Mar 30 2022,938,0
Vermont,Mar 23 2022,954,0
Vermont,Mar 16 2022,946,0
Vermont,Mar  9 2022,656,0
Vermont,Mar  2 2022,0,0
Vermont,Feb 23 2022,0,0
Vermont,Feb 16 2022,0,0
Vermont,Feb  9 2022,0,0
Vermont,Feb  2 2022,0,0
Vermont,Jan 26 2022,7541,0
Vermont,Jan 19 2022,14260,0
Vermont,Jan 12 2022,17827,0
Vermont,Jan  5 2022,8498,0
Vermont,Dec 29 2021,4357,0
Vermont,Dec 22 2021,3182,0
Vermont,Dec 15 2021,2997,0
Vermont,Dec  8 2021,3253,0
Vermont,Dec  1 2021,2466,0
Vermont,Nov 24 2021,2716,0
Vermont,Nov 17 2021,2461,0
Vermont,Nov 10 2021,2238,0
Vermont,Nov  3 2021,1733,0
Vermont,Oct 27 2021,1506,0
Vermont,Oct 20 2021,1524,0
Vermont,Oct 13 2021,1648,0
Vermont,Oct  6 2021,1270,0
Vermont,Sep 29 2021,1285,0
Vermont,Sep 22 2021,1432,0
Vermont,Sep 15 2021,1341,0
Vermont,Sep  8 2021,981,0
Vermont,Sep  1 2021,1125,0
Vermont,Aug 25 2021,831,0
Vermont,Aug 18 2021,729,0
Vermont,Aug 11 2021,693,0
Vermont,Aug  4 2021,393,0
Vermont,Jul 28 2021,183,0
Vermont,Jul 21 2021,121,0
Vermont,Jul 14 2021,80,0
Vermont,Jul  7 2021,31,0
Vermont,Jun 30 2021,30,0
Vermont,Jun 23 2021,30,0
Vermont,Jun 16 2021,39,0
Vermont,Jun  9 2021,74,0
Vermont,Jun  2 2021,62,0
Vermont,May 26 2021,152,0
Vermont,May 19 2021,299,0
Vermont,May 12 2021,413,0
Vermont,May  5 2021,486,0
Vermont,Apr 28 2021,498,0
Vermont,Apr 21 2021,664,0
Vermont,Apr 14 2021,995,0
Vermont,Apr  7 2021,1116,0
Vermont,Mar 31 2021,1311,0
Vermont,Mar 24 2021,991,0
Vermont,Mar 17 2021,759,0
Vermont,Mar 10 2021,810,0
Vermont,Mar  3 2021,853,0
Vermont,Feb 24 2021,692,0
Vermont,Feb 17 2021,835,0
Vermont,Feb 10 2021,798,0
Vermont,Feb  3 2021,950,0
Vermont,Jan 27 2021,911,0
Vermont,Jan 20 2021,1013,0
Vermont,Jan 13 2021,1190,0
Vermont,Jan  6 2021,966,0
Vermont,Dec 30 2020,669,0
Vermont,Dec 23 2020,637,0
Vermont,Dec 16 2020,752,0
Vermont,Dec  9 2020,731,0
Vermont,Dec  2 2020,681,0
Vermont,Nov 25 2020,610,0
Vermont,Nov 18 2020,680,0
Vermont,Nov 11 2020,400,0
Vermont,Nov  4 2020,173,0
Vermont,Oct 28 2020,155,0
Vermont,Oct 21 2020,89,0
Vermont,Oct 14 2020,68,0
Vermont,Oct  7 2020,84,0
Vermont,Sep 30 2020,32,0
Vermont,Sep 23 2020,20,0
Vermont,Sep 16 2020,47,0
Vermont,Sep  9 2020,30,0
Vermont,Sep  2 2020,45,0
Vermont,Aug 26 2020,49,0
Vermont,Aug 19 2020,52,0
Vermont,Aug 12 2020,38,0
Vermont,Aug  5 2020,39,0
Vermont,Jul 29 2020,29,0
Vermont,Jul 22 2020,54,0
Vermont,Jul 15 2020,55,0
Vermont,Jul  8 2020,42,0
Vermont,Jul  1 2020,39,0
Vermont,Jun 24 2020,57,0
Vermont,Jun 17 2020,27,0
Vermont,Jun 10 2020,83,0
Vermont,Jun  3 2020,50,0
Vermont,May 27 2020,23,0
Vermont,May 20 2020,23,0
Vermont,May 13 2020,16,0
Vermont,May  6 2020,49,0
Vermont,Apr 29 2020,35,0
Vermont,Apr 22 2020,25,0
Vermont,Apr 15 2020,145,0
Vermont,Apr  8 2020,290,0
Vermont,Apr  1 2020,211,0
Vermont,Mar 25 2020,141,0
Vermont,Mar 18 2020,19,0
Vermont,Mar 11 2020,2,0
Vermont,Mar  4 2020,0,0
Vermont,Feb 26 2020,0,0
Vermont,Feb 19 2020,0,0
Vermont,Feb 12 2020,0,0
Vermont,Feb  5 2020,0,0
Vermont,Jan 29 2020,0,0
