Data Table for Weekly Case Trends - Washington
Date generated: Mon Dec 05 2022 13:03:00 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Washington,Nov 30 2022,5668,0
Washington,Nov 23 2022,5442,0
Washington,Nov 16 2022,4822,0
Washington,Nov  9 2022,4595,0
Washington,Nov  2 2022,4244,0
Washington,Oct 26 2022,4579,0
Washington,Oct 19 2022,3673,0
Washington,Oct 12 2022,5201,0
Washington,Oct  5 2022,6732,0
Washington,Sep 28 2022,7799,0
Washington,Sep 21 2022,7689,0
Washington,Sep 14 2022,7227,0
Washington,Sep  7 2022,6321,0
Washington,Aug 31 2022,8425,0
Washington,Aug 24 2022,8636,0
Washington,Aug 17 2022,10275,0
Washington,Aug 10 2022,12043,0
Washington,Aug  3 2022,14027,0
Washington,Jul 27 2022,15308,0
Washington,Jul 20 2022,18163,0
Washington,Jul 13 2022,19070,0
Washington,Jul  6 2022,17383,0
Washington,Jun 29 2022,19316,0
Washington,Jun 22 2022,17995,0
Washington,Jun 15 2022,17777,0
Washington,Jun  8 2022,20671,0
Washington,Jun  1 2022,17578,0
Washington,May 25 2022,22190,0
Washington,May 18 2022,19769,0
Washington,May 11 2022,16826,0
Washington,May  4 2022,15141,0
Washington,Apr 27 2022,14517,0
Washington,Apr 20 2022,7842,0
Washington,Apr 13 2022,7517,0
Washington,Apr  6 2022,9834,0
Washington,Mar 30 2022,5798,0
Washington,Mar 23 2022,5786,0
Washington,Mar 16 2022,7657,0
Washington,Mar  9 2022,8126,0
Washington,Mar  2 2022,15886,0
Washington,Feb 23 2022,18613,0
Washington,Feb 16 2022,22762,0
Washington,Feb  9 2022,41414,0
Washington,Feb  2 2022,83693,0
Washington,Jan 26 2022,114996,0
Washington,Jan 19 2022,106209,0
Washington,Jan 12 2022,111218,0
Washington,Jan  5 2022,64593,0
Washington,Dec 29 2021,35256,0
Washington,Dec 22 2021,15545,0
Washington,Dec 15 2021,9404,0
Washington,Dec  8 2021,10102,0
Washington,Dec  1 2021,9522,0
Washington,Nov 24 2021,8808,0
Washington,Nov 17 2021,12287,0
Washington,Nov 10 2021,12399,0
Washington,Nov  3 2021,13119,0
Washington,Oct 27 2021,14825,0
Washington,Oct 20 2021,15497,0
Washington,Oct 13 2021,15740,0
Washington,Oct  6 2021,18222,0
Washington,Sep 29 2021,20415,0
Washington,Sep 22 2021,21012,0
Washington,Sep 15 2021,23612,0
Washington,Sep  8 2021,22771,0
Washington,Sep  1 2021,24464,0
Washington,Aug 25 2021,22238,0
Washington,Aug 18 2021,20696,0
Washington,Aug 11 2021,17572,0
Washington,Aug  4 2021,13480,0
Washington,Jul 28 2021,7517,0
Washington,Jul 21 2021,5480,0
Washington,Jul 14 2021,4992,0
Washington,Jul  7 2021,2570,0
Washington,Jun 30 2021,2555,0
Washington,Jun 23 2021,3315,0
Washington,Jun 16 2021,3608,0
Washington,Jun  9 2021,4248,0
Washington,Jun  2 2021,5180,0
Washington,May 26 2021,7465,0
Washington,May 19 2021,6914,0
Washington,May 12 2021,8178,0
Washington,May  5 2021,9943,0
Washington,Apr 28 2021,9112,0
Washington,Apr 21 2021,10216,0
Washington,Apr 14 2021,8616,0
Washington,Apr  7 2021,7443,0
Washington,Mar 31 2021,7057,0
Washington,Mar 24 2021,5364,0
Washington,Mar 17 2021,5312,0
Washington,Mar 10 2021,4658,0
Washington,Mar  3 2021,5503,0
Washington,Feb 24 2021,5847,0
Washington,Feb 17 2021,5737,0
Washington,Feb 10 2021,8168,0
Washington,Feb  3 2021,11123,0
Washington,Jan 27 2021,11156,0
Washington,Jan 20 2021,13124,0
Washington,Jan 13 2021,19270,0
Washington,Jan  6 2021,17351,0
Washington,Dec 30 2020,13169,0
Washington,Dec 23 2020,16528,0
Washington,Dec 16 2020,17673,0
Washington,Dec  9 2020,20885,0
Washington,Dec  2 2020,17006,0
Washington,Nov 25 2020,19245,0
Washington,Nov 18 2020,14515,0
Washington,Nov 11 2020,10833,0
Washington,Nov  4 2020,7363,0
Washington,Oct 28 2020,5157,0
Washington,Oct 21 2020,4713,0
Washington,Oct 14 2020,4448,0
Washington,Oct  7 2020,4021,0
Washington,Sep 30 2020,3998,0
Washington,Sep 23 2020,3238,0
Washington,Sep 16 2020,2919,0
Washington,Sep  9 2020,2744,0
Washington,Sep  2 2020,3326,0
Washington,Aug 26 2020,3660,0
Washington,Aug 19 2020,4201,0
Washington,Aug 12 2020,4447,0
Washington,Aug  5 2020,5110,0
Washington,Jul 29 2020,5769,0
Washington,Jul 22 2020,5755,0
Washington,Jul 15 2020,5636,0
Washington,Jul  8 2020,4448,0
Washington,Jul  1 2020,3732,0
Washington,Jun 24 2020,3185,0
Washington,Jun 17 2020,2308,0
Washington,Jun 10 2020,2115,0
Washington,Jun  3 2020,1906,0
Washington,May 27 2020,1609,0
Washington,May 20 2020,1278,0
Washington,May 13 2020,1494,0
Washington,May  6 2020,1945,0
Washington,Apr 29 2020,1587,0
Washington,Apr 22 2020,1580,0
Washington,Apr 15 2020,1529,0
Washington,Apr  8 2020,3301,0
Washington,Apr  1 2020,3511,0
Washington,Mar 25 2020,1620,0
Washington,Mar 18 2020,886,0
Washington,Mar 11 2020,355,0
Washington,Mar  4 2020,54,0
Washington,Feb 26 2020,0,0
Washington,Feb 19 2020,0,0
Washington,Feb 12 2020,0,0
Washington,Feb  5 2020,0,0
Washington,Jan 29 2020,0,0
