Data Table for Weekly Case Trends - Wyoming
Date generated: Mon Dec 05 2022 13:03:45 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Wyoming,Nov 30 2022,499,0
Wyoming,Nov 23 2022,588,0
Wyoming,Nov 16 2022,489,0
Wyoming,Nov  9 2022,492,0
Wyoming,Nov  2 2022,421,0
Wyoming,Oct 26 2022,411,0
Wyoming,Oct 19 2022,395,0
Wyoming,Oct 12 2022,466,0
Wyoming,Oct  5 2022,436,0
Wyoming,Sep 28 2022,472,0
Wyoming,Sep 21 2022,510,0
Wyoming,Sep 14 2022,456,0
Wyoming,Sep  7 2022,462,0
Wyoming,Aug 31 2022,615,0
Wyoming,Aug 24 2022,726,0
Wyoming,Aug 17 2022,1014,0
Wyoming,Aug 10 2022,1151,0
Wyoming,Aug  3 2022,1291,0
Wyoming,Jul 27 2022,1353,0
Wyoming,Jul 20 2022,1478,0
Wyoming,Jul 13 2022,1704,0
Wyoming,Jul  6 2022,1139,0
Wyoming,Jun 29 2022,1094,0
Wyoming,Jun 22 2022,1144,0
Wyoming,Jun 15 2022,2212,0
Wyoming,Jun  8 2022,1435,0
Wyoming,Jun  1 2022,611,0
Wyoming,May 25 2022,452,0
Wyoming,May 18 2022,378,0
Wyoming,May 11 2022,289,0
Wyoming,May  4 2022,193,0
Wyoming,Apr 27 2022,158,0
Wyoming,Apr 20 2022,133,0
Wyoming,Apr 13 2022,52,0
Wyoming,Apr  6 2022,123,0
Wyoming,Mar 30 2022,112,0
Wyoming,Mar 23 2022,171,0
Wyoming,Mar 16 2022,176,0
Wyoming,Mar  9 2022,347,0
Wyoming,Mar  2 2022,611,0
Wyoming,Feb 23 2022,1001,0
Wyoming,Feb 16 2022,1862,0
Wyoming,Feb  9 2022,3421,0
Wyoming,Feb  2 2022,7292,0
Wyoming,Jan 26 2022,8945,0
Wyoming,Jan 19 2022,8402,0
Wyoming,Jan 12 2022,5645,0
Wyoming,Jan  5 2022,2856,0
Wyoming,Dec 29 2021,1180,0
Wyoming,Dec 22 2021,703,0
Wyoming,Dec 15 2021,812,0
Wyoming,Dec  8 2021,1281,0
Wyoming,Dec  1 2021,1002,0
Wyoming,Nov 24 2021,1606,0
Wyoming,Nov 17 2021,1960,0
Wyoming,Nov 10 2021,2295,0
Wyoming,Nov  3 2021,2491,0
Wyoming,Oct 27 2021,2905,0
Wyoming,Oct 20 2021,2948,0
Wyoming,Oct 13 2021,2976,0
Wyoming,Oct  6 2021,3118,0
Wyoming,Sep 29 2021,3371,0
Wyoming,Sep 22 2021,3697,0
Wyoming,Sep 15 2021,3600,0
Wyoming,Sep  8 2021,3290,0
Wyoming,Sep  1 2021,3479,0
Wyoming,Aug 25 2021,2684,0
Wyoming,Aug 18 2021,2261,0
Wyoming,Aug 11 2021,1630,0
Wyoming,Aug  4 2021,1330,0
Wyoming,Jul 28 2021,635,0
Wyoming,Jul 21 2021,657,0
Wyoming,Jul 14 2021,595,0
Wyoming,Jul  7 2021,447,0
Wyoming,Jun 30 2021,513,0
Wyoming,Jun 23 2021,423,0
Wyoming,Jun 16 2021,412,0
Wyoming,Jun  9 2021,497,0
Wyoming,Jun  2 2021,483,0
Wyoming,May 26 2021,587,0
Wyoming,May 19 2021,479,0
Wyoming,May 12 2021,457,0
Wyoming,May  5 2021,439,0
Wyoming,Apr 28 2021,475,0
Wyoming,Apr 21 2021,397,0
Wyoming,Apr 14 2021,426,0
Wyoming,Apr  7 2021,391,0
Wyoming,Mar 31 2021,424,0
Wyoming,Mar 24 2021,437,0
Wyoming,Mar 17 2021,434,0
Wyoming,Mar 10 2021,396,0
Wyoming,Mar  3 2021,630,0
Wyoming,Feb 24 2021,539,0
Wyoming,Feb 17 2021,562,0
Wyoming,Feb 10 2021,602,0
Wyoming,Feb  3 2021,918,0
Wyoming,Jan 27 2021,1244,0
Wyoming,Jan 20 2021,1835,0
Wyoming,Jan 13 2021,2399,0
Wyoming,Jan  6 2021,1765,0
Wyoming,Dec 30 2020,1461,0
Wyoming,Dec 23 2020,2353,0
Wyoming,Dec 16 2020,2426,0
Wyoming,Dec  9 2020,3394,0
Wyoming,Dec  2 2020,3730,0
Wyoming,Nov 25 2020,5486,0
Wyoming,Nov 18 2020,5898,0
Wyoming,Nov 11 2020,4333,0
Wyoming,Nov  4 2020,2898,0
Wyoming,Oct 28 2020,2297,0
Wyoming,Oct 21 2020,1672,0
Wyoming,Oct 14 2020,1276,0
Wyoming,Oct  7 2020,953,0
Wyoming,Sep 30 2020,778,0
Wyoming,Sep 23 2020,604,0
Wyoming,Sep 16 2020,414,0
Wyoming,Sep  9 2020,241,0
Wyoming,Sep  2 2020,277,0
Wyoming,Aug 26 2020,228,0
Wyoming,Aug 19 2020,328,0
Wyoming,Aug 12 2020,164,0
Wyoming,Aug  5 2020,292,0
Wyoming,Jul 29 2020,338,0
Wyoming,Jul 22 2020,302,0
Wyoming,Jul 15 2020,243,0
Wyoming,Jul  8 2020,226,0
Wyoming,Jul  1 2020,232,0
Wyoming,Jun 24 2020,167,0
Wyoming,Jun 17 2020,134,0
Wyoming,Jun 10 2020,66,0
Wyoming,Jun  3 2020,55,0
Wyoming,May 27 2020,71,0
Wyoming,May 20 2020,100,0
Wyoming,May 13 2020,57,0
Wyoming,May  6 2020,87,0
Wyoming,Apr 29 2020,96,0
Wyoming,Apr 22 2020,161,0
Wyoming,Apr 15 2020,66,0
Wyoming,Apr  8 2020,91,0
Wyoming,Apr  1 2020,86,0
Wyoming,Mar 25 2020,28,0
Wyoming,Mar 18 2020,16,0
Wyoming,Mar 11 2020,0,0
Wyoming,Mar  4 2020,0,0
Wyoming,Feb 26 2020,0,0
Wyoming,Feb 19 2020,0,0
Wyoming,Feb 12 2020,0,0
Wyoming,Feb  5 2020,0,0
Wyoming,Jan 29 2020,0,0
