Data Table for Weekly Death Trends - Alabama
Date generated: Mon Dec 05 2022 12:34:56 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Alabama,Nov 30 2022,21,0
Alabama,Nov 23 2022,14,0
Alabama,Nov 16 2022,9,0
Alabama,Nov  9 2022,50,0
Alabama,Nov  2 2022,25,0
Alabama,Oct 26 2022,28,0
Alabama,Oct 19 2022,32,0
Alabama,Oct 12 2022,51,0
Alabama,Oct  5 2022,27,0
Alabama,Sep 28 2022,73,0
Alabama,Sep 21 2022,83,0
Alabama,Sep 14 2022,79,0
Alabama,Sep  7 2022,112,0
Alabama,Aug 31 2022,7,0
Alabama,Aug 24 2022,15,0
Alabama,Aug 17 2022,52,0
Alabama,Aug 10 2022,83,0
Alabama,Aug  3 2022,1,0
Alabama,Jul 27 2022,38,0
Alabama,Jul 20 2022,40,0
Alabama,Jul 13 2022,46,0
Alabama,Jul  6 2022,26,0
Alabama,Jun 29 2022,18,0
Alabama,Jun 22 2022,26,0
Alabama,Jun 15 2022,20,0
Alabama,Jun  8 2022,12,0
Alabama,Jun  1 2022,13,0
Alabama,May 25 2022,18,0
Alabama,May 18 2022,27,0
Alabama,May 11 2022,16,0
Alabama,May  4 2022,32,0
Alabama,Apr 27 2022,35,0
Alabama,Apr 20 2022,83,0
Alabama,Apr 13 2022,70,0
Alabama,Apr  6 2022,86,0
Alabama,Mar 30 2022,117,0
Alabama,Mar 23 2022,223,0
Alabama,Mar 16 2022,250,0
Alabama,Mar  9 2022,360,0
Alabama,Mar  2 2022,328,0
Alabama,Feb 23 2022,258,0
Alabama,Feb 16 2022,296,0
Alabama,Feb  9 2022,237,0
Alabama,Feb  2 2022,301,0
Alabama,Jan 26 2022,158,0
Alabama,Jan 19 2022,116,0
Alabama,Jan 12 2022,138,0
Alabama,Jan  5 2022,49,0
Alabama,Dec 29 2021,75,0
Alabama,Dec 22 2021,75,0
Alabama,Dec 15 2021,102,0
Alabama,Dec  8 2021,61,0
Alabama,Dec  1 2021,41,0
Alabama,Nov 24 2021,79,0
Alabama,Nov 17 2021,110,0
Alabama,Nov 10 2021,242,0
Alabama,Nov  3 2021,236,0
Alabama,Oct 27 2021,124,0
Alabama,Oct 20 2021,329,0
Alabama,Oct 13 2021,367,0
Alabama,Oct  6 2021,412,0
Alabama,Sep 29 2021,535,0
Alabama,Sep 22 2021,881,0
Alabama,Sep 15 2021,297,0
Alabama,Sep  8 2021,195,0
Alabama,Sep  1 2021,292,0
Alabama,Aug 25 2021,128,0
Alabama,Aug 18 2021,183,0
Alabama,Aug 11 2021,129,0
Alabama,Aug  4 2021,52,0
Alabama,Jul 28 2021,49,0
Alabama,Jul 21 2021,33,0
Alabama,Jul 14 2021,40,0
Alabama,Jul  7 2021,36,0
Alabama,Jun 30 2021,32,0
Alabama,Jun 23 2021,38,0
Alabama,Jun 16 2021,39,0
Alabama,Jun  9 2021,80,0
Alabama,Jun  2 2021,29,0
Alabama,May 26 2021,92,0
Alabama,May 19 2021,47,0
Alabama,May 12 2021,65,0
Alabama,May  5 2021,52,0
Alabama,Apr 28 2021,77,0
Alabama,Apr 21 2021,74,0
Alabama,Apr 14 2021,75,0
Alabama,Apr  7 2021,103,0
Alabama,Mar 31 2021,66,0
Alabama,Mar 24 2021,121,0
Alabama,Mar 17 2021,141,0
Alabama,Mar 10 2021,193,0
Alabama,Mar  3 2021,285,0
Alabama,Feb 24 2021,394,0
Alabama,Feb 17 2021,459,0
Alabama,Feb 10 2021,687,0
Alabama,Feb  3 2021,1032,0
Alabama,Jan 27 2021,888,0
Alabama,Jan 20 2021,529,0
Alabama,Jan 13 2021,765,0
Alabama,Jan  6 2021,213,0
Alabama,Dec 30 2020,189,0
Alabama,Dec 23 2020,389,0
Alabama,Dec 16 2020,214,0
Alabama,Dec  9 2020,274,0
Alabama,Dec  2 2020,180,0
Alabama,Nov 25 2020,185,0
Alabama,Nov 18 2020,145,0
Alabama,Nov 11 2020,195,0
Alabama,Nov  4 2020,94,0
Alabama,Oct 28 2020,83,0
Alabama,Oct 21 2020,120,0
Alabama,Oct 14 2020,104,0
Alabama,Oct  7 2020,72,0
Alabama,Sep 30 2020,65,0
Alabama,Sep 23 2020,79,0
Alabama,Sep 16 2020,105,0
Alabama,Sep  9 2020,70,0
Alabama,Sep  2 2020,168,0
Alabama,Aug 26 2020,101,0
Alabama,Aug 19 2020,63,0
Alabama,Aug 12 2020,185,0
Alabama,Aug  5 2020,155,0
Alabama,Jul 29 2020,175,0
Alabama,Jul 22 2020,154,0
Alabama,Jul 15 2020,152,0
Alabama,Jul  8 2020,84,0
Alabama,Jul  1 2020,88,0
Alabama,Jun 24 2020,99,0
Alabama,Jun 17 2020,45,0
Alabama,Jun 10 2020,92,0
Alabama,Jun  3 2020,67,0
Alabama,May 27 2020,61,0
Alabama,May 20 2020,74,0
Alabama,May 13 2020,107,0
Alabama,May  6 2020,86,0
Alabama,Apr 29 2020,62,0
Alabama,Apr 22 2020,83,0
Alabama,Apr 15 2020,45,0
Alabama,Apr  8 2020,39,0
Alabama,Apr  1 2020,25,0
Alabama,Mar 25 2020,1,0
Alabama,Mar 18 2020,0,0
Alabama,Mar 11 2020,0,0
Alabama,Mar  4 2020,0,0
Alabama,Feb 26 2020,0,0
Alabama,Feb 19 2020,0,0
Alabama,Feb 12 2020,0,0
Alabama,Feb  5 2020,0,0
Alabama,Jan 29 2020,0,0
