Data Table for Weekly Death Trends - Arizona
Date generated: Mon Dec 05 2022 12:35:53 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Arizona,Nov 30 2022,42,0
Arizona,Nov 23 2022,63,0
Arizona,Nov 16 2022,33,0
Arizona,Nov  9 2022,40,0
Arizona,Nov  2 2022,25,0
Arizona,Oct 26 2022,34,0
Arizona,Oct 19 2022,60,0
Arizona,Oct 12 2022,49,0
Arizona,Oct  5 2022,36,0
Arizona,Sep 28 2022,44,0
Arizona,Sep 21 2022,82,0
Arizona,Sep 14 2022,81,0
Arizona,Sep  7 2022,48,0
Arizona,Aug 31 2022,67,0
Arizona,Aug 24 2022,65,0
Arizona,Aug 17 2022,81,0
Arizona,Aug 10 2022,59,0
Arizona,Aug  3 2022,74,0
Arizona,Jul 27 2022,70,0
Arizona,Jul 20 2022,66,0
Arizona,Jul 13 2022,60,0
Arizona,Jul  6 2022,57,0
Arizona,Jun 29 2022,64,0
Arizona,Jun 22 2022,52,0
Arizona,Jun 15 2022,28,0
Arizona,Jun  8 2022,39,0
Arizona,Jun  1 2022,33,0
Arizona,May 25 2022,40,0
Arizona,May 18 2022,29,0
Arizona,May 11 2022,41,0
Arizona,May  4 2022,238,0
Arizona,Apr 27 2022,99,0
Arizona,Apr 20 2022,30,0
Arizona,Apr 13 2022,141,0
Arizona,Apr  6 2022,413,0
Arizona,Mar 30 2022,386,0
Arizona,Mar 23 2022,336,0
Arizona,Mar 16 2022,456,0
Arizona,Mar  9 2022,383,0
Arizona,Mar  2 2022,2,0
Arizona,Feb 23 2022,515,0
Arizona,Feb 16 2022,334,0
Arizona,Feb  9 2022,487,0
Arizona,Feb  2 2022,470,0
Arizona,Jan 26 2022,483,0
Arizona,Jan 19 2022,423,0
Arizona,Jan 12 2022,423,0
Arizona,Jan  5 2022,399,0
Arizona,Dec 29 2021,355,0
Arizona,Dec 22 2021,492,0
Arizona,Dec 15 2021,545,0
Arizona,Dec  8 2021,429,0
Arizona,Dec  1 2021,252,0
Arizona,Nov 24 2021,344,0
Arizona,Nov 17 2021,227,0
Arizona,Nov 10 2021,254,0
Arizona,Nov  3 2021,228,0
Arizona,Oct 27 2021,318,0
Arizona,Oct 20 2021,289,0
Arizona,Oct 13 2021,220,0
Arizona,Oct  6 2021,277,0
Arizona,Sep 29 2021,291,0
Arizona,Sep 22 2021,320,0
Arizona,Sep 15 2021,254,0
Arizona,Sep  8 2021,223,0
Arizona,Sep  1 2021,215,0
Arizona,Aug 25 2021,134,0
Arizona,Aug 18 2021,98,0
Arizona,Aug 11 2021,116,0
Arizona,Aug  4 2021,104,0
Arizona,Jul 28 2021,60,0
Arizona,Jul 21 2021,51,0
Arizona,Jul 14 2021,71,0
Arizona,Jul  7 2021,68,0
Arizona,Jun 30 2021,68,0
Arizona,Jun 23 2021,86,0
Arizona,Jun 16 2021,75,0
Arizona,Jun  9 2021,65,0
Arizona,Jun  2 2021,72,0
Arizona,May 26 2021,80,0
Arizona,May 19 2021,63,0
Arizona,May 12 2021,70,0
Arizona,May  5 2021,76,0
Arizona,Apr 28 2021,85,0
Arizona,Apr 21 2021,90,0
Arizona,Apr 14 2021,82,0
Arizona,Apr  7 2021,70,0
Arizona,Mar 31 2021,112,0
Arizona,Mar 24 2021,257,0
Arizona,Mar 17 2021,180,0
Arizona,Mar 10 2021,314,0
Arizona,Mar  3 2021,398,0
Arizona,Feb 24 2021,630,0
Arizona,Feb 17 2021,601,0
Arizona,Feb 10 2021,886,0
Arizona,Feb  3 2021,933,0
Arizona,Jan 27 2021,1115,0
Arizona,Jan 20 2021,855,0
Arizona,Jan 13 2021,1229,0
Arizona,Jan  6 2021,726,0
Arizona,Dec 30 2020,538,0
Arizona,Dec 23 2020,650,0
Arizona,Dec 16 2020,449,0
Arizona,Dec  9 2020,342,0
Arizona,Dec  2 2020,215,0
Arizona,Nov 25 2020,159,0
Arizona,Nov 18 2020,137,0
Arizona,Nov 11 2020,169,0
Arizona,Nov  4 2020,154,0
Arizona,Oct 28 2020,51,0
Arizona,Oct 21 2020,82,0
Arizona,Oct 14 2020,39,0
Arizona,Oct  7 2020,80,0
Arizona,Sep 30 2020,126,0
Arizona,Sep 23 2020,157,0
Arizona,Sep 16 2020,119,0
Arizona,Sep  9 2020,184,0
Arizona,Sep  2 2020,172,0
Arizona,Aug 26 2020,263,0
Arizona,Aug 19 2020,286,0
Arizona,Aug 12 2020,415,0
Arizona,Aug  5 2020,478,0
Arizona,Jul 29 2020,479,0
Arizona,Jul 22 2020,541,0
Arizona,Jul 15 2020,472,0
Arizona,Jul  8 2020,237,0
Arizona,Jul  1 2020,258,0
Arizona,Jun 24 2020,218,0
Arizona,Jun 17 2020,148,0
Arizona,Jun 10 2020,117,0
Arizona,Jun  3 2020,149,0
Arizona,May 27 2020,87,0
Arizona,May 20 2020,152,0
Arizona,May 13 2020,169,0
Arizona,May  6 2020,118,0
Arizona,Apr 29 2020,77,0
Arizona,Apr 22 2020,76,0
Arizona,Apr 15 2020,66,0
Arizona,Apr  8 2020,57,0
Arizona,Apr  1 2020,26,0
Arizona,Mar 25 2020,6,0
Arizona,Mar 18 2020,0,0
Arizona,Mar 11 2020,0,0
Arizona,Mar  4 2020,0,0
Arizona,Feb 26 2020,0,0
Arizona,Feb 19 2020,0,0
Arizona,Feb 12 2020,0,0
Arizona,Feb  5 2020,0,0
Arizona,Jan 29 2020,0,0
