Data Table for Weekly Death Trends - Arkansas
Date generated: Mon Dec 05 2022 12:36:33 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Arkansas,Nov 30 2022,19,0
Arkansas,Nov 23 2022,17,0
Arkansas,Nov 16 2022,5,0
Arkansas,Nov  9 2022,17,0
Arkansas,Nov  2 2022,54,0
Arkansas,Oct 26 2022,56,0
Arkansas,Oct 19 2022,62,0
Arkansas,Oct 12 2022,99,0
Arkansas,Oct  5 2022,104,0
Arkansas,Sep 28 2022,103,0
Arkansas,Sep 21 2022,59,0
Arkansas,Sep 14 2022,26,0
Arkansas,Sep  7 2022,26,0
Arkansas,Aug 31 2022,39,0
Arkansas,Aug 24 2022,47,0
Arkansas,Aug 17 2022,44,0
Arkansas,Aug 10 2022,55,0
Arkansas,Aug  3 2022,45,0
Arkansas,Jul 27 2022,36,0
Arkansas,Jul 20 2022,35,0
Arkansas,Jul 13 2022,23,0
Arkansas,Jul  6 2022,15,0
Arkansas,Jun 29 2022,28,0
Arkansas,Jun 22 2022,24,0
Arkansas,Jun 15 2022,18,0
Arkansas,Jun  8 2022,23,0
Arkansas,Jun  1 2022,40,0
Arkansas,May 25 2022,47,0
Arkansas,May 18 2022,15,0
Arkansas,May 11 2022,5,0
Arkansas,May  4 2022,18,0
Arkansas,Apr 27 2022,13,0
Arkansas,Apr 20 2022,30,0
Arkansas,Apr 13 2022,27,0
Arkansas,Apr  6 2022,75,0
Arkansas,Mar 30 2022,67,0
Arkansas,Mar 23 2022,36,0
Arkansas,Mar 16 2022,51,0
Arkansas,Mar  9 2022,68,0
Arkansas,Mar  2 2022,64,0
Arkansas,Feb 23 2022,39,0
Arkansas,Feb 16 2022,80,0
Arkansas,Feb  9 2022,136,0
Arkansas,Feb  2 2022,224,0
Arkansas,Jan 26 2022,276,0
Arkansas,Jan 19 2022,318,0
Arkansas,Jan 12 2022,218,0
Arkansas,Jan  5 2022,203,0
Arkansas,Dec 29 2021,159,0
Arkansas,Dec 22 2021,92,0
Arkansas,Dec 15 2021,110,0
Arkansas,Dec  8 2021,114,0
Arkansas,Dec  1 2021,90,0
Arkansas,Nov 24 2021,74,0
Arkansas,Nov 17 2021,60,0
Arkansas,Nov 10 2021,66,0
Arkansas,Nov  3 2021,46,0
Arkansas,Oct 27 2021,32,0
Arkansas,Oct 20 2021,45,0
Arkansas,Oct 13 2021,190,0
Arkansas,Oct  6 2021,73,0
Arkansas,Sep 29 2021,51,0
Arkansas,Sep 22 2021,112,0
Arkansas,Sep 15 2021,140,0
Arkansas,Sep  8 2021,124,0
Arkansas,Sep  1 2021,144,0
Arkansas,Aug 25 2021,204,0
Arkansas,Aug 18 2021,239,0
Arkansas,Aug 11 2021,212,0
Arkansas,Aug  4 2021,221,0
Arkansas,Jul 28 2021,182,0
Arkansas,Jul 21 2021,160,0
Arkansas,Jul 14 2021,116,0
Arkansas,Jul  7 2021,98,0
Arkansas,Jun 30 2021,49,0
Arkansas,Jun 23 2021,31,0
Arkansas,Jun 16 2021,31,0
Arkansas,Jun  9 2021,27,0
Arkansas,Jun  2 2021,17,0
Arkansas,May 26 2021,15,0
Arkansas,May 19 2021,19,0
Arkansas,May 12 2021,25,0
Arkansas,May  5 2021,17,0
Arkansas,Apr 28 2021,15,0
Arkansas,Apr 21 2021,20,0
Arkansas,Apr 14 2021,27,0
Arkansas,Apr  7 2021,15,0
Arkansas,Mar 31 2021,32,0
Arkansas,Mar 24 2021,21,0
Arkansas,Mar 17 2021,45,0
Arkansas,Mar 10 2021,40,0
Arkansas,Mar  3 2021,57,0
Arkansas,Feb 24 2021,39,0
Arkansas,Feb 17 2021,49,0
Arkansas,Feb 10 2021,61,0
Arkansas,Feb  3 2021,120,0
Arkansas,Jan 27 2021,183,0
Arkansas,Jan 20 2021,161,0
Arkansas,Jan 13 2021,194,0
Arkansas,Jan  6 2021,317,0
Arkansas,Dec 30 2020,302,0
Arkansas,Dec 23 2020,295,0
Arkansas,Dec 16 2020,234,0
Arkansas,Dec  9 2020,232,0
Arkansas,Dec  2 2020,266,0
Arkansas,Nov 25 2020,219,0
Arkansas,Nov 18 2020,227,0
Arkansas,Nov 11 2020,251,0
Arkansas,Nov  4 2020,169,0
Arkansas,Oct 28 2020,186,0
Arkansas,Oct 21 2020,136,0
Arkansas,Oct 14 2020,156,0
