Data Table for Weekly Death Trends - California
Date generated: Mon Dec 05 2022 12:37:08 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
California,Nov 30 2022,94,0
California,Nov 23 2022,211,0
California,Nov 16 2022,160,0
California,Nov  9 2022,147,0
California,Nov  2 2022,134,0
California,Oct 26 2022,326,0
California,Oct 19 2022,150,0
California,Oct 12 2022,172,0
California,Oct  5 2022,247,0
California,Sep 28 2022,220,0
California,Sep 21 2022,258,0
California,Sep 14 2022,380,0
California,Sep  7 2022,241,0
California,Aug 31 2022,263,0
California,Aug 24 2022,302,0
California,Aug 17 2022,315,0
California,Aug 10 2022,292,0
California,Aug  3 2022,292,0
California,Jul 27 2022,301,0
California,Jul 20 2022,237,0
California,Jul 13 2022,268,0
California,Jul  6 2022,271,0
California,Jun 29 2022,205,0
California,Jun 22 2022,205,0
California,Jun 15 2022,213,0
California,Jun  8 2022,172,0
California,Jun  1 2022,233,0
California,May 25 2022,270,0
California,May 18 2022,271,0
California,May 11 2022,254,0
California,May  4 2022,308,0
California,Apr 27 2022,332,0
California,Apr 20 2022,500,0
California,Apr 13 2022,203,0
California,Apr  6 2022,303,0
California,Mar 30 2022,461,0
California,Mar 23 2022,660,0
California,Mar 16 2022,748,0
California,Mar  9 2022,1255,0
California,Mar  2 2022,1346,0
California,Feb 23 2022,1195,0
California,Feb 16 2022,1470,0
California,Feb  9 2022,1312,0
California,Feb  2 2022,1283,0
California,Jan 26 2022,958,0
California,Jan 19 2022,674,0
California,Jan 12 2022,630,0
California,Jan  5 2022,425,0
California,Dec 29 2021,347,0
California,Dec 22 2021,487,0
California,Dec 15 2021,445,0
California,Dec  8 2021,527,0
California,Dec  1 2021,457,0
California,Nov 24 2021,657,0
California,Nov 17 2021,578,0
California,Nov 10 2021,529,0
California,Nov  3 2021,442,0
California,Oct 27 2021,571,0
California,Oct 20 2021,716,0
California,Oct 13 2021,682,0
California,Oct  6 2021,674,0
California,Sep 29 2021,741,0
California,Sep 22 2021,775,0
California,Sep 15 2021,944,0
California,Sep  8 2021,625,0
California,Sep  1 2021,630,0
California,Aug 25 2021,511,0
California,Aug 18 2021,315,0
California,Aug 11 2021,246,0
California,Aug  4 2021,213,0
California,Jul 28 2021,177,0
California,Jul 21 2021,171,0
California,Jul 14 2021,251,0
California,Jul  7 2021,232,0
California,Jun 30 2021,301,0
California,Jun 23 2021,215,0
California,Jun 16 2021,130,0
California,Jun  9 2021,309,0
California,Jun  2 2021,236,0
California,May 26 2021,221,0
California,May 19 2021,278,0
California,May 12 2021,400,0
California,May  5 2021,549,0
California,Apr 28 2021,342,0
California,Apr 21 2021,494,0
California,Apr 14 2021,689,0
California,Apr  7 2021,698,0
California,Mar 31 2021,1074,0
California,Mar 24 2021,1213,0
California,Mar 17 2021,1319,0
California,Mar 10 2021,1893,0
California,Mar  3 2021,2958,0
California,Feb 24 2021,2370,0
California,Feb 17 2021,2624,0
California,Feb 10 2021,3390,0
California,Feb  3 2021,3665,0
California,Jan 27 2021,3627,0
California,Jan 20 2021,3049,0
California,Jan 13 2021,3418,0
California,Jan  6 2021,2485,0
California,Dec 30 2020,1642,0
California,Dec 23 2020,1687,0
California,Dec 16 2020,1156,0
California,Dec  9 2020,885,0
California,Dec  2 2020,453,0
California,Nov 25 2020,529,0
California,Nov 18 2020,293,0
California,Nov 11 2020,321,0
California,Nov  4 2020,345,0
California,Oct 28 2020,440,0
California,Oct 21 2020,467,0
California,Oct 14 2020,393,0
California,Oct  7 2020,473,0
California,Sep 30 2020,619,0
California,Sep 23 2020,628,0
California,Sep 16 2020,683,0
California,Sep  9 2020,771,0
California,Sep  2 2020,799,0
California,Aug 26 2020,853,0
California,Aug 19 2020,812,0
California,Aug 12 2020,970,0
California,Aug  5 2020,926,0
California,Jul 29 2020,801,0
California,Jul 22 2020,628,0
California,Jul 15 2020,689,0
California,Jul  8 2020,497,0
California,Jul  1 2020,479,0
California,Jun 24 2020,435,0
California,Jun 17 2020,397,0
California,Jun 10 2020,436,0
California,Jun  3 2020,525,0
California,May 27 2020,342,0
California,May 20 2020,536,0
California,May 13 2020,501,0
California,May  6 2020,516,0
California,Apr 29 2020,516,0
California,Apr 22 2020,507,0
California,Apr 15 2020,346,0
California,Apr  8 2020,270,0
California,Apr  1 2020,108,0
California,Mar 25 2020,49,0
California,Mar 18 2020,12,0
California,Mar 11 2020,2,0
California,Mar  4 2020,1,0
California,Feb 26 2020,0,0
California,Feb 19 2020,0,0
California,Feb 12 2020,0,0
California,Feb  5 2020,0,0
California,Jan 29 2020,0,0
