Data Table for Weekly Death Trends - Colorado
Date generated: Mon Dec 05 2022 12:37:19 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Colorado,Nov 30 2022,37,0
Colorado,Nov 23 2022,17,0
Colorado,Nov 16 2022,58,0
Colorado,Nov  9 2022,67,0
Colorado,Nov  2 2022,3,0
Colorado,Oct 26 2022,49,0
Colorado,Oct 19 2022,3,0
Colorado,Oct 12 2022,28,0
Colorado,Oct  5 2022,21,0
Colorado,Sep 28 2022,40,0
Colorado,Sep 21 2022,34,0
Colorado,Sep 14 2022,32,0
Colorado,Sep  7 2022,36,0
Colorado,Aug 31 2022,21,0
Colorado,Aug 24 2022,31,0
Colorado,Aug 17 2022,45,0
Colorado,Aug 10 2022,29,0
Colorado,Aug  3 2022,50,0
Colorado,Jul 27 2022,56,0
Colorado,Jul 20 2022,40,0
Colorado,Jul 13 2022,53,0
Colorado,Jul  6 2022,94,0
Colorado,Jun 29 2022,14,0
Colorado,Jun 22 2022,57,0
Colorado,Jun 15 2022,51,0
Colorado,Jun  8 2022,59,0
Colorado,Jun  1 2022,39,0
Colorado,May 25 2022,35,0
Colorado,May 18 2022,1,0
Colorado,May 11 2022,4,0
Colorado,May  4 2022,10,0
Colorado,Apr 27 2022,10,0
Colorado,Apr 20 2022,7,0
Colorado,Apr 13 2022,14,0
Colorado,Apr  6 2022,10,0
Colorado,Mar 30 2022,12,0
Colorado,Mar 23 2022,10,0
Colorado,Mar 16 2022,20,0
Colorado,Mar  9 2022,26,0
Colorado,Mar  2 2022,36,0
Colorado,Feb 23 2022,50,0
Colorado,Feb 16 2022,74,0
Colorado,Feb  9 2022,134,0
Colorado,Feb  2 2022,178,0
Colorado,Jan 26 2022,239,0
Colorado,Jan 19 2022,301,0
Colorado,Jan 12 2022,352,0
Colorado,Jan  5 2022,279,0
Colorado,Dec 29 2021,184,0
Colorado,Dec 22 2021,165,0
Colorado,Dec 15 2021,159,0
Colorado,Dec  8 2021,217,0
Colorado,Dec  1 2021,207,0
Colorado,Nov 24 2021,236,0
Colorado,Nov 17 2021,296,0
Colorado,Nov 10 2021,272,0
Colorado,Nov  3 2021,248,0
Colorado,Oct 27 2021,250,0
Colorado,Oct 20 2021,225,0
Colorado,Oct 13 2021,154,0
Colorado,Oct  6 2021,165,0
Colorado,Sep 29 2021,152,0
Colorado,Sep 22 2021,136,0
Colorado,Sep 15 2021,114,0
Colorado,Sep  8 2021,125,0
Colorado,Sep  1 2021,101,0
Colorado,Aug 25 2021,89,0
Colorado,Aug 18 2021,82,0
Colorado,Aug 11 2021,74,0
Colorado,Aug  4 2021,60,0
Colorado,Jul 28 2021,43,0
Colorado,Jul 21 2021,38,0
Colorado,Jul 14 2021,40,0
Colorado,Jul  7 2021,24,0
Colorado,Jun 30 2021,46,0
Colorado,Jun 23 2021,23,0
Colorado,Jun 16 2021,39,0
Colorado,Jun  9 2021,33,0
Colorado,Jun  2 2021,56,0
Colorado,May 26 2021,43,0
Colorado,May 19 2021,55,0
Colorado,May 12 2021,63,0
Colorado,May  5 2021,69,0
Colorado,Apr 28 2021,75,0
Colorado,Apr 21 2021,68,0
Colorado,Apr 14 2021,56,0
Colorado,Apr  7 2021,50,0
Colorado,Mar 31 2021,37,0
Colorado,Mar 24 2021,25,0
Colorado,Mar 17 2021,30,0
Colorado,Mar 10 2021,29,0
Colorado,Mar  3 2021,34,0
Colorado,Feb 24 2021,33,0
Colorado,Feb 17 2021,44,0
Colorado,Feb 10 2021,52,0
Colorado,Feb  3 2021,59,0
Colorado,Jan 27 2021,76,0
Colorado,Jan 20 2021,105,0
Colorado,Jan 13 2021,145,0
Colorado,Jan  6 2021,145,0
Colorado,Dec 30 2020,155,0
Colorado,Dec 23 2020,182,0
Colorado,Dec 16 2020,273,0
Colorado,Dec  9 2020,399,0
Colorado,Dec  2 2020,447,0
Colorado,Nov 25 2020,444,0
Colorado,Nov 18 2020,431,0
Colorado,Nov 11 2020,313,0
Colorado,Nov  4 2020,227,0
Colorado,Oct 28 2020,206,0
Colorado,Oct 21 2020,140,0
Colorado,Oct 14 2020,42,0
Colorado,Oct  7 2020,43,0
Colorado,Sep 30 2020,33,0
Colorado,Sep 23 2020,37,0
Colorado,Sep 16 2020,20,0
Colorado,Sep  9 2020,29,0
Colorado,Sep  2 2020,26,0
Colorado,Aug 26 2020,36,0
Colorado,Aug 19 2020,18,0
Colorado,Aug 12 2020,18,0
Colorado,Aug  5 2020,14,0
Colorado,Jul 29 2020,20,0
Colorado,Jul 22 2020,44,0
Colorado,Jul 15 2020,34,0
Colorado,Jul  8 2020,35,0
Colorado,Jul  1 2020,27,0
Colorado,Jun 24 2020,18,0
Colorado,Jun 17 2020,21,0
Colorado,Jun 10 2020,32,0
Colorado,Jun  3 2020,41,0
Colorado,May 27 2020,61,0
Colorado,May 20 2020,105,0
Colorado,May 13 2020,92,0
Colorado,May  6 2020,95,0
Colorado,Apr 29 2020,158,0
Colorado,Apr 22 2020,183,0
Colorado,Apr 15 2020,217,0
Colorado,Apr  8 2020,224,0
Colorado,Apr  1 2020,398,0
Colorado,Mar 25 2020,45,0
Colorado,Mar 18 2020,13,0
Colorado,Mar 11 2020,1,0
Colorado,Mar  4 2020,0,0
Colorado,Feb 26 2020,0,0
Colorado,Feb 19 2020,0,0
Colorado,Feb 12 2020,0,0
Colorado,Feb  5 2020,0,0
Colorado,Jan 29 2020,0,0
