Data Table for Weekly Death Trends - Georgia
Date generated: Mon Dec 05 2022 12:39:23 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Georgia,Nov 30 2022,46,0
Georgia,Nov 23 2022,109,0
Georgia,Nov 16 2022,114,0
Georgia,Nov  9 2022,105,0
Georgia,Nov  2 2022,70,0
Georgia,Oct 26 2022,75,0
Georgia,Oct 19 2022,104,0
Georgia,Oct 12 2022,74,0
Georgia,Oct  5 2022,93,0
Georgia,Sep 28 2022,119,0
Georgia,Sep 21 2022,150,0
Georgia,Sep 14 2022,152,0
Georgia,Sep  7 2022,119,0
Georgia,Aug 31 2022,134,0
Georgia,Aug 24 2022,151,0
Georgia,Aug 17 2022,153,0
Georgia,Aug 10 2022,144,0
Georgia,Aug  3 2022,130,0
Georgia,Jul 27 2022,111,0
Georgia,Jul 20 2022,110,0
Georgia,Jul 13 2022,134,0
Georgia,Jul  6 2022,102,0
Georgia,Jun 29 2022,132,0
Georgia,Jun 22 2022,94,0
Georgia,Jun 15 2022,67,0
Georgia,Jun  8 2022,53,0
Georgia,Jun  1 2022,44,0
Georgia,May 25 2022,43,0
Georgia,May 18 2022,71,0
Georgia,May 11 2022,115,0
Georgia,May  4 2022,163,0
Georgia,Apr 27 2022,143,0
Georgia,Apr 20 2022,237,0
Georgia,Apr 13 2022,199,0
Georgia,Apr  6 2022,294,0
Georgia,Mar 30 2022,260,0
Georgia,Mar 23 2022,296,0
Georgia,Mar 16 2022,341,0
Georgia,Mar  9 2022,423,0
Georgia,Mar  2 2022,503,0
Georgia,Feb 23 2022,630,0
Georgia,Feb 16 2022,613,0
Georgia,Feb  9 2022,688,0
Georgia,Feb  2 2022,560,0
Georgia,Jan 26 2022,859,0
Georgia,Jan 19 2022,0,0
Georgia,Jan 12 2022,223,0
Georgia,Jan  5 2022,167,0
Georgia,Dec 29 2021,233,0
Georgia,Dec 22 2021,221,0
Georgia,Dec 15 2021,148,0
Georgia,Dec  8 2021,186,0
Georgia,Dec  1 2021,212,0
Georgia,Nov 24 2021,326,0
Georgia,Nov 17 2021,281,0
Georgia,Nov 10 2021,436,0
Georgia,Nov  3 2021,459,0
Georgia,Oct 27 2021,616,0
Georgia,Oct 20 2021,806,0
Georgia,Oct 13 2021,610,0
Georgia,Oct  6 2021,892,0
Georgia,Sep 29 2021,798,0
Georgia,Sep 22 2021,866,0
Georgia,Sep 15 2021,867,0
Georgia,Sep  8 2021,527,0
Georgia,Sep  1 2021,470,0
Georgia,Aug 25 2021,298,0
Georgia,Aug 18 2021,208,0
Georgia,Aug 11 2021,160,0
Georgia,Aug  4 2021,81,0
Georgia,Jul 28 2021,64,0
Georgia,Jul 21 2021,67,0
Georgia,Jul 14 2021,65,0
Georgia,Jul  7 2021,48,0
Georgia,Jun 30 2021,74,0
Georgia,Jun 23 2021,115,0
Georgia,Jun 16 2021,190,0
Georgia,Jun  9 2021,171,0
Georgia,Jun  2 2021,153,0
Georgia,May 26 2021,191,0
Georgia,May 19 2021,129,0
Georgia,May 12 2021,149,0
Georgia,May  5 2021,165,0
Georgia,Apr 28 2021,259,0
Georgia,Apr 21 2021,223,0
Georgia,Apr 14 2021,293,0
Georgia,Apr  7 2021,245,0
Georgia,Mar 31 2021,394,0
Georgia,Mar 24 2021,305,0
Georgia,Mar 17 2021,334,0
Georgia,Mar 10 2021,402,0
Georgia,Mar  3 2021,556,0
Georgia,Feb 24 2021,788,0
Georgia,Feb 17 2021,850,0
Georgia,Feb 10 2021,835,0
Georgia,Feb  3 2021,941,0
Georgia,Jan 27 2021,867,0
Georgia,Jan 20 2021,975,0
Georgia,Jan 13 2021,639,0
Georgia,Jan  6 2021,322,0
Georgia,Dec 30 2020,324,0
Georgia,Dec 23 2020,297,0
Georgia,Dec 16 2020,302,0
Georgia,Dec  9 2020,355,0
Georgia,Dec  2 2020,269,0
Georgia,Nov 25 2020,242,0
Georgia,Nov 18 2020,254,0
Georgia,Nov 11 2020,262,0
Georgia,Nov  4 2020,665,0
Georgia,Oct 28 2020,174,0
Georgia,Oct 21 2020,232,0
Georgia,Oct 14 2020,223,0
Georgia,Oct  7 2020,228,0
Georgia,Sep 30 2020,255,0
Georgia,Sep 23 2020,345,0
Georgia,Sep 16 2020,293,0
Georgia,Sep  9 2020,332,0
Georgia,Sep  2 2020,485,0
Georgia,Aug 26 2020,457,0
Georgia,Aug 19 2020,394,0
Georgia,Aug 12 2020,470,0
Georgia,Aug  5 2020,346,0
Georgia,Jul 29 2020,302,0
Georgia,Jul 22 2020,245,0
Georgia,Jul 15 2020,170,0
Georgia,Jul  8 2020,95,0
Georgia,Jul  1 2020,125,0
Georgia,Jun 24 2020,133,0
Georgia,Jun 17 2020,241,0
Georgia,Jun 10 2020,213,0
Georgia,Jun  3 2020,190,0
Georgia,May 27 2020,239,0
Georgia,May 20 2020,181,0
Georgia,May 13 2020,181,0
Georgia,May  6 2020,227,0
Georgia,Apr 29 2020,251,0
Georgia,Apr 22 2020,294,0
Georgia,Apr 15 2020,189,0
Georgia,Apr  8 2020,223,0
Georgia,Apr  1 2020,100,0
Georgia,Mar 25 2020,37,0
Georgia,Mar 18 2020,3,0
Georgia,Mar 11 2020,0,0
Georgia,Mar  4 2020,0,0
Georgia,Feb 26 2020,0,0
Georgia,Feb 19 2020,0,0
Georgia,Feb 12 2020,0,0
Georgia,Feb  5 2020,0,0
Georgia,Jan 29 2020,0,0
