Data Table for Weekly Death Trends - Hawaii
Date generated: Mon Dec 05 2022 12:39:32 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Hawaii,Nov 30 2022,4,0
Hawaii,Nov 23 2022,10,0
Hawaii,Nov 16 2022,6,0
Hawaii,Nov  9 2022,0,0
Hawaii,Nov  2 2022,1,0
Hawaii,Oct 26 2022,0,0
Hawaii,Oct 19 2022,1,0
Hawaii,Oct 12 2022,2,0
Hawaii,Oct  5 2022,2,0
Hawaii,Sep 28 2022,2,0
Hawaii,Sep 21 2022,2,0
Hawaii,Sep 14 2022,8,0
Hawaii,Sep  7 2022,9,0
Hawaii,Aug 31 2022,3,0
Hawaii,Aug 24 2022,7,0
Hawaii,Aug 17 2022,6,0
Hawaii,Aug 10 2022,11,0
Hawaii,Aug  3 2022,5,0
Hawaii,Jul 27 2022,17,0
Hawaii,Jul 20 2022,8,0
Hawaii,Jul 13 2022,7,0
Hawaii,Jul  6 2022,10,0
Hawaii,Jun 29 2022,18,0
Hawaii,Jun 22 2022,17,0
Hawaii,Jun 15 2022,14,0
Hawaii,Jun  8 2022,18,0
Hawaii,Jun  1 2022,22,0
Hawaii,May 25 2022,16,0
Hawaii,May 18 2022,11,0
Hawaii,May 11 2022,8,0
Hawaii,May  4 2022,6,0
Hawaii,Apr 27 2022,5,0
Hawaii,Apr 20 2022,2,0
Hawaii,Apr 13 2022,2,0
Hawaii,Apr  6 2022,1,0
Hawaii,Mar 30 2022,0,0
Hawaii,Mar 23 2022,0,0
Hawaii,Mar 16 2022,5,0
Hawaii,Mar  9 2022,4,0
Hawaii,Mar  2 2022,7,0
Hawaii,Feb 23 2022,8,0
Hawaii,Feb 16 2022,13,0
Hawaii,Feb  9 2022,20,0
Hawaii,Feb  2 2022,31,0
Hawaii,Jan 26 2022,61,0
Hawaii,Jan 19 2022,59,0
Hawaii,Jan 12 2022,52,0
Hawaii,Jan  5 2022,22,0
Hawaii,Dec 29 2021,14,0
Hawaii,Dec 22 2021,12,0
Hawaii,Dec 15 2021,5,0
Hawaii,Dec  8 2021,5,0
Hawaii,Dec  1 2021,5,0
Hawaii,Nov 24 2021,6,0
Hawaii,Nov 17 2021,6,0
Hawaii,Nov 10 2021,5,0
Hawaii,Nov  3 2021,9,0
Hawaii,Oct 27 2021,11,0
Hawaii,Oct 20 2021,9,0
Hawaii,Oct 13 2021,16,0
Hawaii,Oct  6 2021,25,0
Hawaii,Sep 29 2021,27,0
Hawaii,Sep 22 2021,47,0
Hawaii,Sep 15 2021,55,0
Hawaii,Sep  8 2021,52,0
Hawaii,Sep  1 2021,77,0
Hawaii,Aug 25 2021,58,0
Hawaii,Aug 18 2021,55,0
Hawaii,Aug 11 2021,50,0
Hawaii,Aug  4 2021,31,0
Hawaii,Jul 28 2021,10,0
Hawaii,Jul 21 2021,15,0
Hawaii,Jul 14 2021,11,0
Hawaii,Jul  7 2021,6,0
Hawaii,Jun 30 2021,7,0
Hawaii,Jun 23 2021,0,0
Hawaii,Jun 16 2021,3,0
Hawaii,Jun  9 2021,0,0
Hawaii,Jun  2 2021,4,0
Hawaii,May 26 2021,10,0
Hawaii,May 19 2021,1,0
Hawaii,May 12 2021,6,0
Hawaii,May  5 2021,8,0
Hawaii,Apr 28 2021,2,0
Hawaii,Apr 21 2021,2,0
Hawaii,Apr 14 2021,4,0
Hawaii,Apr  7 2021,3,0
Hawaii,Mar 31 2021,2,0
Hawaii,Mar 24 2021,3,0
Hawaii,Mar 17 2021,5,0
Hawaii,Mar 10 2021,3,0
Hawaii,Mar  3 2021,5,0
Hawaii,Feb 24 2021,3,0
Hawaii,Feb 17 2021,4,0
Hawaii,Feb 10 2021,2,0
Hawaii,Feb  3 2021,7,0
Hawaii,Jan 27 2021,9,0
Hawaii,Jan 20 2021,7,0
Hawaii,Jan 13 2021,12,0
Hawaii,Jan  6 2021,21,0
Hawaii,Dec 30 2020,8,0
Hawaii,Dec 23 2020,14,0
Hawaii,Dec 16 2020,8,0
Hawaii,Dec  9 2020,3,0
Hawaii,Dec  2 2020,1,0
Hawaii,Nov 25 2020,13,0
Hawaii,Nov 18 2020,10,0
Hawaii,Nov 11 2020,10,0
Hawaii,Nov  4 2020,5,0
Hawaii,Oct 28 2020,4,0
Hawaii,Oct 21 2020,11,0
Hawaii,Oct 14 2020,15,0
Hawaii,Oct  7 2020,17,0
Hawaii,Sep 30 2020,16,0
Hawaii,Sep 23 2020,20,0
Hawaii,Sep 16 2020,23,0
Hawaii,Sep  9 2020,29,0
Hawaii,Sep  2 2020,45,0
Hawaii,Aug 26 2020,49,0
Hawaii,Aug 19 2020,37,0
Hawaii,Aug 12 2020,22,0
Hawaii,Aug  5 2020,14,0
Hawaii,Jul 29 2020,4,0
Hawaii,Jul 22 2020,1,0
Hawaii,Jul 15 2020,5,0
Hawaii,Jul  8 2020,1,0
