Data Table for Weekly Death Trends - Idaho
Date generated: Mon Dec 05 2022 12:39:52 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Idaho,Nov 30 2022,17,0
Idaho,Nov 23 2022,5,0
Idaho,Nov 16 2022,10,0
Idaho,Nov  9 2022,11,0
Idaho,Nov  2 2022,9,0
Idaho,Oct 26 2022,13,0
Idaho,Oct 19 2022,5,0
Idaho,Oct 12 2022,13,0
Idaho,Oct  5 2022,14,0
Idaho,Sep 28 2022,7,0
Idaho,Sep 21 2022,23,0
Idaho,Sep 14 2022,16,0
Idaho,Sep  7 2022,10,0
Idaho,Aug 31 2022,15,0
Idaho,Aug 24 2022,19,0
Idaho,Aug 17 2022,22,0
Idaho,Aug 10 2022,13,0
Idaho,Aug  3 2022,19,0
Idaho,Jul 27 2022,17,0
Idaho,Jul 20 2022,17,0
Idaho,Jul 13 2022,10,0
Idaho,Jul  6 2022,14,0
Idaho,Jun 29 2022,12,0
Idaho,Jun 22 2022,7,0
Idaho,Jun 15 2022,8,0
Idaho,Jun  8 2022,5,0
Idaho,Jun  1 2022,3,0
Idaho,May 25 2022,2,0
Idaho,May 18 2022,5,0
Idaho,May 11 2022,1,0
Idaho,May  4 2022,5,0
Idaho,Apr 27 2022,5,0
Idaho,Apr 20 2022,13,0
Idaho,Apr 13 2022,13,0
Idaho,Apr  6 2022,19,0
Idaho,Mar 30 2022,12,0
Idaho,Mar 23 2022,29,0
Idaho,Mar 16 2022,24,0
Idaho,Mar  9 2022,35,0
Idaho,Mar  2 2022,58,0
Idaho,Feb 23 2022,80,0
Idaho,Feb 16 2022,97,0
Idaho,Feb  9 2022,83,0
Idaho,Feb  2 2022,96,0
Idaho,Jan 26 2022,65,0
Idaho,Jan 19 2022,33,0
Idaho,Jan 12 2022,67,0
Idaho,Jan  5 2022,32,0
Idaho,Dec 29 2021,63,0
Idaho,Dec 22 2021,40,0
Idaho,Dec 15 2021,56,0
Idaho,Dec  8 2021,52,0
Idaho,Dec  1 2021,58,0
Idaho,Nov 24 2021,90,0
Idaho,Nov 17 2021,98,0
Idaho,Nov 10 2021,103,0
Idaho,Nov  3 2021,100,0
Idaho,Oct 27 2021,154,0
Idaho,Oct 20 2021,160,0
Idaho,Oct 13 2021,146,0
Idaho,Oct  6 2021,186,0
Idaho,Sep 29 2021,167,0
Idaho,Sep 22 2021,127,0
Idaho,Sep 15 2021,134,0
Idaho,Sep  8 2021,56,0
Idaho,Sep  1 2021,55,0
Idaho,Aug 25 2021,35,0
Idaho,Aug 18 2021,45,0
Idaho,Aug 11 2021,26,0
Idaho,Aug  4 2021,19,0
Idaho,Jul 28 2021,11,0
Idaho,Jul 21 2021,14,0
Idaho,Jul 14 2021,3,0
Idaho,Jul  7 2021,10,0
Idaho,Jun 30 2021,12,0
Idaho,Jun 23 2021,18,0
Idaho,Jun 16 2021,7,0
Idaho,Jun  9 2021,19,0
Idaho,Jun  2 2021,9,0
Idaho,May 26 2021,13,0
Idaho,May 19 2021,10,0
Idaho,May 12 2021,14,0
Idaho,May  5 2021,7,0
Idaho,Apr 28 2021,16,0
Idaho,Apr 21 2021,21,0
Idaho,Apr 14 2021,26,0
Idaho,Apr  7 2021,18,0
Idaho,Mar 31 2021,10,0
Idaho,Mar 24 2021,18,0
Idaho,Mar 17 2021,33,0
Idaho,Mar 10 2021,26,0
Idaho,Mar  3 2021,36,0
Idaho,Feb 24 2021,23,0
Idaho,Feb 17 2021,26,0
Idaho,Feb 10 2021,42,0
Idaho,Feb  3 2021,34,0
Idaho,Jan 27 2021,79,0
Idaho,Jan 20 2021,70,0
Idaho,Jan 13 2021,77,0
Idaho,Jan  6 2021,84,0
Idaho,Dec 30 2020,80,0
Idaho,Dec 23 2020,95,0
Idaho,Dec 16 2020,127,0
Idaho,Dec  9 2020,111,0
Idaho,Dec  2 2020,96,0
Idaho,Nov 25 2020,83,0
Idaho,Nov 18 2020,80,0
Idaho,Nov 11 2020,69,0
Idaho,Nov  4 2020,65,0
Idaho,Oct 28 2020,52,0
Idaho,Oct 21 2020,30,0
Idaho,Oct 14 2020,16,0
Idaho,Oct  7 2020,31,0
Idaho,Sep 30 2020,16,0
Idaho,Sep 23 2020,24,0
Idaho,Sep 16 2020,22,0
Idaho,Sep  9 2020,35,0
Idaho,Sep  2 2020,35,0
Idaho,Aug 26 2020,48,0
Idaho,Aug 19 2020,43,0
Idaho,Aug 12 2020,29,0
Idaho,Aug  5 2020,44,0
Idaho,Jul 29 2020,38,0
Idaho,Jul 22 2020,25,0
Idaho,Jul 15 2020,12,0
Idaho,Jul  8 2020,6,0
Idaho,Jul  1 2020,3,0
Idaho,Jun 24 2020,2,0
Idaho,Jun 17 2020,2,0
Idaho,Jun 10 2020,2,0
Idaho,Jun  3 2020,2,0
Idaho,May 27 2020,5,0
Idaho,May 20 2020,7,0
Idaho,May 13 2020,3,0
Idaho,May  6 2020,6,0
Idaho,Apr 29 2020,9,0
Idaho,Apr 22 2020,12,0
Idaho,Apr 15 2020,24,0
Idaho,Apr  8 2020,6,0
Idaho,Apr  1 2020,9,0
Idaho,Mar 25 2020,0,0
Idaho,Mar 18 2020,0,0
Idaho,Mar 11 2020,0,0
Idaho,Mar  4 2020,0,0
Idaho,Feb 26 2020,0,0
Idaho,Feb 19 2020,0,0
Idaho,Feb 12 2020,0,0
Idaho,Feb  5 2020,0,0
Idaho,Jan 29 2020,0,0
