Data Table for Weekly Death Trends - Iowa
Date generated: Mon Dec 05 2022 12:40:36 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Iowa,Nov 30 2022,18,0
Iowa,Nov 23 2022,23,0
Iowa,Nov 16 2022,24,0
Iowa,Nov  9 2022,22,0
Iowa,Nov  2 2022,30,0
Iowa,Oct 26 2022,25,0
Iowa,Oct 19 2022,28,0
Iowa,Oct 12 2022,28,0
Iowa,Oct  5 2022,21,0
Iowa,Sep 28 2022,26,0
Iowa,Sep 21 2022,56,0
Iowa,Sep 14 2022,26,0
Iowa,Sep  7 2022,28,0
Iowa,Aug 31 2022,34,0
Iowa,Aug 24 2022,25,0
Iowa,Aug 17 2022,32,0
Iowa,Aug 10 2022,32,0
Iowa,Aug  3 2022,35,0
Iowa,Jul 27 2022,22,0
Iowa,Jul 20 2022,41,0
Iowa,Jul 13 2022,16,0
Iowa,Jul  6 2022,14,0
Iowa,Jun 29 2022,9,0
Iowa,Jun 22 2022,65,0
Iowa,Jun 15 2022,0,0
Iowa,Jun  8 2022,15,0
Iowa,Jun  1 2022,13,0
Iowa,May 25 2022,16,0
Iowa,May 18 2022,16,0
Iowa,May 11 2022,22,0
Iowa,May  4 2022,4,0
Iowa,Apr 27 2022,19,0
Iowa,Apr 20 2022,35,0
Iowa,Apr 13 2022,21,0
Iowa,Apr  6 2022,24,0
Iowa,Mar 30 2022,44,0
Iowa,Mar 23 2022,44,0
Iowa,Mar 16 2022,83,0
Iowa,Mar  9 2022,88,0
Iowa,Mar  2 2022,87,0
Iowa,Feb 23 2022,135,0
Iowa,Feb 16 2022,119,0
Iowa,Feb  9 2022,172,0
Iowa,Feb  2 2022,158,0
Iowa,Jan 26 2022,182,0
Iowa,Jan 19 2022,116,0
Iowa,Jan 12 2022,182,0
Iowa,Jan  5 2022,161,0
Iowa,Dec 29 2021,59,0
Iowa,Dec 22 2021,119,0
Iowa,Dec 15 2021,235,0
Iowa,Dec  8 2021,0,0
Iowa,Dec  1 2021,91,0
Iowa,Nov 24 2021,86,0
Iowa,Nov 17 2021,102,0
Iowa,Nov 10 2021,97,0
Iowa,Nov  3 2021,104,0
Iowa,Oct 27 2021,117,0
Iowa,Oct 20 2021,100,0
Iowa,Oct 13 2021,97,0
Iowa,Oct  6 2021,88,0
Iowa,Sep 29 2021,80,0
Iowa,Sep 22 2021,82,0
Iowa,Sep 15 2021,64,0
Iowa,Sep  8 2021,30,0
Iowa,Sep  1 2021,39,0
Iowa,Aug 25 2021,42,0
Iowa,Aug 18 2021,16,0
Iowa,Aug 11 2021,17,0
Iowa,Aug  4 2021,10,0
Iowa,Jul 28 2021,13,0
Iowa,Jul 21 2021,12,0
Iowa,Jul 14 2021,9,0
Iowa,Jul  7 2021,11,0
Iowa,Jun 30 2021,18,0
Iowa,Jun 23 2021,12,0
Iowa,Jun 16 2021,24,0
Iowa,Jun  9 2021,23,0
Iowa,Jun  2 2021,17,0
Iowa,May 26 2021,26,0
Iowa,May 19 2021,25,0
Iowa,May 12 2021,32,0
Iowa,May  5 2021,30,0
Iowa,Apr 28 2021,32,0
Iowa,Apr 21 2021,43,0
Iowa,Apr 14 2021,22,0
Iowa,Apr  7 2021,93,0
Iowa,Mar 31 2021,54,0
Iowa,Mar 24 2021,22,0
Iowa,Mar 17 2021,66,0
Iowa,Mar 10 2021,100,0
Iowa,Mar  3 2021,85,0
Iowa,Feb 24 2021,108,0
Iowa,Feb 17 2021,131,0
Iowa,Feb 10 2021,200,0
Iowa,Feb  3 2021,475,0
Iowa,Jan 27 2021,106,0
Iowa,Jan 20 2021,162,0
Iowa,Jan 13 2021,172,0
Iowa,Jan  6 2021,238,0
Iowa,Dec 30 2020,155,0
Iowa,Dec 23 2020,317,0
Iowa,Dec 16 2020,674,0
Iowa,Dec  9 2020,182,0
Iowa,Dec  2 2020,194,0
Iowa,Nov 25 2020,201,0
Iowa,Nov 18 2020,175,0
Iowa,Nov 11 2020,124,0
Iowa,Nov  4 2020,110,0
Iowa,Oct 28 2020,97,0
Iowa,Oct 21 2020,90,0
Iowa,Oct 14 2020,85,0
Iowa,Oct  7 2020,61,0
Iowa,Sep 30 2020,60,0
Iowa,Sep 23 2020,49,0
Iowa,Sep 16 2020,44,0
Iowa,Sep  9 2020,72,0
Iowa,Sep  2 2020,61,0
Iowa,Aug 26 2020,61,0
Iowa,Aug 19 2020,57,0
Iowa,Aug 12 2020,53,0
Iowa,Aug  5 2020,46,0
Iowa,Jul 29 2020,40,0
Iowa,Jul 22 2020,39,0
Iowa,Jul 15 2020,39,0
Iowa,Jul  8 2020,20,0
Iowa,Jul  1 2020,27,0
Iowa,Jun 24 2020,14,0
Iowa,Jun 17 2020,44,0
Iowa,Jun 10 2020,58,0
Iowa,Jun  3 2020,77,0
Iowa,May 27 2020,103,0
Iowa,May 20 2020,87,0
Iowa,May 13 2020,88,0
Iowa,May  6 2020,70,0
Iowa,Apr 29 2020,58,0
Iowa,Apr 22 2020,37,0
Iowa,Apr 15 2020,26,0
Iowa,Apr  8 2020,18,0
Iowa,Apr  1 2020,8,0
Iowa,Mar 25 2020,1,0
Iowa,Mar 18 2020,0,0
Iowa,Mar 11 2020,0,0
Iowa,Mar  4 2020,0,0
Iowa,Feb 26 2020,0,0
Iowa,Feb 19 2020,0,0
Iowa,Feb 12 2020,0,0
Iowa,Feb  5 2020,0,0
Iowa,Jan 29 2020,0,0
