Data Table for Weekly Death Trends - Louisiana
Date generated: Mon Dec 05 2022 12:41:31 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Louisiana,Nov 30 2022,16,0
Louisiana,Nov 23 2022,27,0
Louisiana,Nov 16 2022,17,0
Louisiana,Nov  9 2022,25,0
Louisiana,Nov  2 2022,25,0
Louisiana,Oct 26 2022,30,0
Louisiana,Oct 19 2022,11,0
Louisiana,Oct 12 2022,39,0
Louisiana,Oct  5 2022,42,0
Louisiana,Sep 28 2022,53,0
Louisiana,Sep 21 2022,38,0
Louisiana,Sep 14 2022,56,0
Louisiana,Sep  7 2022,28,0
Louisiana,Aug 31 2022,48,0
Louisiana,Aug 24 2022,79,0
Louisiana,Aug 17 2022,67,0
Louisiana,Aug 10 2022,60,0
Louisiana,Aug  3 2022,66,0
Louisiana,Jul 27 2022,58,0
Louisiana,Jul 20 2022,33,0
Louisiana,Jul 13 2022,38,0
Louisiana,Jul  6 2022,16,0
Louisiana,Jun 29 2022,27,0
Louisiana,Jun 22 2022,15,0
Louisiana,Jun 15 2022,17,0
Louisiana,Jun  8 2022,22,0
Louisiana,Jun  1 2022,11,0
Louisiana,May 25 2022,15,0
Louisiana,May 18 2022,17,0
Louisiana,May 11 2022,20,0
Louisiana,May  4 2022,32,0
Louisiana,Apr 27 2022,26,0
Louisiana,Apr 20 2022,20,0
Louisiana,Apr 13 2022,30,0
Louisiana,Apr  6 2022,37,0
Louisiana,Mar 30 2022,74,0
Louisiana,Mar 23 2022,82,0
Louisiana,Mar 16 2022,129,0
Louisiana,Mar  9 2022,157,0
Louisiana,Mar  2 2022,118,0
Louisiana,Feb 23 2022,253,0
Louisiana,Feb 16 2022,238,0
Louisiana,Feb  9 2022,284,0
Louisiana,Feb  2 2022,260,0
Louisiana,Jan 26 2022,274,0
Louisiana,Jan 19 2022,131,0
Louisiana,Jan 12 2022,92,0
Louisiana,Jan  5 2022,43,0
Louisiana,Dec 29 2021,38,0
Louisiana,Dec 22 2021,34,0
Louisiana,Dec 15 2021,55,0
Louisiana,Dec  8 2021,53,0
Louisiana,Dec  1 2021,31,0
Louisiana,Nov 24 2021,50,0
Louisiana,Nov 17 2021,61,0
Louisiana,Nov 10 2021,77,0
Louisiana,Nov  3 2021,78,0
Louisiana,Oct 27 2021,82,0
Louisiana,Oct 20 2021,156,0
Louisiana,Oct 13 2021,165,0
Louisiana,Oct  6 2021,201,0
Louisiana,Sep 29 2021,241,0
Louisiana,Sep 22 2021,341,0
Louisiana,Sep 15 2021,403,0
Louisiana,Sep  8 2021,333,0
Louisiana,Sep  1 2021,357,0
Louisiana,Aug 25 2021,435,0
Louisiana,Aug 18 2021,383,0
Louisiana,Aug 11 2021,277,0
Louisiana,Aug  4 2021,182,0
Louisiana,Jul 28 2021,74,0
Louisiana,Jul 21 2021,65,0
Louisiana,Jul 14 2021,44,0
Louisiana,Jul  7 2021,30,0
Louisiana,Jun 30 2021,27,0
Louisiana,Jun 23 2021,38,0
Louisiana,Jun 16 2021,38,0
Louisiana,Jun  9 2021,38,0
Louisiana,Jun  2 2021,33,0
Louisiana,May 26 2021,54,0
Louisiana,May 19 2021,46,0
Louisiana,May 12 2021,44,0
Louisiana,May  5 2021,51,0
Louisiana,Apr 28 2021,50,0
Louisiana,Apr 21 2021,52,0
Louisiana,Apr 14 2021,79,0
Louisiana,Apr  7 2021,44,0
Louisiana,Mar 31 2021,86,0
Louisiana,Mar 24 2021,100,0
Louisiana,Mar 17 2021,143,0
Louisiana,Mar 10 2021,144,0
Louisiana,Mar  3 2021,141,0
Louisiana,Feb 24 2021,137,0
Louisiana,Feb 17 2021,178,0
Louisiana,Feb 10 2021,206,0
Louisiana,Feb  3 2021,318,0
Louisiana,Jan 27 2021,305,0
Louisiana,Jan 20 2021,361,0
Louisiana,Jan 13 2021,341,0
Louisiana,Jan  6 2021,233,0
Louisiana,Dec 30 2020,222,0
Louisiana,Dec 23 2020,294,0
Louisiana,Dec 16 2020,249,0
Louisiana,Dec  9 2020,182,0
Louisiana,Dec  2 2020,151,0
Louisiana,Nov 25 2020,166,0
Louisiana,Nov 18 2020,126,0
Louisiana,Nov 11 2020,83,0
Louisiana,Nov  4 2020,85,0
Louisiana,Oct 28 2020,106,0
Louisiana,Oct 21 2020,89,0
Louisiana,Oct 14 2020,92,0
Louisiana,Oct  7 2020,92,0
Louisiana,Sep 30 2020,103,0
Louisiana,Sep 23 2020,112,0
Louisiana,Sep 16 2020,157,0
Louisiana,Sep  9 2020,134,0
Louisiana,Sep  2 2020,154,0
Louisiana,Aug 26 2020,243,0
Louisiana,Aug 19 2020,253,0
Louisiana,Aug 12 2020,259,0
Louisiana,Aug  5 2020,214,0
Louisiana,Jul 29 2020,215,0
Louisiana,Jul 22 2020,207,0
Louisiana,Jul 15 2020,121,0
Louisiana,Jul  8 2020,101,0
Louisiana,Jul  1 2020,87,0
Louisiana,Jun 24 2020,92,0
Louisiana,Jun 17 2020,92,0
Louisiana,Jun 10 2020,99,0
Louisiana,Jun  3 2020,147,0
Louisiana,May 27 2020,112,0
Louisiana,May 20 2020,228,0
Louisiana,May 13 2020,219,0
Louisiana,May  6 2020,321,0
Louisiana,Apr 29 2020,366,0
Louisiana,Apr 22 2020,371,0
Louisiana,Apr 15 2020,449,0
Louisiana,Apr  8 2020,382,0
Louisiana,Apr  1 2020,208,0
Louisiana,Mar 25 2020,59,0
Louisiana,Mar 18 2020,6,0
Louisiana,Mar 11 2020,0,0
Louisiana,Mar  4 2020,0,0
Louisiana,Feb 26 2020,0,0
Louisiana,Feb 19 2020,0,0
Louisiana,Feb 12 2020,0,0
Louisiana,Feb  5 2020,0,0
Louisiana,Jan 29 2020,0,0
