Data Table for Weekly Death Trends - Massachusetts
Date generated: Mon Dec 05 2022 12:42:13 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Massachusetts,Nov 30 2022,91,0
Massachusetts,Nov 23 2022,94,0
Massachusetts,Nov 16 2022,94,0
Massachusetts,Nov  9 2022,103,0
Massachusetts,Nov  2 2022,83,0
Massachusetts,Oct 26 2022,101,0
Massachusetts,Oct 19 2022,81,0
Massachusetts,Oct 12 2022,70,0
Massachusetts,Oct  5 2022,125,0
Massachusetts,Sep 28 2022,59,0
Massachusetts,Sep 21 2022,52,0
Massachusetts,Sep 14 2022,72,0
Massachusetts,Sep  7 2022,74,0
Massachusetts,Aug 31 2022,47,0
Massachusetts,Aug 24 2022,58,0
Massachusetts,Aug 17 2022,61,0
Massachusetts,Aug 10 2022,48,0
Massachusetts,Aug  3 2022,48,0
Massachusetts,Jul 27 2022,59,0
Massachusetts,Jul 20 2022,33,0
Massachusetts,Jul 13 2022,38,0
Massachusetts,Jul  6 2022,65,0
Massachusetts,Jun 29 2022,58,0
Massachusetts,Jun 22 2022,74,0
Massachusetts,Jun 15 2022,91,0
Massachusetts,Jun  8 2022,82,0
Massachusetts,Jun  1 2022,83,0
Massachusetts,May 25 2022,91,0
Massachusetts,May 18 2022,88,0
Massachusetts,May 11 2022,60,0
Massachusetts,May  4 2022,58,0
Massachusetts,Apr 27 2022,39,0
Massachusetts,Apr 20 2022,42,0
Massachusetts,Apr 13 2022,30,0
Massachusetts,Apr  6 2022,38,0
Massachusetts,Mar 30 2022,38,0
Massachusetts,Mar 23 2022,47,0
Massachusetts,Mar 16 2022,32,0
Massachusetts,Mar  9 2022,0,0
Massachusetts,Mar  2 2022,0,0
Massachusetts,Feb 23 2022,3,0
Massachusetts,Feb 16 2022,0,0
Massachusetts,Feb  9 2022,1,0
Massachusetts,Feb  2 2022,0,0
Massachusetts,Jan 26 2022,8,0
Massachusetts,Jan 19 2022,9,0
Massachusetts,Jan 12 2022,35,0
Massachusetts,Jan  5 2022,72,0
Massachusetts,Dec 29 2021,128,0
Massachusetts,Dec 22 2021,149,0
Massachusetts,Dec 15 2021,123,0
Massachusetts,Dec  8 2021,103,0
Massachusetts,Dec  1 2021,85,0
Massachusetts,Nov 24 2021,70,0
Massachusetts,Nov 17 2021,83,0
Massachusetts,Nov 10 2021,71,0
Massachusetts,Nov  3 2021,71,0
Massachusetts,Oct 27 2021,95,0
Massachusetts,Oct 20 2021,73,0
Massachusetts,Oct 13 2021,95,0
Massachusetts,Oct  6 2021,107,0
Massachusetts,Sep 29 2021,95,0
Massachusetts,Sep 22 2021,98,0
Massachusetts,Sep 15 2021,93,0
Massachusetts,Sep  8 2021,57,0
Massachusetts,Sep  1 2021,58,0
Massachusetts,Aug 25 2021,35,0
Massachusetts,Aug 18 2021,43,0
Massachusetts,Aug 11 2021,34,0
Massachusetts,Aug  4 2021,16,0
Massachusetts,Jul 28 2021,35,0
Massachusetts,Jul 21 2021,23,0
Massachusetts,Jul 14 2021,7,0
Massachusetts,Jul  7 2021,14,0
Massachusetts,Jun 30 2021,12,0
Massachusetts,Jun 23 2021,27,0
Massachusetts,Jun 16 2021,36,0
Massachusetts,Jun  9 2021,31,0
Massachusetts,Jun  2 2021,47,0
Massachusetts,May 26 2021,46,0
Massachusetts,May 19 2021,81,0
Massachusetts,May 12 2021,54,0
Massachusetts,May  5 2021,80,0
Massachusetts,Apr 28 2021,80,0
Massachusetts,Apr 21 2021,71,0
Massachusetts,Apr 14 2021,69,0
Massachusetts,Apr  7 2021,173,0
Massachusetts,Mar 31 2021,215,0
Massachusetts,Mar 24 2021,238,0
Massachusetts,Mar 17 2021,223,0
Massachusetts,Mar 10 2021,257,0
Massachusetts,Mar  3 2021,307,0
Massachusetts,Feb 24 2021,322,0
Massachusetts,Feb 17 2021,416,0
Massachusetts,Feb 10 2021,499,0
Massachusetts,Feb  3 2021,404,0
Massachusetts,Jan 27 2021,475,0
Massachusetts,Jan 20 2021,470,0
Massachusetts,Jan 13 2021,523,0
Massachusetts,Jan  6 2021,498,0
Massachusetts,Dec 30 2020,451,0
Massachusetts,Dec 23 2020,374,0
Massachusetts,Dec 16 2020,347,0
Massachusetts,Dec  9 2020,342,0
Massachusetts,Dec  2 2020,220,0
Massachusetts,Nov 25 2020,197,0
Massachusetts,Nov 18 2020,185,0
Massachusetts,Nov 11 2020,160,0
Massachusetts,Nov  4 2020,138,0
Massachusetts,Oct 28 2020,144,0
Massachusetts,Oct 21 2020,133,0
Massachusetts,Oct 14 2020,90,0
Massachusetts,Oct  7 2020,101,0
Massachusetts,Sep 30 2020,109,0
Massachusetts,Sep 23 2020,102,0
Massachusetts,Sep 16 2020,99,0
Massachusetts,Sep  9 2020,80,0
Massachusetts,Sep  2 2020,79,0
Massachusetts,Aug 26 2020,111,0
Massachusetts,Aug 19 2020,107,0
Massachusetts,Aug 12 2020,110,0
Massachusetts,Aug  5 2020,79,0
Massachusetts,Jul 29 2020,112,0
Massachusetts,Jul 22 2020,104,0
Massachusetts,Jul 15 2020,121,0
Massachusetts,Jul  8 2020,153,0
Massachusetts,Jul  1 2020,152,0
Massachusetts,Jun 24 2020,204,0
Massachusetts,Jun 17 2020,280,0
Massachusetts,Jun 10 2020,302,0
Massachusetts,Jun  3 2020,605,0
Massachusetts,May 27 2020,481,0
Massachusetts,May 20 2020,751,0
Massachusetts,May 13 2020,895,0
Massachusetts,May  6 2020,1014,0
Massachusetts,Apr 29 2020,1224,0
Massachusetts,Apr 22 2020,1074,0
Massachusetts,Apr 15 2020,675,0
Massachusetts,Apr  8 2020,311,0
Massachusetts,Apr  1 2020,107,0
Massachusetts,Mar 25 2020,15,0
Massachusetts,Mar 18 2020,0,0
Massachusetts,Mar 11 2020,0,0
Massachusetts,Mar  4 2020,0,0
Massachusetts,Feb 26 2020,0,0
Massachusetts,Feb 19 2020,0,0
Massachusetts,Feb 12 2020,0,0
Massachusetts,Feb  5 2020,0,0
Massachusetts,Jan 29 2020,0,0
