Data Table for Weekly Death Trends - Minnesota
Date generated: Mon Dec 05 2022 12:45:44 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Minnesota,Nov 30 2022,52,0
Minnesota,Nov 23 2022,52,0
Minnesota,Nov 16 2022,52,0
Minnesota,Nov  9 2022,59,0
Minnesota,Nov  2 2022,36,0
Minnesota,Oct 26 2022,41,0
Minnesota,Oct 19 2022,49,0
Minnesota,Oct 12 2022,40,0
Minnesota,Oct  5 2022,41,0
Minnesota,Sep 28 2022,33,0
Minnesota,Sep 21 2022,49,0
Minnesota,Sep 14 2022,44,0
Minnesota,Sep  7 2022,42,0
Minnesota,Aug 31 2022,39,0
Minnesota,Aug 24 2022,38,0
Minnesota,Aug 17 2022,28,0
Minnesota,Aug 10 2022,35,0
Minnesota,Aug  3 2022,27,0
Minnesota,Jul 27 2022,43,0
Minnesota,Jul 20 2022,37,0
Minnesota,Jul 13 2022,34,0
Minnesota,Jul  6 2022,2,0
Minnesota,Jun 29 2022,21,0
Minnesota,Jun 22 2022,13,0
Minnesota,Jun 15 2022,21,0
Minnesota,Jun  8 2022,32,0
Minnesota,Jun  1 2022,23,0
Minnesota,May 25 2022,37,0
Minnesota,May 18 2022,35,0
Minnesota,May 11 2022,26,0
Minnesota,May  4 2022,22,0
Minnesota,Apr 27 2022,19,0
Minnesota,Apr 20 2022,19,0
Minnesota,Apr 13 2022,12,0
Minnesota,Apr  6 2022,7,0
Minnesota,Mar 30 2022,10,0
Minnesota,Mar 23 2022,12,0
Minnesota,Mar 16 2022,21,0
Minnesota,Mar  9 2022,19,0
Minnesota,Mar  2 2022,44,0
Minnesota,Feb 23 2022,45,0
Minnesota,Feb 16 2022,78,0
Minnesota,Feb  9 2022,148,0
Minnesota,Feb  2 2022,232,0
Minnesota,Jan 26 2022,201,0
Minnesota,Jan 19 2022,214,0
Minnesota,Jan 12 2022,240,0
Minnesota,Jan  5 2022,92,0
Minnesota,Dec 29 2021,159,0
Minnesota,Dec 22 2021,171,0
Minnesota,Dec 15 2021,245,0
Minnesota,Dec  8 2021,267,0
Minnesota,Dec  1 2021,265,0
Minnesota,Nov 24 2021,242,0
Minnesota,Nov 17 2021,273,0
Minnesota,Nov 10 2021,208,0
Minnesota,Nov  3 2021,264,0
Minnesota,Oct 27 2021,160,0
Minnesota,Oct 20 2021,148,0
Minnesota,Oct 13 2021,167,0
Minnesota,Oct  6 2021,144,0
Minnesota,Sep 29 2021,130,0
Minnesota,Sep 22 2021,115,0
Minnesota,Sep 15 2021,133,0
Minnesota,Sep  8 2021,79,0
Minnesota,Sep  1 2021,80,0
Minnesota,Aug 25 2021,67,0
Minnesota,Aug 18 2021,61,0
Minnesota,Aug 11 2021,33,0
Minnesota,Aug  4 2021,35,0
Minnesota,Jul 28 2021,13,0
Minnesota,Jul 21 2021,16,0
Minnesota,Jul 14 2021,6,0
Minnesota,Jul  7 2021,4,0
Minnesota,Jun 30 2021,5,0
Minnesota,Jun 23 2021,2,0
Minnesota,Jun 16 2021,5,0
Minnesota,Jun  9 2021,17,0
Minnesota,Jun  2 2021,13,0
Minnesota,May 26 2021,26,0
Minnesota,May 19 2021,34,0
Minnesota,May 12 2021,35,0
Minnesota,May  5 2021,53,0
Minnesota,Apr 28 2021,59,0
Minnesota,Apr 21 2021,77,0
Minnesota,Apr 14 2021,67,0
Minnesota,Apr  7 2021,51,0
Minnesota,Mar 31 2021,51,0
Minnesota,Mar 24 2021,38,0
Minnesota,Mar 17 2021,32,0
Minnesota,Mar 10 2021,169,0
Minnesota,Mar  3 2021,25,0
Minnesota,Feb 24 2021,31,0
Minnesota,Feb 17 2021,34,0
Minnesota,Feb 10 2021,34,0
