Data Table for Weekly Death Trends - Mississippi
Date generated: Mon Dec 05 2022 12:46:01 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Mississippi,Nov 30 2022,2,0
Mississippi,Nov 23 2022,17,0
Mississippi,Nov 16 2022,12,0
Mississippi,Nov  9 2022,13,0
Mississippi,Nov  2 2022,24,0
Mississippi,Oct 26 2022,3,0
Mississippi,Oct 19 2022,20,0
Mississippi,Oct 12 2022,17,0
Mississippi,Oct  5 2022,16,0
Mississippi,Sep 28 2022,33,0
Mississippi,Sep 21 2022,26,0
Mississippi,Sep 14 2022,32,0
Mississippi,Sep  7 2022,27,0
Mississippi,Aug 31 2022,28,0
Mississippi,Aug 24 2022,16,0
Mississippi,Aug 17 2022,36,0
Mississippi,Aug 10 2022,39,0
Mississippi,Aug  3 2022,46,0
Mississippi,Jul 27 2022,40,0
Mississippi,Jul 20 2022,29,0
Mississippi,Jul 13 2022,33,0
Mississippi,Jul  6 2022,11,0
Mississippi,Jun 29 2022,14,0
Mississippi,Jun 22 2022,13,0
Mississippi,Jun 15 2022,10,0
Mississippi,Jun  8 2022,12,0
Mississippi,Jun  1 2022,1,0
Mississippi,May 25 2022,5,0
Mississippi,May 18 2022,5,0
Mississippi,May 11 2022,6,0
Mississippi,May  4 2022,11,0
Mississippi,Apr 27 2022,7,0
Mississippi,Apr 20 2022,12,0
Mississippi,Apr 13 2022,10,0
Mississippi,Apr  6 2022,14,0
Mississippi,Mar 30 2022,27,0
Mississippi,Mar 23 2022,61,0
Mississippi,Mar 16 2022,80,0
Mississippi,Mar  9 2022,113,0
Mississippi,Mar  2 2022,162,0
Mississippi,Feb 23 2022,181,0
Mississippi,Feb 16 2022,317,0
Mississippi,Feb  9 2022,286,0
Mississippi,Feb  2 2022,395,0
Mississippi,Jan 26 2022,84,0
Mississippi,Jan 19 2022,128,0
Mississippi,Jan 12 2022,59,0
Mississippi,Jan  5 2022,64,0
Mississippi,Dec 29 2021,46,0
Mississippi,Dec 22 2021,46,0
Mississippi,Dec 15 2021,36,0
Mississippi,Dec  8 2021,25,0
Mississippi,Dec  1 2021,25,0
Mississippi,Nov 24 2021,45,0
Mississippi,Nov 17 2021,34,0
Mississippi,Nov 10 2021,48,0
Mississippi,Nov  3 2021,75,0
Mississippi,Oct 27 2021,91,0
Mississippi,Oct 20 2021,69,0
Mississippi,Oct 13 2021,131,0
Mississippi,Oct  6 2021,180,0
Mississippi,Sep 29 2021,235,0
Mississippi,Sep 22 2021,253,0
Mississippi,Sep 15 2021,313,0
Mississippi,Sep  8 2021,298,0
Mississippi,Sep  1 2021,309,0
Mississippi,Aug 25 2021,264,0
Mississippi,Aug 18 2021,206,0
Mississippi,Aug 11 2021,113,0
Mississippi,Aug  4 2021,68,0
Mississippi,Jul 28 2021,44,0
Mississippi,Jul 21 2021,29,0
Mississippi,Jul 14 2021,20,0
Mississippi,Jul  7 2021,24,0
Mississippi,Jun 30 2021,22,0
Mississippi,Jun 23 2021,22,0
Mississippi,Jun 16 2021,21,0
Mississippi,Jun  9 2021,25,0
Mississippi,Jun  2 2021,21,0
Mississippi,May 26 2021,34,0
Mississippi,May 19 2021,24,0
Mississippi,May 12 2021,20,0
Mississippi,May  5 2021,30,0
Mississippi,Apr 28 2021,30,0
Mississippi,Apr 21 2021,41,0
Mississippi,Apr 14 2021,45,0
Mississippi,Apr  7 2021,45,0
Mississippi,Mar 31 2021,51,0
Mississippi,Mar 24 2021,45,0
Mississippi,Mar 17 2021,92,0
Mississippi,Mar 10 2021,102,0
Mississippi,Mar  3 2021,137,0
Mississippi,Feb 24 2021,81,0
Mississippi,Feb 17 2021,157,0
Mississippi,Feb 10 2021,209,0
Mississippi,Feb  3 2021,241,0
Mississippi,Jan 27 2021,279,0
Mississippi,Jan 20 2021,323,0
