Data Table for Weekly Death Trends - Missouri
Date generated: Mon Dec 05 2022 12:46:13 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Missouri,Nov 30 2022,37,0
Missouri,Nov 23 2022,42,0
Missouri,Nov 16 2022,31,0
Missouri,Nov  9 2022,47,0
Missouri,Nov  2 2022,50,0
Missouri,Oct 26 2022,56,0
Missouri,Oct 19 2022,28,0
Missouri,Oct 12 2022,81,0
Missouri,Oct  5 2022,60,0
Missouri,Sep 28 2022,31,0
Missouri,Sep 21 2022,36,0
Missouri,Sep 14 2022,39,0
Missouri,Sep  7 2022,65,0
Missouri,Aug 31 2022,90,0
Missouri,Aug 24 2022,47,0
Missouri,Aug 17 2022,65,0
Missouri,Aug 10 2022,93,0
Missouri,Aug  3 2022,60,0
Missouri,Jul 27 2022,62,0
Missouri,Jul 20 2022,22,0
Missouri,Jul 13 2022,40,0
Missouri,Jul  6 2022,53,0
Missouri,Jun 29 2022,72,0
Missouri,Jun 22 2022,8,0
Missouri,Jun 15 2022,14,0
Missouri,Jun  8 2022,39,0
Missouri,Jun  1 2022,135,0
Missouri,May 25 2022,30,0
Missouri,May 18 2022,36,0
Missouri,May 11 2022,22,0
Missouri,May  4 2022,49,0
Missouri,Apr 27 2022,69,0
Missouri,Apr 20 2022,100,0
Missouri,Apr 13 2022,169,0
Missouri,Apr  6 2022,17,0
Missouri,Mar 30 2022,106,0
Missouri,Mar 23 2022,190,0
Missouri,Mar 16 2022,334,0
Missouri,Mar  9 2022,253,0
Missouri,Mar  2 2022,609,0
Missouri,Feb 23 2022,106,0
Missouri,Feb 16 2022,360,0
Missouri,Feb  9 2022,378,0
Missouri,Feb  2 2022,463,0
Missouri,Jan 26 2022,341,0
Missouri,Jan 19 2022,252,0
Missouri,Jan 12 2022,306,0
Missouri,Jan  5 2022,245,0
Missouri,Dec 29 2021,201,0
Missouri,Dec 22 2021,171,0
Missouri,Dec 15 2021,173,0
Missouri,Dec  8 2021,2551,0
Missouri,Dec  1 2021,83,0
Missouri,Nov 24 2021,108,0
Missouri,Nov 17 2021,88,0
Missouri,Nov 10 2021,136,0
Missouri,Nov  3 2021,158,0
Missouri,Oct 27 2021,99,0
Missouri,Oct 20 2021,137,0
Missouri,Oct 13 2021,129,0
Missouri,Oct  6 2021,198,0
Missouri,Sep 29 2021,185,0
Missouri,Sep 22 2021,274,0
Missouri,Sep 15 2021,195,0
Missouri,Sep  8 2021,213,0
Missouri,Sep  1 2021,238,0
Missouri,Aug 25 2021,248,0
Missouri,Aug 18 2021,169,0
Missouri,Aug 11 2021,209,0
Missouri,Aug  4 2021,167,0
Missouri,Jul 28 2021,117,0
Missouri,Jul 21 2021,83,0
Missouri,Jul 14 2021,81,0
Missouri,Jul  7 2021,60,0
Missouri,Jun 30 2021,60,0
Missouri,Jun 23 2021,27,0
Missouri,Jun 16 2021,33,0
Missouri,Jun  9 2021,66,0
Missouri,Jun  2 2021,57,0
Missouri,May 26 2021,85,0
Missouri,May 19 2021,147,0
Missouri,May 12 2021,40,0
Missouri,May  5 2021,88,0
Missouri,Apr 28 2021,70,0
Missouri,Apr 21 2021,59,0
Missouri,Apr 14 2021,120,0
Missouri,Apr  7 2021,23,0
Missouri,Mar 31 2021,69,0
Missouri,Mar 24 2021,84,0
Missouri,Mar 17 2021,66,0
Missouri,Mar 10 2021,154,0
Missouri,Mar  3 2021,246,0
Missouri,Feb 24 2021,411,0
Missouri,Feb 17 2021,298,0
Missouri,Feb 10 2021,111,0
Missouri,Feb  3 2021,386,0
Missouri,Jan 27 2021,274,0
Missouri,Jan 20 2021,330,0
Missouri,Jan 13 2021,358,0
Missouri,Jan  6 2021,370,0
Missouri,Dec 30 2020,257,0
Missouri,Dec 23 2020,498,0
Missouri,Dec 16 2020,430,0
Missouri,Dec  9 2020,383,0
Missouri,Dec  2 2020,300,0
Missouri,Nov 25 2020,321,0
Missouri,Nov 18 2020,163,0
Missouri,Nov 11 2020,227,0
Missouri,Nov  4 2020,216,0
Missouri,Oct 28 2020,234,0
Missouri,Oct 21 2020,187,0
Missouri,Oct 14 2020,230,0
Missouri,Oct  7 2020,163,0
Missouri,Sep 30 2020,125,0
Missouri,Sep 23 2020,170,0
Missouri,Sep 16 2020,66,0
Missouri,Sep  9 2020,125,0
Missouri,Sep  2 2020,99,0
Missouri,Aug 26 2020,49,0
Missouri,Aug 19 2020,80,0
Missouri,Aug 12 2020,61,0
Missouri,Aug  5 2020,61,0
Missouri,Jul 29 2020,80,0
Missouri,Jul 22 2020,41,0
Missouri,Jul 15 2020,51,0
Missouri,Jul  8 2020,37,0
Missouri,Jul  1 2020,35,0
Missouri,Jun 24 2020,86,0
Missouri,Jun 17 2020,56,0
Missouri,Jun 10 2020,28,0
Missouri,Jun  3 2020,49,0
Missouri,May 27 2020,45,0
Missouri,May 20 2020,87,0
Missouri,May 13 2020,116,0
Missouri,May  6 2020,117,0
Missouri,Apr 29 2020,125,0
Missouri,Apr 22 2020,98,0
Missouri,Apr 15 2020,94,0
Missouri,Apr  8 2020,83,0
Missouri,Apr  1 2020,15,0
Missouri,Mar 25 2020,8,0
Missouri,Mar 18 2020,1,0
Missouri,Mar 11 2020,0,0
Missouri,Mar  4 2020,0,0
Missouri,Feb 26 2020,0,0
Missouri,Feb 19 2020,0,0
Missouri,Feb 12 2020,0,0
Missouri,Feb  5 2020,0,0
Missouri,Jan 29 2020,0,0
