Data Table for Weekly Death Trends - New Hampshire
Date generated: Mon Dec 05 2022 12:47:23 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
New Hampshire,Nov 30 2022,10,0
New Hampshire,Nov 23 2022,12,0
New Hampshire,Nov 16 2022,12,0
New Hampshire,Nov  9 2022,21,0
New Hampshire,Nov  2 2022,24,0
New Hampshire,Oct 26 2022,12,0
New Hampshire,Oct 19 2022,12,0
New Hampshire,Oct 12 2022,5,0
New Hampshire,Oct  5 2022,5,0
New Hampshire,Sep 28 2022,15,0
New Hampshire,Sep 21 2022,12,0
New Hampshire,Sep 14 2022,10,0
New Hampshire,Sep  7 2022,4,0
New Hampshire,Aug 31 2022,10,0
New Hampshire,Aug 24 2022,6,0
New Hampshire,Aug 17 2022,9,0
New Hampshire,Aug 10 2022,6,0
New Hampshire,Aug  3 2022,8,0
New Hampshire,Jul 27 2022,8,0
New Hampshire,Jul 20 2022,11,0
New Hampshire,Jul 13 2022,10,0
New Hampshire,Jul  6 2022,12,0
New Hampshire,Jun 29 2022,10,0
New Hampshire,Jun 22 2022,7,0
New Hampshire,Jun 15 2022,10,0
New Hampshire,Jun  8 2022,16,0
New Hampshire,Jun  1 2022,11,0
New Hampshire,May 25 2022,13,0
New Hampshire,May 18 2022,22,0
New Hampshire,May 11 2022,7,0
New Hampshire,May  4 2022,9,0
New Hampshire,Apr 27 2022,6,0
New Hampshire,Apr 20 2022,10,0
New Hampshire,Apr 13 2022,9,0
New Hampshire,Apr  6 2022,0,0
New Hampshire,Mar 30 2022,9,0
New Hampshire,Mar 23 2022,15,0
New Hampshire,Mar 16 2022,20,0
New Hampshire,Mar  9 2022,14,0
New Hampshire,Mar  2 2022,26,0
New Hampshire,Feb 23 2022,42,0
New Hampshire,Feb 16 2022,42,0
New Hampshire,Feb  9 2022,52,0
New Hampshire,Feb  2 2022,59,0
New Hampshire,Jan 26 2022,64,0
New Hampshire,Jan 19 2022,77,0
New Hampshire,Jan 12 2022,19,0
New Hampshire,Jan  5 2022,63,0
New Hampshire,Dec 29 2021,75,0
New Hampshire,Dec 22 2021,58,0
New Hampshire,Dec 15 2021,49,0
New Hampshire,Dec  8 2021,43,0
New Hampshire,Dec  1 2021,42,0
New Hampshire,Nov 24 2021,35,0
New Hampshire,Nov 17 2021,31,0
New Hampshire,Nov 10 2021,36,0
New Hampshire,Nov  3 2021,37,0
New Hampshire,Oct 27 2021,7,0
New Hampshire,Oct 20 2021,26,0
New Hampshire,Oct 13 2021,18,0
New Hampshire,Oct  6 2021,14,0
New Hampshire,Sep 29 2021,13,0
New Hampshire,Sep 22 2021,13,0
New Hampshire,Sep 15 2021,22,0
New Hampshire,Sep  8 2021,11,0
New Hampshire,Sep  1 2021,12,0
New Hampshire,Aug 25 2021,12,0
New Hampshire,Aug 18 2021,3,0
New Hampshire,Aug 11 2021,4,0
New Hampshire,Aug  4 2021,3,0
New Hampshire,Jul 28 2021,2,0
New Hampshire,Jul 21 2021,3,0
New Hampshire,Jul 14 2021,7,0
