Data Table for Weekly Death Trends - New York (excludes NYC)*
Date generated: Mon Dec 05 2022 12:48:21 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
New York,Nov 30 2022,83,0
New York,Nov 23 2022,82,0
New York,Nov 16 2022,89,0
New York,Nov  9 2022,115,0
New York,Nov  2 2022,118,0
New York,Oct 26 2022,105,0
New York,Oct 19 2022,95,0
New York,Oct 12 2022,99,0
New York,Oct  5 2022,91,0
New York,Sep 28 2022,63,0
New York,Sep 21 2022,66,0
New York,Sep 14 2022,76,0
New York,Sep  7 2022,72,0
New York,Aug 31 2022,60,0
New York,Aug 24 2022,71,0
New York,Aug 17 2022,70,0
New York,Aug 10 2022,75,0
New York,Aug  3 2022,81,0
New York,Jul 27 2022,80,0
New York,Jul 20 2022,75,0
New York,Jul 13 2022,58,0
New York,Jul  6 2022,50,0
New York,Jun 29 2022,66,0
New York,Jun 22 2022,59,0
New York,Jun 15 2022,61,0
New York,Jun  8 2022,98,0
New York,Jun  1 2022,85,0
New York,May 25 2022,115,0
New York,May 18 2022,123,0
New York,May 11 2022,114,0
New York,May  4 2022,85,0
New York,Apr 27 2022,75,0
New York,Apr 20 2022,51,0
New York,Apr 13 2022,44,0
New York,Apr  6 2022,44,0
New York,Mar 30 2022,37,0
New York,Mar 23 2022,44,0
New York,Mar 16 2022,70,0
New York,Mar  9 2022,88,0
New York,Mar  2 2022,134,0
New York,Feb 23 2022,184,0
New York,Feb 16 2022,255,0
New York,Feb  9 2022,362,0
New York,Feb  2 2022,500,0
New York,Jan 26 2022,604,0
New York,Jan 19 2022,592,0
New York,Jan 12 2022,543,0
New York,Jan  5 2022,383,0
New York,Dec 29 2021,364,0
New York,Dec 22 2021,323,0
New York,Dec 15 2021,336,0
New York,Dec  8 2021,268,0
New York,Dec  1 2021,221,0
New York,Nov 24 2021,178,0
New York,Nov 17 2021,170,0
New York,Nov 10 2021,174,0
New York,Nov  3 2021,177,0
New York,Oct 27 2021,195,0
New York,Oct 20 2021,179,0
New York,Oct 13 2021,181,0
New York,Oct  6 2021,157,0
New York,Sep 29 2021,157,0
New York,Sep 22 2021,180,0
New York,Sep 15 2021,152,0
New York,Sep  8 2021,140,0
New York,Sep  1 2021,109,0
New York,Aug 25 2021,91,0
New York,Aug 18 2021,81,0
New York,Aug 11 2021,46,0
New York,Aug  4 2021,18,0
New York,Jul 28 2021,20,0
New York,Jul 21 2021,10,0
New York,Jul 14 2021,10,0
New York,Jul  7 2021,8,0
New York,Jun 30 2021,7,0
New York,Jun 23 2021,39,0
New York,Jun 16 2021,36,0
New York,Jun  9 2021,43,0
New York,Jun  2 2021,53,0
New York,May 26 2021,57,0
New York,May 19 2021,54,0
New York,May 12 2021,81,0
New York,May  5 2021,136,0
New York,Apr 28 2021,130,0
New York,Apr 21 2021,99,0
New York,Apr 14 2021,154,0
New York,Apr  7 2021,168,0
New York,Mar 31 2021,161,0
New York,Mar 24 2021,151,0
New York,Mar 17 2021,162,0
New York,Mar 10 2021,196,0
New York,Mar  3 2021,234,0
New York,Feb 24 2021,340,0
New York,Feb 17 2021,405,0
New York,Feb 10 2021,565,0
New York,Feb  3 2021,704,0
New York,Jan 27 2021,782,0
New York,Jan 20 2021,919,0
New York,Jan 13 2021,879,0
New York,Jan  6 2021,824,0
New York,Dec 30 2020,697,0
New York,Dec 23 2020,732,0
New York,Dec 16 2020,558,0
New York,Dec  9 2020,386,0
New York,Dec  2 2020,295,0
New York,Nov 25 2020,122,0
New York,Nov 18 2020,162,0
New York,Nov 11 2020,105,0
New York,Nov  4 2020,65,0
New York,Oct 28 2020,50,0
New York,Oct 21 2020,46,0
New York,Oct 14 2020,45,0
New York,Oct  7 2020,42,0
New York,Sep 30 2020,26,0
New York,Sep 23 2020,200,0
New York,Sep 16 2020,0,0
New York,Sep  9 2020,12,0
New York,Sep  2 2020,14,0
New York,Aug 26 2020,19,0
New York,Aug 19 2020,22,0
New York,Aug 12 2020,8,0
New York,Aug  5 2020,40,0
New York,Jul 29 2020,18,0
New York,Jul 22 2020,48,0
New York,Jul 15 2020,49,0
New York,Jul  8 2020,68,0
New York,Jul  1 2020,31,0
New York,Jun 24 2020,110,0
New York,Jun 17 2020,132,0
New York,Jun 10 2020,142,0
New York,Jun  3 2020,134,0
New York,May 27 2020,289,0
New York,May 20 2020,0,0
New York,May 13 2020,828,0
New York,May  6 2020,1224,0
New York,Apr 29 2020,1350,0
New York,Apr 22 2020,1852,0
New York,Apr 15 2020,2748,0
New York,Apr  8 2020,2609,0
New York,Apr  1 2020,617,0
New York,Mar 25 2020,102,0
New York,Mar 18 2020,14,0
New York,Mar 11 2020,0,0
New York,Mar  4 2020,0,0
New York,Feb 26 2020,0,0
New York,Feb 19 2020,0,0
New York,Feb 12 2020,0,0
New York,Feb  5 2020,0,0
New York,Jan 29 2020,0,0
