Data Table for Weekly Death Trends - Ohio
Date generated: Mon Dec 05 2022 12:59:05 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Ohio,Nov 30 2022,0,0
Ohio,Nov 23 2022,209,0
Ohio,Nov 16 2022,49,0
Ohio,Nov  9 2022,69,0
Ohio,Nov  2 2022,64,0
Ohio,Oct 26 2022,71,0
Ohio,Oct 19 2022,85,0
Ohio,Oct 12 2022,91,0
Ohio,Oct  5 2022,86,0
Ohio,Sep 28 2022,89,0
Ohio,Sep 21 2022,97,0
Ohio,Sep 14 2022,85,0
Ohio,Sep  7 2022,83,0
Ohio,Aug 31 2022,94,0
Ohio,Aug 24 2022,90,0
Ohio,Aug 17 2022,83,0
Ohio,Aug 10 2022,97,0
Ohio,Aug  3 2022,54,0
Ohio,Jul 27 2022,48,0
Ohio,Jul 20 2022,33,0
Ohio,Jul 13 2022,59,0
Ohio,Jul  6 2022,63,0
Ohio,Jun 29 2022,133,0
Ohio,Jun 22 2022,0,0
Ohio,Jun 15 2022,0,0
Ohio,Jun  8 2022,26,0
Ohio,Jun  1 2022,34,0
Ohio,May 25 2022,38,0
Ohio,May 18 2022,52,0
Ohio,May 11 2022,59,0
Ohio,May  4 2022,68,0
Ohio,Apr 27 2022,95,0
Ohio,Apr 20 2022,100,0
Ohio,Apr 13 2022,126,0
Ohio,Apr  6 2022,247,0
Ohio,Mar 30 2022,184,0
Ohio,Mar 23 2022,196,0
Ohio,Mar 16 2022,0,0
Ohio,Mar  9 2022,137,0
Ohio,Mar  2 2022,280,0
Ohio,Feb 23 2022,254,0
Ohio,Feb 16 2022,292,0
Ohio,Feb  9 2022,394,0
Ohio,Feb  2 2022,619,0
Ohio,Jan 26 2022,892,0
Ohio,Jan 19 2022,1048,0
Ohio,Jan 12 2022,1027,0
Ohio,Jan  5 2022,968,0
Ohio,Dec 29 2021,881,0
Ohio,Dec 22 2021,841,0
Ohio,Dec 15 2021,844,0
Ohio,Dec  8 2021,760,0
Ohio,Dec  1 2021,598,0
Ohio,Nov 24 2021,532,0
Ohio,Nov 17 2021,408,0
Ohio,Nov 10 2021,394,0
Ohio,Nov  3 2021,436,0
Ohio,Oct 27 2021,520,0
Ohio,Oct 20 2021,589,0
Ohio,Oct 13 2021,581,0
Ohio,Oct  6 2021,601,0
Ohio,Sep 29 2021,613,0
Ohio,Sep 22 2021,544,0
Ohio,Sep 15 2021,487,0
Ohio,Sep  8 2021,373,0
Ohio,Sep  1 2021,272,0
Ohio,Aug 25 2021,228,0
Ohio,Aug 18 2021,157,0
Ohio,Aug 11 2021,93,0
Ohio,Aug  4 2021,63,0
Ohio,Jul 28 2021,37,0
Ohio,Jul 21 2021,43,0
Ohio,Jul 14 2021,25,0
Ohio,Jul  7 2021,36,0
Ohio,Jun 30 2021,31,0
Ohio,Jun 23 2021,45,0
Ohio,Jun 16 2021,66,0
Ohio,Jun  9 2021,70,0
Ohio,Jun  2 2021,81,0
Ohio,May 26 2021,101,0
Ohio,May 19 2021,109,0
Ohio,May 12 2021,96,0
Ohio,May  5 2021,137,0
Ohio,Apr 28 2021,135,0
Ohio,Apr 21 2021,136,0
Ohio,Apr 14 2021,114,0
Ohio,Apr  7 2021,129,0
Ohio,Mar 31 2021,102,0
Ohio,Mar 24 2021,109,0
Ohio,Mar 17 2021,131,0
Ohio,Mar 10 2021,169,0
Ohio,Mar  3 2021,208,0
Ohio,Feb 24 2021,250,0
Ohio,Feb 17 2021,332,0
Ohio,Feb 10 2021,433,0
Ohio,Feb  3 2021,554,0
Ohio,Jan 27 2021,696,0
Ohio,Jan 20 2021,827,0
Ohio,Jan 13 2021,974,0
Ohio,Jan  6 2021,1038,0
Ohio,Dec 30 2020,1149,0
Ohio,Dec 23 2020,1341,0
Ohio,Dec 16 2020,1325,0
Ohio,Dec  9 2020,1246,0
Ohio,Dec  2 2020,1033,0
Ohio,Nov 25 2020,857,0
Ohio,Nov 18 2020,536,0
Ohio,Nov 11 2020,450,0
Ohio,Nov  4 2020,325,0
Ohio,Oct 28 2020,253,0
Ohio,Oct 21 2020,204,0
Ohio,Oct 14 2020,155,0
Ohio,Oct  7 2020,124,0
Ohio,Sep 30 2020,129,0
Ohio,Sep 23 2020,124,0
Ohio,Sep 16 2020,123,0
Ohio,Sep  9 2020,132,0
Ohio,Sep  2 2020,162,0
Ohio,Aug 26 2020,180,0
Ohio,Aug 19 2020,156,0
Ohio,Aug 12 2020,160,0
Ohio,Aug  5 2020,146,0
Ohio,Jul 29 2020,190,0
Ohio,Jul 22 2020,151,0
Ohio,Jul 15 2020,109,0
Ohio,Jul  8 2020,91,0
Ohio,Jul  1 2020,93,0
Ohio,Jun 24 2020,82,0
Ohio,Jun 17 2020,113,0
Ohio,Jun 10 2020,116,0
Ohio,Jun  3 2020,179,0
Ohio,May 27 2020,212,0
Ohio,May 20 2020,242,0
Ohio,May 13 2020,255,0
Ohio,May  6 2020,273,0
Ohio,Apr 29 2020,311,0
Ohio,Apr 22 2020,272,0
Ohio,Apr 15 2020,209,0
Ohio,Apr  8 2020,153,0
Ohio,Apr  1 2020,82,0
Ohio,Mar 25 2020,22,0
Ohio,Mar 18 2020,4,0
Ohio,Mar 11 2020,0,0
Ohio,Mar  4 2020,0,0
Ohio,Feb 26 2020,0,0
Ohio,Feb 19 2020,0,0
Ohio,Feb 12 2020,0,0
Ohio,Feb  5 2020,0,0
Ohio,Jan 29 2020,0,0
