Data Table for Weekly Death Trends - Oklahoma
Date generated: Mon Dec 05 2022 12:59:15 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Oklahoma,Nov 30 2022,32,0
Oklahoma,Nov 23 2022,5,0
Oklahoma,Nov 16 2022,21,0
Oklahoma,Nov  9 2022,31,0
Oklahoma,Nov  2 2022,19,0
Oklahoma,Oct 26 2022,18,0
Oklahoma,Oct 19 2022,40,0
Oklahoma,Oct 12 2022,78,0
Oklahoma,Oct  5 2022,19,0
Oklahoma,Sep 28 2022,2,0
Oklahoma,Sep 21 2022,19,0
Oklahoma,Sep 14 2022,24,0
Oklahoma,Sep  7 2022,72,0
Oklahoma,Aug 31 2022,26,0
Oklahoma,Aug 24 2022,20,0
Oklahoma,Aug 17 2022,30,0
Oklahoma,Aug 10 2022,17,0
Oklahoma,Aug  3 2022,21,0
Oklahoma,Jul 27 2022,30,0
Oklahoma,Jul 20 2022,52,0
Oklahoma,Jul 13 2022,2,0
Oklahoma,Jul  6 2022,3,0
Oklahoma,Jun 29 2022,0,0
Oklahoma,Jun 22 2022,13,0
Oklahoma,Jun 15 2022,20,0
Oklahoma,Jun  8 2022,17,0
Oklahoma,Jun  1 2022,1,0
Oklahoma,May 25 2022,38,0
Oklahoma,May 18 2022,34,0
Oklahoma,May 11 2022,85,0
Oklahoma,May  4 2022,49,0
Oklahoma,Apr 27 2022,55,0
Oklahoma,Apr 20 2022,77,0
Oklahoma,Apr 13 2022,74,0
Oklahoma,Apr  6 2022,117,0
Oklahoma,Mar 30 2022,160,0
Oklahoma,Mar 23 2022,216,0
Oklahoma,Mar 16 2022,235,0
Oklahoma,Mar  9 2022,1,0
Oklahoma,Mar  2 2022,286,0
Oklahoma,Feb 23 2022,227,0
Oklahoma,Feb 16 2022,338,0
Oklahoma,Feb  9 2022,236,0
Oklahoma,Feb  2 2022,148,0
Oklahoma,Jan 26 2022,171,0
Oklahoma,Jan 19 2022,132,0
Oklahoma,Jan 12 2022,95,0
Oklahoma,Jan  5 2022,100,0
Oklahoma,Dec 29 2021,666,0
Oklahoma,Dec 22 2021,0,0
Oklahoma,Dec 15 2021,0,0
Oklahoma,Dec  8 2021,0,0
Oklahoma,Dec  1 2021,0,0
Oklahoma,Nov 24 2021,0,0
Oklahoma,Nov 17 2021,0,0
Oklahoma,Nov 10 2021,0,0
Oklahoma,Nov  3 2021,169,0
Oklahoma,Oct 27 2021,179,0
Oklahoma,Oct 20 2021,1129,0
Oklahoma,Oct 13 2021,189,0
Oklahoma,Oct  6 2021,264,0
Oklahoma,Sep 29 2021,234,0
Oklahoma,Sep 22 2021,276,0
Oklahoma,Sep 15 2021,231,0
Oklahoma,Sep  8 2021,207,0
Oklahoma,Sep  1 2021,189,0
Oklahoma,Aug 25 2021,136,0
Oklahoma,Aug 18 2021,82,0
Oklahoma,Aug 11 2021,63,0
Oklahoma,Aug  4 2021,46,0
Oklahoma,Jul 28 2021,31,0
Oklahoma,Jul 21 2021,37,0
Oklahoma,Jul 14 2021,11,0
Oklahoma,Jul  7 2021,18,0
Oklahoma,Jun 30 2021,5,0
Oklahoma,Jun 23 2021,29,0
Oklahoma,Jun 16 2021,29,0
Oklahoma,Jun  9 2021,10,0
Oklahoma,Jun  2 2021,25,0
Oklahoma,May 26 2021,371,0
Oklahoma,May 19 2021,40,0
Oklahoma,May 12 2021,47,0
Oklahoma,May  5 2021,50,0
Oklahoma,Apr 28 2021,71,0
Oklahoma,Apr 21 2021,19,0
Oklahoma,Apr 14 2021,28,0
Oklahoma,Apr  7 2021,1711,0
Oklahoma,Mar 31 2021,103,0
Oklahoma,Mar 24 2021,62,0
Oklahoma,Mar 17 2021,87,0
Oklahoma,Mar 10 2021,167,0
Oklahoma,Mar  3 2021,270,0
Oklahoma,Feb 24 2021,175,0
Oklahoma,Feb 17 2021,189,0
Oklahoma,Feb 10 2021,245,0
Oklahoma,Feb  3 2021,266,0
Oklahoma,Jan 27 2021,303,0
Oklahoma,Jan 20 2021,237,0
Oklahoma,Jan 13 2021,215,0
Oklahoma,Jan  6 2021,180,0
Oklahoma,Dec 30 2020,170,0
Oklahoma,Dec 23 2020,154,0
Oklahoma,Dec 16 2020,183,0
Oklahoma,Dec  9 2020,133,0
Oklahoma,Dec  2 2020,132,0
Oklahoma,Nov 25 2020,110,0
Oklahoma,Nov 18 2020,100,0
Oklahoma,Nov 11 2020,78,0
Oklahoma,Nov  4 2020,106,0
Oklahoma,Oct 28 2020,77,0
Oklahoma,Oct 21 2020,77,0
Oklahoma,Oct 14 2020,57,0
Oklahoma,Oct  7 2020,44,0
Oklahoma,Sep 30 2020,61,0
Oklahoma,Sep 23 2020,46,0
Oklahoma,Sep 16 2020,61,0
Oklahoma,Sep  9 2020,42,0
Oklahoma,Sep  2 2020,58,0
Oklahoma,Aug 26 2020,64,0
Oklahoma,Aug 19 2020,72,0
Oklahoma,Aug 12 2020,45,0
Oklahoma,Aug  5 2020,59,0
Oklahoma,Jul 29 2020,49,0
Oklahoma,Jul 22 2020,42,0
Oklahoma,Jul 15 2020,25,0
Oklahoma,Jul  8 2020,18,0
Oklahoma,Jul  1 2020,17,0
Oklahoma,Jun 24 2020,8,0
Oklahoma,Jun 17 2020,9,0
Oklahoma,Jun 10 2020,14,0
Oklahoma,Jun  3 2020,19,0
Oklahoma,May 27 2020,23,0
Oklahoma,May 20 2020,20,0
Oklahoma,May 13 2020,26,0
Oklahoma,May  6 2020,39,0
Oklahoma,Apr 29 2020,44,0
Oklahoma,Apr 22 2020,47,0
Oklahoma,Apr 15 2020,44,0
Oklahoma,Apr  8 2020,50,0
Oklahoma,Apr  1 2020,24,0
Oklahoma,Mar 25 2020,5,0
Oklahoma,Mar 18 2020,0,0
Oklahoma,Mar 11 2020,0,0
Oklahoma,Mar  4 2020,0,0
Oklahoma,Feb 26 2020,0,0
Oklahoma,Feb 19 2020,0,0
Oklahoma,Feb 12 2020,0,0
Oklahoma,Feb  5 2020,0,0
Oklahoma,Jan 29 2020,0,0
