Data Table for Weekly Death Trends - Pennsylvania
Date generated: Mon Dec 05 2022 12:59:42 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Pennsylvania,Nov 30 2022,116,0
Pennsylvania,Nov 23 2022,145,0
Pennsylvania,Nov 16 2022,194,0
Pennsylvania,Nov  9 2022,150,0
Pennsylvania,Nov  2 2022,148,0
Pennsylvania,Oct 26 2022,138,0
Pennsylvania,Oct 19 2022,130,0
Pennsylvania,Oct 12 2022,109,0
Pennsylvania,Oct  5 2022,118,0
Pennsylvania,Sep 28 2022,117,0
Pennsylvania,Sep 21 2022,129,0
Pennsylvania,Sep 14 2022,131,0
Pennsylvania,Sep  7 2022,154,0
Pennsylvania,Aug 31 2022,107,0
Pennsylvania,Aug 24 2022,98,0
Pennsylvania,Aug 17 2022,117,0
Pennsylvania,Aug 10 2022,123,0
Pennsylvania,Aug  3 2022,90,0
Pennsylvania,Jul 27 2022,137,0
Pennsylvania,Jul 20 2022,89,0
Pennsylvania,Jul 13 2022,129,0
Pennsylvania,Jul  6 2022,108,0
Pennsylvania,Jun 29 2022,63,0
Pennsylvania,Jun 22 2022,100,0
Pennsylvania,Jun 15 2022,145,0
Pennsylvania,Jun  8 2022,148,0
Pennsylvania,Jun  1 2022,104,0
Pennsylvania,May 25 2022,236,0
Pennsylvania,May 18 2022,79,0
Pennsylvania,May 11 2022,78,0
Pennsylvania,May  4 2022,93,0
Pennsylvania,Apr 27 2022,77,0
Pennsylvania,Apr 20 2022,106,0
Pennsylvania,Apr 13 2022,69,0
Pennsylvania,Apr  6 2022,104,0
Pennsylvania,Mar 30 2022,131,0
Pennsylvania,Mar 23 2022,149,0
Pennsylvania,Mar 16 2022,221,0
Pennsylvania,Mar  9 2022,298,0
Pennsylvania,Mar  2 2022,391,0
Pennsylvania,Feb 23 2022,441,0
Pennsylvania,Feb 16 2022,620,0
Pennsylvania,Feb  9 2022,821,0
Pennsylvania,Feb  2 2022,1036,0
Pennsylvania,Jan 26 2022,1155,0
Pennsylvania,Jan 19 2022,691,0
Pennsylvania,Jan 12 2022,1031,0
Pennsylvania,Jan  5 2022,658,0
Pennsylvania,Dec 29 2021,737,0
Pennsylvania,Dec 22 2021,787,0
Pennsylvania,Dec 15 2021,806,0
Pennsylvania,Dec  8 2021,671,0
Pennsylvania,Dec  1 2021,438,0
Pennsylvania,Nov 24 2021,472,0
Pennsylvania,Nov 17 2021,442,0
Pennsylvania,Nov 10 2021,472,0
Pennsylvania,Nov  3 2021,514,0
Pennsylvania,Oct 27 2021,474,0
Pennsylvania,Oct 20 2021,487,0
Pennsylvania,Oct 13 2021,506,0
Pennsylvania,Oct  6 2021,400,0
Pennsylvania,Sep 29 2021,320,0
Pennsylvania,Sep 22 2021,299,0
Pennsylvania,Sep 15 2021,254,0
Pennsylvania,Sep  8 2021,206,0
Pennsylvania,Sep  1 2021,113,0
Pennsylvania,Aug 25 2021,117,0
Pennsylvania,Aug 18 2021,89,0
Pennsylvania,Aug 11 2021,46,0
Pennsylvania,Aug  4 2021,45,0
Pennsylvania,Jul 28 2021,27,0
Pennsylvania,Jul 21 2021,43,0
Pennsylvania,Jul 14 2021,46,0
Pennsylvania,Jul  7 2021,43,0
Pennsylvania,Jun 30 2021,61,0
Pennsylvania,Jun 23 2021,76,0
Pennsylvania,Jun 16 2021,104,0
Pennsylvania,Jun  9 2021,146,0
Pennsylvania,Jun  2 2021,130,0
Pennsylvania,May 26 2021,195,0
Pennsylvania,May 19 2021,249,0
Pennsylvania,May 12 2021,249,0
Pennsylvania,May  5 2021,280,0
Pennsylvania,Apr 28 2021,296,0
Pennsylvania,Apr 21 2021,309,0
Pennsylvania,Apr 14 2021,252,0
Pennsylvania,Apr  7 2021,203,0
Pennsylvania,Mar 31 2021,216,0
Pennsylvania,Mar 24 2021,199,0
Pennsylvania,Mar 17 2021,234,0
Pennsylvania,Mar 10 2021,273,0
Pennsylvania,Mar  3 2021,370,0
Pennsylvania,Feb 24 2021,447,0
Pennsylvania,Feb 17 2021,562,0
Pennsylvania,Feb 10 2021,777,0
Pennsylvania,Feb  3 2021,840,0
Pennsylvania,Jan 27 2021,1216,0
Pennsylvania,Jan 20 2021,1399,0
Pennsylvania,Jan 13 2021,1463,0
Pennsylvania,Jan  6 2021,1239,0
Pennsylvania,Dec 30 2020,1263,0
Pennsylvania,Dec 23 2020,1330,0
Pennsylvania,Dec 16 2020,1414,0
Pennsylvania,Dec  9 2020,1038,0
Pennsylvania,Dec  2 2020,692,0
Pennsylvania,Nov 25 2020,645,0
Pennsylvania,Nov 18 2020,347,0
Pennsylvania,Nov 11 2020,271,0
Pennsylvania,Nov  4 2020,171,0
Pennsylvania,Oct 28 2020,157,0
Pennsylvania,Oct 21 2020,152,0
Pennsylvania,Oct 14 2020,135,0
Pennsylvania,Oct  7 2020,130,0
Pennsylvania,Sep 30 2020,78,0
Pennsylvania,Sep 23 2020,149,0
Pennsylvania,Sep 16 2020,95,0
Pennsylvania,Sep  9 2020,96,0
Pennsylvania,Sep  2 2020,93,0
Pennsylvania,Aug 26 2020,99,0
Pennsylvania,Aug 19 2020,119,0
Pennsylvania,Aug 12 2020,140,0
