Data Table for Weekly Death Trends - Vermont
Date generated: Mon Dec 05 2022 13:02:24 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Vermont,Nov 30 2022,0,0
Vermont,Nov 23 2022,7,0
Vermont,Nov 16 2022,0,0
Vermont,Nov  9 2022,9,0
Vermont,Nov  2 2022,14,0
Vermont,Oct 26 2022,6,0
Vermont,Oct 19 2022,2,0
Vermont,Oct 12 2022,4,0
Vermont,Oct  5 2022,9,0
Vermont,Sep 28 2022,0,0
Vermont,Sep 21 2022,4,0
Vermont,Sep 14 2022,0,0
Vermont,Sep  7 2022,8,0
Vermont,Aug 31 2022,0,0
Vermont,Aug 24 2022,5,0
Vermont,Aug 17 2022,3,0
Vermont,Aug 10 2022,6,0
Vermont,Aug  3 2022,0,0
Vermont,Jul 27 2022,4,0
Vermont,Jul 20 2022,1,0
Vermont,Jul 13 2022,1,0
Vermont,Jul  6 2022,4,0
Vermont,Jun 29 2022,1,0
Vermont,Jun 22 2022,3,0
Vermont,Jun 15 2022,6,0
Vermont,Jun  8 2022,3,0
Vermont,Jun  1 2022,9,0
Vermont,May 25 2022,7,0
Vermont,May 18 2022,6,0
Vermont,May 11 2022,9,0
Vermont,May  4 2022,9,0
Vermont,Apr 27 2022,0,0
Vermont,Apr 20 2022,7,0
Vermont,Apr 13 2022,0,0
Vermont,Apr  6 2022,4,0
Vermont,Mar 30 2022,2,0
Vermont,Mar 23 2022,3,0
Vermont,Mar 16 2022,5,0
Vermont,Mar  9 2022,1,0
Vermont,Mar  2 2022,0,0
Vermont,Feb 23 2022,7,0
Vermont,Feb 16 2022,23,0
Vermont,Feb  9 2022,18,0
Vermont,Feb  2 2022,21,0
Vermont,Jan 26 2022,25,0
Vermont,Jan 19 2022,21,0
Vermont,Jan 12 2022,9,0
Vermont,Jan  5 2022,9,0
Vermont,Dec 29 2021,10,0
Vermont,Dec 22 2021,13,0
Vermont,Dec 15 2021,15,0
Vermont,Dec  8 2021,18,0
Vermont,Dec  1 2021,9,0
Vermont,Nov 24 2021,8,0
Vermont,Nov 17 2021,8,0
Vermont,Nov 10 2021,11,0
Vermont,Nov  3 2021,14,0
Vermont,Oct 27 2021,11,0
Vermont,Oct 20 2021,7,0
Vermont,Oct 13 2021,17,0
Vermont,Oct  6 2021,7,0
Vermont,Sep 29 2021,18,0
Vermont,Sep 22 2021,12,0
Vermont,Sep 15 2021,10,0
Vermont,Sep  8 2021,4,0
Vermont,Sep  1 2021,7,0
Vermont,Aug 25 2021,6,0
Vermont,Aug 18 2021,5,0
Vermont,Aug 11 2021,5,0
Vermont,Aug  4 2021,0,0
Vermont,Jul 28 2021,0,0
Vermont,Jul 21 2021,0,0
Vermont,Jul 14 2021,2,0
Vermont,Jul  7 2021,0,0
Vermont,Jun 30 2021,2,0
Vermont,Jun 23 2021,0,0
Vermont,Jun 16 2021,0,0
Vermont,Jun  9 2021,0,0
Vermont,Jun  2 2021,1,0
Vermont,May 26 2021,0,0
Vermont,May 19 2021,2,0
Vermont,May 12 2021,3,0
Vermont,May  5 2021,3,0
Vermont,Apr 28 2021,3,0
Vermont,Apr 21 2021,1,0
Vermont,Apr 14 2021,6,0
Vermont,Apr  7 2021,6,0
Vermont,Mar 31 2021,8,0
Vermont,Mar 24 2021,6,0
Vermont,Mar 17 2021,4,0
Vermont,Mar 10 2021,6,0
Vermont,Mar  3 2021,2,0
Vermont,Feb 24 2021,9,0
Vermont,Feb 17 2021,5,0
Vermont,Feb 10 2021,7,0
Vermont,Feb  3 2021,9,0
Vermont,Jan 27 2021,2,0
Vermont,Jan 20 2021,8,0
Vermont,Jan 13 2021,9,0
Vermont,Jan  6 2021,10,0
Vermont,Dec 30 2020,16,0
Vermont,Dec 23 2020,17,0
Vermont,Dec 16 2020,16,0
Vermont,Dec  9 2020,17,0
Vermont,Dec  2 2020,11,0
Vermont,Nov 25 2020,6,0
Vermont,Nov 18 2020,4,0
Vermont,Nov 11 2020,1,0
Vermont,Nov  4 2020,0,0
Vermont,Oct 28 2020,0,0
Vermont,Oct 21 2020,0,0
Vermont,Oct 14 2020,0,0
Vermont,Oct  7 2020,0,0
Vermont,Sep 30 2020,0,0
Vermont,Sep 23 2020,0,0
Vermont,Sep 16 2020,0,0
Vermont,Sep  9 2020,0,0
Vermont,Sep  2 2020,0,0
Vermont,Aug 26 2020,0,0
Vermont,Aug 19 2020,0,0
Vermont,Aug 12 2020,0,0
Vermont,Aug  5 2020,0,0
Vermont,Jul 29 2020,1,0
Vermont,Jul 22 2020,0,0
Vermont,Jul 15 2020,1,0
Vermont,Jul  8 2020,0,0
Vermont,Jul  1 2020,0,0
Vermont,Jun 24 2020,0,0
Vermont,Jun 17 2020,1,0
Vermont,Jun 10 2020,0,0
Vermont,Jun  3 2020,0,0
Vermont,May 27 2020,1,0
Vermont,May 20 2020,1,0
Vermont,May 13 2020,0,0
Vermont,May  6 2020,4,0
Vermont,Apr 29 2020,3,0
Vermont,Apr 22 2020,10,0
Vermont,Apr 15 2020,9,0
Vermont,Apr  8 2020,0,0
Vermont,Apr  1 2020,15,0
Vermont,Mar 25 2020,12,0
Vermont,Mar 18 2020,0,0
Vermont,Mar 11 2020,0,0
Vermont,Mar  4 2020,0,0
Vermont,Feb 26 2020,0,0
Vermont,Feb 19 2020,0,0
Vermont,Feb 12 2020,0,0
Vermont,Feb  5 2020,0,0
Vermont,Jan 29 2020,0,0
