Data Table for Weekly Death Trends - Virginia
Date generated: Mon Dec 05 2022 13:02:41 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Virginia,Nov 30 2022,82,0
Virginia,Nov 23 2022,90,0
Virginia,Nov 16 2022,31,0
Virginia,Nov  9 2022,32,0
Virginia,Nov  2 2022,56,0
Virginia,Oct 26 2022,79,0
Virginia,Oct 19 2022,81,0
Virginia,Oct 12 2022,93,0
Virginia,Oct  5 2022,80,0
Virginia,Sep 28 2022,96,0
Virginia,Sep 21 2022,80,0
Virginia,Sep 14 2022,111,0
Virginia,Sep  7 2022,114,0
Virginia,Aug 31 2022,99,0
Virginia,Aug 24 2022,121,0
Virginia,Aug 17 2022,103,0
Virginia,Aug 10 2022,106,0
Virginia,Aug  3 2022,106,0
Virginia,Jul 27 2022,52,0
Virginia,Jul 20 2022,66,0
Virginia,Jul 13 2022,79,0
Virginia,Jul  6 2022,116,0
Virginia,Jun 29 2022,104,0
Virginia,Jun 22 2022,31,0
Virginia,Jun 15 2022,14,0
Virginia,Jun  8 2022,40,0
Virginia,Jun  1 2022,38,0
Virginia,May 25 2022,32,0
Virginia,May 18 2022,29,0
Virginia,May 11 2022,43,0
Virginia,May  4 2022,54,0
Virginia,Apr 27 2022,109,0
Virginia,Apr 20 2022,142,0
Virginia,Apr 13 2022,161,0
Virginia,Apr  6 2022,118,0
Virginia,Mar 30 2022,116,0
Virginia,Mar 23 2022,155,0
Virginia,Mar 16 2022,246,0
Virginia,Mar  9 2022,275,0
Virginia,Mar  2 2022,520,0
Virginia,Feb 23 2022,454,0
Virginia,Feb 16 2022,569,0
Virginia,Feb  9 2022,893,0
Virginia,Feb  2 2022,364,0
Virginia,Jan 26 2022,214,0
Virginia,Jan 19 2022,95,0
Virginia,Jan 12 2022,112,0
Virginia,Jan  5 2022,91,0
Virginia,Dec 29 2021,311,0
Virginia,Dec 22 2021,197,0
Virginia,Dec 15 2021,186,0
Virginia,Dec  8 2021,109,0
Virginia,Dec  1 2021,131,0
Virginia,Nov 24 2021,155,0
Virginia,Nov 17 2021,189,0
Virginia,Nov 10 2021,224,0
Virginia,Nov  3 2021,230,0
Virginia,Oct 27 2021,231,0
Virginia,Oct 20 2021,288,0
Virginia,Oct 13 2021,292,0
Virginia,Oct  6 2021,292,0
Virginia,Sep 29 2021,290,0
Virginia,Sep 22 2021,236,0
Virginia,Sep 15 2021,197,0
Virginia,Sep  8 2021,115,0
Virginia,Sep  1 2021,146,0
Virginia,Aug 25 2021,82,0
Virginia,Aug 18 2021,51,0
Virginia,Aug 11 2021,45,0
Virginia,Aug  4 2021,19,0
Virginia,Jul 28 2021,47,0
Virginia,Jul 21 2021,28,0
Virginia,Jul 14 2021,41,0
Virginia,Jul  7 2021,27,0
Virginia,Jun 30 2021,50,0
Virginia,Jun 23 2021,42,0
Virginia,Jun 16 2021,62,0
Virginia,Jun  9 2021,51,0
Virginia,Jun  2 2021,71,0
Virginia,May 26 2021,84,0
Virginia,May 19 2021,105,0
Virginia,May 12 2021,86,0
Virginia,May  5 2021,103,0
Virginia,Apr 28 2021,97,0
Virginia,Apr 21 2021,122,0
Virginia,Apr 14 2021,99,0
Virginia,Apr  7 2021,157,0
Virginia,Mar 31 2021,113,0
Virginia,Mar 24 2021,74,0
Virginia,Mar 17 2021,251,0
Virginia,Mar 10 2021,488,0
Virginia,Mar  3 2021,1506,0
Virginia,Feb 24 2021,738,0
Virginia,Feb 17 2021,149,0
Virginia,Feb 10 2021,349,0
Virginia,Feb  3 2021,345,0
Virginia,Jan 27 2021,366,0
Virginia,Jan 20 2021,309,0
Virginia,Jan 13 2021,325,0
Virginia,Jan  6 2021,245,0
Virginia,Dec 30 2020,224,0
Virginia,Dec 23 2020,254,0
Virginia,Dec 16 2020,226,0
Virginia,Dec  9 2020,172,0
Virginia,Dec  2 2020,105,0
Virginia,Nov 25 2020,148,0
Virginia,Nov 18 2020,119,0
Virginia,Nov 11 2020,59,0
Virginia,Nov  4 2020,64,0
Virginia,Oct 28 2020,101,0
Virginia,Oct 21 2020,133,0
Virginia,Oct 14 2020,74,0
Virginia,Oct  7 2020,98,0
Virginia,Sep 30 2020,116,0
Virginia,Sep 23 2020,205,0
Virginia,Sep 16 2020,189,0
Virginia,Sep  9 2020,56,0
Virginia,Sep  2 2020,126,0
Virginia,Aug 26 2020,103,0
Virginia,Aug 19 2020,66,0
Virginia,Aug 12 2020,72,0
Virginia,Aug  5 2020,151,0
Virginia,Jul 29 2020,75,0
Virginia,Jul 22 2020,62,0
Virginia,Jul 15 2020,88,0
Virginia,Jul  8 2020,118,0
Virginia,Jul  1 2020,126,0
Virginia,Jun 24 2020,79,0
Virginia,Jun 17 2020,63,0
Virginia,Jun 10 2020,92,0
Virginia,Jun  3 2020,143,0
Virginia,May 27 2020,201,0
Virginia,May 20 2020,147,0
Virginia,May 13 2020,191,0
Virginia,May  6 2020,217,0
Virginia,Apr 29 2020,171,0
Virginia,Apr 22 2020,153,0
Virginia,Apr 15 2020,129,0
Virginia,Apr  8 2020,32,0
Virginia,Apr  1 2020,25,0
Virginia,Mar 25 2020,7,0
Virginia,Mar 18 2020,2,0
Virginia,Mar 11 2020,0,0
Virginia,Mar  4 2020,0,0
Virginia,Feb 26 2020,0,0
Virginia,Feb 19 2020,0,0
Virginia,Feb 12 2020,0,0
Virginia,Feb  5 2020,0,0
Virginia,Jan 29 2020,0,0
