Data Table for Weekly Death Trends - Washington
Date generated: Mon Dec 05 2022 13:03:02 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Washington,Nov 30 2022,0,0
Washington,Nov 23 2022,41,0
Washington,Nov 16 2022,52,0
Washington,Nov  9 2022,56,0
Washington,Nov  2 2022,49,0
Washington,Oct 26 2022,58,0
Washington,Oct 19 2022,59,0
Washington,Oct 12 2022,62,0
Washington,Oct  5 2022,60,0
Washington,Sep 28 2022,114,0
Washington,Sep 21 2022,89,0
Washington,Sep 14 2022,113,0
Washington,Sep  7 2022,79,0
Washington,Aug 31 2022,191,0
Washington,Aug 24 2022,117,0
Washington,Aug 17 2022,93,0
Washington,Aug 10 2022,328,0
Washington,Aug  3 2022,291,0
Washington,Jul 27 2022,177,0
Washington,Jul 20 2022,59,0
Washington,Jul 13 2022,45,0
Washington,Jul  6 2022,48,0
Washington,Jun 29 2022,52,0
Washington,Jun 22 2022,78,0
Washington,Jun 15 2022,102,0
Washington,Jun  8 2022,151,0
Washington,Jun  1 2022,155,0
Washington,May 25 2022,193,0
Washington,May 18 2022,217,0
Washington,May 11 2022,298,0
Washington,May  4 2022,350,0
Washington,Apr 27 2022,267,0
Washington,Apr 20 2022,295,0
Washington,Apr 13 2022,208,0
Washington,Apr  6 2022,192,0
Washington,Mar 30 2022,151,0
Washington,Mar 23 2022,70,0
Washington,Mar 16 2022,109,0
Washington,Mar  9 2022,120,0
Washington,Mar  2 2022,141,0
Washington,Feb 23 2022,206,0
Washington,Feb 16 2022,97,0
Washington,Feb  9 2022,177,0
Washington,Feb  2 2022,137,0
Washington,Jan 26 2022,170,0
Washington,Jan 19 2022,176,0
Washington,Jan 12 2022,218,0
Washington,Jan  5 2022,210,0
Washington,Dec 29 2021,257,0
Washington,Dec 22 2021,271,0
Washington,Dec 15 2021,293,0
Washington,Dec  8 2021,286,0
Washington,Dec  1 2021,224,0
Washington,Nov 24 2021,184,0
Washington,Nov 17 2021,151,0
Washington,Nov 10 2021,117,0
Washington,Nov  3 2021,71,0
Washington,Oct 27 2021,46,0
Washington,Oct 20 2021,44,0
Washington,Oct 13 2021,39,0
Washington,Oct  6 2021,43,0
Washington,Sep 29 2021,58,0
Washington,Sep 22 2021,38,0
Washington,Sep 15 2021,81,0
Washington,Sep  8 2021,46,0
Washington,Sep  1 2021,52,0
Washington,Aug 25 2021,48,0
Washington,Aug 18 2021,41,0
Washington,Aug 11 2021,65,0
Washington,Aug  4 2021,44,0
Washington,Jul 28 2021,50,0
Washington,Jul 21 2021,52,0
Washington,Jul 14 2021,45,0
Washington,Jul  7 2021,57,0
Washington,Jun 30 2021,44,0
Washington,Jun 23 2021,59,0
Washington,Jun 16 2021,43,0
Washington,Jun  9 2021,51,0
Washington,Jun  2 2021,85,0
Washington,May 26 2021,86,0
Washington,May 19 2021,130,0
Washington,May 12 2021,147,0
Washington,May  5 2021,225,0
Washington,Apr 28 2021,164,0
Washington,Apr 21 2021,174,0
Washington,Apr 14 2021,213,0
Washington,Apr  7 2021,202,0
Washington,Mar 31 2021,236,0
Washington,Mar 24 2021,276,0
Washington,Mar 17 2021,80,0
Washington,Mar 10 2021,163,0
Washington,Mar  3 2021,58,0
Washington,Feb 24 2021,152,0
Washington,Feb 17 2021,119,0
Washington,Feb 10 2021,107,0
Washington,Feb  3 2021,83,0
Washington,Jan 27 2021,69,0
Washington,Jan 20 2021,68,0
Washington,Jan 13 2021,64,0
Washington,Jan  6 2021,50,0
Washington,Dec 30 2020,44,0
Washington,Dec 23 2020,21,0
Washington,Dec 16 2020,72,0
Washington,Dec  9 2020,51,0
Washington,Dec  2 2020,35,0
Washington,Nov 25 2020,44,0
Washington,Nov 18 2020,55,0
Washington,Nov 11 2020,47,0
Washington,Nov  4 2020,80,0
Washington,Oct 28 2020,94,0
Washington,Oct 21 2020,91,0
Washington,Oct 14 2020,80,0
Washington,Oct  7 2020,52,0
Washington,Sep 30 2020,63,0
Washington,Sep 23 2020,50,0
Washington,Sep 16 2020,44,0
Washington,Sep  9 2020,39,0
Washington,Sep  2 2020,39,0
Washington,Aug 26 2020,47,0
Washington,Aug 19 2020,39,0
Washington,Aug 12 2020,49,0
Washington,Aug  5 2020,67,0
Washington,Jul 29 2020,94,0
Washington,Jul 22 2020,75,0
Washington,Jul 15 2020,109,0
Washington,Jul  8 2020,128,0
Washington,Jul  1 2020,136,0
Washington,Jun 24 2020,228,0
Washington,Jun 17 2020,103,0
Washington,Jun 10 2020,55,0
Washington,Jun  3 2020,22,0
Washington,May 27 2020,13,0
Washington,May 20 2020,0,0
Washington,May 13 2020,0,0
Washington,May  6 2020,0,0
Washington,Apr 29 2020,0,0
Washington,Apr 22 2020,0,0
Washington,Apr 15 2020,0,0
Washington,Apr  8 2020,0,0
Washington,Apr  1 2020,0,0
Washington,Mar 25 2020,0,0
Washington,Mar 18 2020,0,0
Washington,Mar 11 2020,0,0
Washington,Mar  4 2020,5,0
Washington,Feb 26 2020,0,0
Washington,Feb 19 2020,0,0
Washington,Feb 12 2020,0,0
Washington,Feb  5 2020,0,0
Washington,Jan 29 2020,0,0
