Data Table for Total Cases - Arizona
Date generated: Mon Dec 05 2022 12:36:04 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Arizona,Nov 30 2022,2337547
Arizona,Nov 23 2022,2324560
Arizona,Nov 16 2022,2311150
Arizona,Nov  9 2022,2300375
Arizona,Nov  2 2022,2293015
Arizona,Oct 26 2022,2287886
Arizona,Oct 19 2022,2283073
Arizona,Oct 12 2022,2277635
Arizona,Oct  5 2022,2275235
Arizona,Sep 28 2022,2271560
Arizona,Sep 21 2022,2268158
Arizona,Sep 14 2022,2264159
Arizona,Sep  7 2022,2258018
Arizona,Aug 31 2022,2254337
Arizona,Aug 24 2022,2245713
Arizona,Aug 17 2022,2237208
Arizona,Aug 10 2022,2224964
Arizona,Aug  3 2022,2211463
Arizona,Jul 27 2022,2196429
Arizona,Jul 20 2022,2179180
Arizona,Jul 13 2022,2161045
Arizona,Jul  6 2022,2145765
Arizona,Jun 29 2022,2125567
Arizona,Jun 22 2022,2109053
Arizona,Jun 15 2022,2093680
Arizona,Jun  8 2022,2077346
Arizona,Jun  1 2022,2062669
Arizona,May 25 2022,2049627
Arizona,May 18 2022,2038129
Arizona,May 11 2022,2030925
Arizona,May  4 2022,2025435
Arizona,Apr 27 2022,2021524
Arizona,Apr 20 2022,2019166
Arizona,Apr 13 2022,2016729
Arizona,Apr  6 2022,2014008
Arizona,Mar 30 2022,2007180
Arizona,Mar 23 2022,1997037
Arizona,Mar 16 2022,1992471
Arizona,Mar  9 2022,1987318
Arizona,Mar  2 2022,1976890
Arizona,Feb 23 2022,1971678
Arizona,Feb 16 2022,1957085
Arizona,Feb  9 2022,1931642
Arizona,Feb  2 2022,1886541
Arizona,Jan 26 2022,1799503
Arizona,Jan 19 2022,1666191
Arizona,Jan 12 2022,1524363
Arizona,Jan  5 2022,1419562
Arizona,Dec 29 2021,1368080
Arizona,Dec 22 2021,1344183
Arizona,Dec 15 2021,1323997
Arizona,Dec  8 2021,1301598
Arizona,Dec  1 2021,1272943
Arizona,Nov 24 2021,1252248
Arizona,Nov 17 2021,1223892
Arizona,Nov 10 2021,1199277
Arizona,Nov  3 2021,1175520
Arizona,Oct 27 2021,1156731
Arizona,Oct 20 2021,1139627
Arizona,Oct 13 2021,1124709
Arizona,Oct  6 2021,1108830
Arizona,Sep 29 2021,1090839
Arizona,Sep 22 2021,1072863
Arizona,Sep 15 2021,1055919
Arizona,Sep  8 2021,1037013
Arizona,Sep  1 2021,1016663
Arizona,Aug 25 2021,991309
Arizona,Aug 18 2021,972925
Arizona,Aug 11 2021,952797
Arizona,Aug  4 2021,935647
Arizona,Jul 28 2021,921445
Arizona,Jul 21 2021,911462
Arizona,Jul 14 2021,903851
Arizona,Jul  7 2021,898283
Arizona,Jun 30 2021,894872
Arizona,Jun 23 2021,891025
Arizona,Jun 16 2021,887973
Arizona,Jun  9 2021,885002
Arizona,Jun  2 2021,882180
Arizona,May 26 2021,878312
Arizona,May 19 2021,874562
Arizona,May 12 2021,870611
Arizona,May  5 2021,866008
Arizona,Apr 28 2021,860772
Arizona,Apr 21 2021,855804
Arizona,Apr 14 2021,851265
Arizona,Apr  7 2021,846231
Arizona,Mar 31 2021,841807
Arizona,Mar 24 2021,837828
Arizona,Mar 17 2021,833859
Arizona,Mar 10 2021,828468
Arizona,Mar  3 2021,819816
Arizona,Feb 24 2021,811968
Arizona,Feb 17 2021,801055
Arizona,Feb 10 2021,789262
Arizona,Feb  3 2021,767379
Arizona,Jan 27 2021,738561
Arizona,Jan 20 2021,690544
Arizona,Jan 13 2021,641729
Arizona,Jan  6 2021,574680
Arizona,Dec 30 2020,512489
Arizona,Dec 23 2020,473273
Arizona,Dec 16 2020,429285
Arizona,Dec  9 2020,382601
Arizona,Dec  2 2020,340979
Arizona,Nov 25 2020,310850
Arizona,Nov 18 2020,283102
Arizona,Nov 11 2020,265163
Arizona,Nov  4 2020,250633
Arizona,Oct 28 2020,241165
Arizona,Oct 21 2020,233912
Arizona,Oct 14 2020,227637
Arizona,Oct  7 2020,222541
Arizona,Sep 30 2020,218508
Arizona,Sep 23 2020,215288
Arizona,Sep 16 2020,209907
Arizona,Sep  9 2020,206541
Arizona,Sep  2 2020,202861
Arizona,Aug 26 2020,199469
Arizona,Aug 19 2020,195560
Arizona,Aug 12 2020,189443
Arizona,Aug  5 2020,182210
Arizona,Jul 29 2020,168275
Arizona,Jul 22 2020,150618
Arizona,Jul 15 2020,131354
Arizona,Jul  8 2020,108614
Arizona,Jul  1 2020,84115
Arizona,Jun 24 2020,60190
Arizona,Jun 17 2020,40937
Arizona,Jun 10 2020,29852
Arizona,Jun  3 2020,22354
Arizona,May 27 2020,17319
Arizona,May 20 2020,14906
Arizona,May 13 2020,12216
Arizona,May  6 2020,9707
Arizona,Apr 29 2020,7209
Arizona,Apr 22 2020,5473
Arizona,Apr 15 2020,3969
Arizona,Apr  8 2020,2726
Arizona,Apr  1 2020,1413
Arizona,Mar 25 2020,401
Arizona,Mar 18 2020,27
Arizona,Mar 11 2020,9
Arizona,Mar  4 2020,1
Arizona,Feb 26 2020,1
Arizona,Feb 19 2020,1
Arizona,Feb 12 2020,1
Arizona,Feb  5 2020,1
Arizona,Jan 29 2020,1
