Data Table for Total Cases - California
Date generated: Mon Dec 05 2022 12:37:04 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
California,Nov 30 2022,11517221
California,Nov 23 2022,11477258
California,Nov 16 2022,11435959
California,Nov  9 2022,11401644
California,Nov  2 2022,11375896
California,Oct 26 2022,11353420
California,Oct 19 2022,11329293
California,Oct 12 2022,11309237
California,Oct  5 2022,11284337
California,Sep 28 2022,11253453
California,Sep 21 2022,11220161
California,Sep 14 2022,11184654
California,Sep  7 2022,11137381
California,Aug 31 2022,11075694
California,Aug 24 2022,11006684
California,Aug 17 2022,10930234
California,Aug 10 2022,10844550
California,Aug  3 2022,10748851
California,Jul 27 2022,10632003
California,Jul 20 2022,10495155
California,Jul 13 2022,10345430
California,Jul  6 2022,10212490
California,Jun 29 2022,10076018
California,Jun 22 2022,9946098
California,Jun 15 2022,9839072
California,Jun  8 2022,9717111
California,Jun  1 2022,9602502
California,May 25 2022,9493324
California,May 18 2022,9385311
California,May 11 2022,9307414
California,May  4 2022,9247004
California,Apr 27 2022,9198534
California,Apr 20 2022,9155058
California,Apr 13 2022,9114913
California,Apr  6 2022,9105148
California,Mar 30 2022,9084830
California,Mar 23 2022,9065847
California,Mar 16 2022,9034629
California,Mar  9 2022,9014893
California,Mar  2 2022,8968139
California,Feb 23 2022,8914113
California,Feb 16 2022,8839823
California,Feb  9 2022,8726658
California,Feb  2 2022,8516792
California,Jan 26 2022,8120396
California,Jan 19 2022,7412032
California,Jan 12 2022,6623538
California,Jan  5 2022,5832584
California,Dec 29 2021,5412140
California,Dec 22 2021,5226636
California,Dec 15 2021,5160774
California,Dec  8 2021,5116904
California,Dec  1 2021,5067257
California,Nov 24 2021,5035140
California,Nov 17 2021,5000027
California,Nov 10 2021,4963427
California,Nov  3 2021,4919896
California,Oct 27 2021,4876828
California,Oct 20 2021,4832661
California,Oct 13 2021,4795035
California,Oct  6 2021,4755240
California,Sep 29 2021,4709457
California,Sep 22 2021,4657394
California,Sep 15 2021,4598761
California,Sep  8 2021,4527930
California,Sep  1 2021,4452698
California,Aug 25 2021,4345722
California,Aug 18 2021,4250874
California,Aug 11 2021,4156032
California,Aug  4 2021,4070342
California,Jul 28 2021,3998313
California,Jul 21 2021,3944648
California,Jul 14 2021,3908447
California,Jul  7 2021,3886793
California,Jun 30 2021,3875227
California,Jun 23 2021,3866342
California,Jun 16 2021,3859768
California,Jun  9 2021,3853677
California,Jun  2 2021,3847022
California,May 26 2021,3836560
California,May 19 2021,3827885
California,May 12 2021,3818032
California,May  5 2021,3805641
California,Apr 28 2021,3792591
California,Apr 21 2021,3778861
California,Apr 14 2021,3762096
California,Apr  7 2021,3739851
California,Mar 31 2021,3720602
California,Mar 24 2021,3701825
California,Mar 17 2021,3681883
California,Mar 10 2021,3661458
California,Mar  3 2021,3631137
California,Feb 24 2021,3599728
California,Feb 17 2021,3558160
California,Feb 10 2021,3502301
California,Feb  3 2021,3416533
California,Jan 27 2021,3299740
California,Jan 20 2021,3141655
California,Jan 13 2021,2893938
California,Jan  6 2021,2582223
California,Dec 30 2020,2301287
California,Dec 23 2020,2030639
California,Dec 16 2020,1725293
California,Dec  9 2020,1461837
California,Dec  2 2020,1276985
California,Nov 25 2020,1168074
California,Nov 18 2020,1066486
California,Nov 11 2020,999876
California,Nov  4 2020,952925
California,Oct 28 2020,919822
California,Oct 21 2020,887761
California,Oct 14 2020,864186
California,Oct  7 2020,839551
California,Sep 30 2020,818187
California,Sep 23 2020,794466
California,Sep 16 2020,769360
California,Sep  9 2020,745413
California,Sep  2 2020,717359
California,Aug 26 2020,683755
California,Aug 19 2020,642733
California,Aug 12 2020,589347
California,Aug  5 2020,527507
California,Jul 29 2020,477548
California,Jul 22 2020,415355
California,Jul 15 2020,348837
California,Jul  8 2020,290315
California,Jul  1 2020,233232
California,Jun 24 2020,190663
California,Jun 17 2020,157370
California,Jun 10 2020,136486
California,Jun  3 2020,117953
California,May 27 2020,99217
California,May 20 2020,84248
California,May 13 2020,71209
California,May  6 2020,58944
California,Apr 29 2020,46601
California,Apr 22 2020,35489
California,Apr 15 2020,24509
California,Apr  8 2020,17141
California,Apr  1 2020,8169
California,Mar 25 2020,3000
California,Mar 18 2020,688
California,Mar 11 2020,220
California,Mar  4 2020,80
California,Feb 26 2020,52
California,Feb 19 2020,30
California,Feb 12 2020,16
California,Feb  5 2020,8
California,Jan 29 2020,2
