Data Table for Total Cases - Colorado
Date generated: Mon Dec 05 2022 12:37:24 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Colorado,Nov 30 2022,1708264
Colorado,Nov 23 2022,1700944
Colorado,Nov 16 2022,1692784
Colorado,Nov  9 2022,1684185
Colorado,Nov  2 2022,1676917
Colorado,Oct 26 2022,1671578
Colorado,Oct 19 2022,1666317
Colorado,Oct 12 2022,1661866
Colorado,Oct  5 2022,1657805
Colorado,Sep 28 2022,1653423
Colorado,Sep 21 2022,1648471
Colorado,Sep 14 2022,1643880
Colorado,Sep  7 2022,1637700
Colorado,Aug 31 2022,1632923
Colorado,Aug 24 2022,1624962
Colorado,Aug 17 2022,1618903
Colorado,Aug 10 2022,1611135
Colorado,Aug  3 2022,1602980
Colorado,Jul 27 2022,1593070
Colorado,Jul 20 2022,1581957
Colorado,Jul 13 2022,1564705
Colorado,Jul  6 2022,1552375
Colorado,Jun 29 2022,1533201
Colorado,Jun 22 2022,1517822
Colorado,Jun 15 2022,1494376
Colorado,Jun  8 2022,1478713
Colorado,Jun  1 2022,1450289
Colorado,May 25 2022,1436801
Colorado,May 18 2022,1415019
Colorado,May 11 2022,1415016
Colorado,May  4 2022,1415013
Colorado,Apr 27 2022,1414997
Colorado,Apr 20 2022,1414375
Colorado,Apr 13 2022,1413852
Colorado,Apr  6 2022,1413266
Colorado,Mar 30 2022,1412467
Colorado,Mar 23 2022,1411265
Colorado,Mar 16 2022,1410048
Colorado,Mar  9 2022,1408699
Colorado,Mar  2 2022,1406889
Colorado,Feb 23 2022,1404401
Colorado,Feb 16 2022,1400473
Colorado,Feb  9 2022,1392970
Colorado,Feb  2 2022,1377501
Colorado,Jan 26 2022,1348233
Colorado,Jan 19 2022,1289702
Colorado,Jan 12 2022,1201031
Colorado,Jan  5 2022,1085313
Colorado,Dec 29 2021,977043
Colorado,Dec 22 2021,908143
Colorado,Dec 15 2021,880624
Colorado,Dec  8 2021,869124
Colorado,Dec  1 2021,854994
Colorado,Nov 24 2021,837578
Colorado,Nov 17 2021,818572
Colorado,Nov 10 2021,795024
Colorado,Nov  3 2021,770068
Colorado,Oct 27 2021,748528
Colorado,Oct 20 2021,728824
Colorado,Oct 13 2021,712515
Colorado,Oct  6 2021,697805
Colorado,Sep 29 2021,682531
Colorado,Sep 22 2021,668954
Colorado,Sep 15 2021,656265
Colorado,Sep  8 2021,642679
Colorado,Sep  1 2021,629580
Colorado,Aug 25 2021,616745
Colorado,Aug 18 2021,604502
Colorado,Aug 11 2021,594183
Colorado,Aug  4 2021,586152
Colorado,Jul 28 2021,579012
Colorado,Jul 21 2021,573527
Colorado,Jul 14 2021,569237
Colorado,Jul  7 2021,565951
Colorado,Jun 30 2021,563288
Colorado,Jun 23 2021,560940
Colorado,Jun 16 2021,558801
Colorado,Jun  9 2021,556707
Colorado,Jun  2 2021,554171
Colorado,May 26 2021,551024
Colorado,May 19 2021,546686
Colorado,May 12 2021,540982
Colorado,May  5 2021,533391
Colorado,Apr 28 2021,523654
Colorado,Apr 21 2021,512123
Colorado,Apr 14 2021,500458
Colorado,Apr  7 2021,489398
Colorado,Mar 31 2021,478174
Colorado,Mar 24 2021,469062
Colorado,Mar 17 2021,461368
Colorado,Mar 10 2021,454738
Colorado,Mar  3 2021,447634
Colorado,Feb 24 2021,440766
Colorado,Feb 17 2021,433682
Colorado,Feb 10 2021,426126
Colorado,Feb  3 2021,418176
Colorado,Jan 27 2021,409401
Colorado,Jan 20 2021,399884
Colorado,Jan 13 2021,388946
Colorado,Jan  6 2021,375570
Colorado,Dec 30 2020,358752
Colorado,Dec 23 2020,344023
Colorado,Dec 16 2020,328675
Colorado,Dec  9 2020,309341
Colorado,Dec  2 2020,281427
Colorado,Nov 25 2020,250199
Colorado,Nov 18 2020,215561
Colorado,Nov 11 2020,177100
Colorado,Nov  4 2020,141591
Colorado,Oct 28 2020,116482
Colorado,Oct 21 2020,101720
Colorado,Oct 14 2020,91076
Colorado,Oct  7 2020,82945
Colorado,Sep 30 2020,76716
Colorado,Sep 23 2020,72255
Colorado,Sep 16 2020,67964
Colorado,Sep  9 2020,64159
Colorado,Sep  2 2020,61670
Colorado,Aug 26 2020,59612
Colorado,Aug 19 2020,57459
Colorado,Aug 12 2020,55461
Colorado,Aug  5 2020,53300
Colorado,Jul 29 2020,50788
Colorado,Jul 22 2020,47742
Colorado,Jul 15 2020,44032
Colorado,Jul  8 2020,40298
Colorado,Jul  1 2020,36806
Colorado,Jun 24 2020,34122
Colorado,Jun 17 2020,32226
Colorado,Jun 10 2020,30778
Colorado,Jun  3 2020,29611
Colorado,May 27 2020,28370
Colorado,May 20 2020,26734
Colorado,May 13 2020,24574
Colorado,May  6 2020,22117
Colorado,Apr 29 2020,19384
Colorado,Apr 22 2020,16338
Colorado,Apr 15 2020,13218
Colorado,Apr  8 2020,10246
Colorado,Apr  1 2020,7621
Colorado,Mar 25 2020,1417
Colorado,Mar 18 2020,280
Colorado,Mar 11 2020,42
Colorado,Mar  4 2020,1
Colorado,Feb 26 2020,0
Colorado,Feb 19 2020,0
Colorado,Feb 12 2020,0
Colorado,Feb  5 2020,0
Colorado,Jan 29 2020,0
