Data Table for Total Cases - Delaware
Date generated: Mon Dec 05 2022 12:37:57 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Delaware,Nov 30 2022,316956
Delaware,Nov 23 2022,316069
Delaware,Nov 16 2022,315373
Delaware,Nov  9 2022,314620
Delaware,Nov  2 2022,313655
Delaware,Oct 26 2022,312725
Delaware,Oct 19 2022,311741
Delaware,Oct 12 2022,310765
Delaware,Oct  5 2022,309635
Delaware,Sep 28 2022,308500
Delaware,Sep 21 2022,307052
Delaware,Sep 14 2022,305590
Delaware,Sep  7 2022,304181
Delaware,Aug 31 2022,302953
Delaware,Aug 24 2022,301492
Delaware,Aug 17 2022,299613
Delaware,Aug 10 2022,297631
Delaware,Aug  3 2022,295507
Delaware,Jul 27 2022,293156
Delaware,Jul 20 2022,290725
Delaware,Jul 13 2022,288434
Delaware,Jul  6 2022,286377
Delaware,Jun 29 2022,284684
Delaware,Jun 22 2022,282918
Delaware,Jun 15 2022,281247
Delaware,Jun  8 2022,279306
Delaware,Jun  1 2022,276677
Delaware,May 25 2022,273493
Delaware,May 18 2022,269412
Delaware,May 11 2022,265563
Delaware,May  4 2022,262870
Delaware,Apr 27 2022,261282
Delaware,Apr 20 2022,260017
Delaware,Apr 13 2022,258867
Delaware,Apr  6 2022,257959
Delaware,Mar 30 2022,257391
Delaware,Mar 23 2022,256928
Delaware,Mar 16 2022,256494
Delaware,Mar  9 2022,256017
Delaware,Mar  2 2022,255362
Delaware,Feb 23 2022,254669
Delaware,Feb 16 2022,253427
Delaware,Feb  9 2022,251514
Delaware,Feb  2 2022,248408
Delaware,Jan 26 2022,242562
Delaware,Jan 19 2022,231384
Delaware,Jan 12 2022,214200
Delaware,Jan  5 2022,190892
Delaware,Dec 29 2021,172379
Delaware,Dec 22 2021,164947
Delaware,Dec 15 2021,159803
Delaware,Dec  8 2021,155331
Delaware,Dec  1 2021,151416
Delaware,Nov 24 2021,148797
Delaware,Nov 17 2021,146311
Delaware,Nov 10 2021,144150
Delaware,Nov  3 2021,142478
Delaware,Oct 27 2021,140697
Delaware,Oct 20 2021,138702
Delaware,Oct 13 2021,136208
Delaware,Oct  6 2021,133480
Delaware,Sep 29 2021,130249
Delaware,Sep 22 2021,127163
Delaware,Sep 15 2021,123996
Delaware,Sep  8 2021,120919
Delaware,Sep  1 2021,118172
Delaware,Aug 25 2021,115615
Delaware,Aug 18 2021,113336
Delaware,Aug 11 2021,111350
Delaware,Aug  4 2021,110043
Delaware,Jul 28 2021,109214
Delaware,Jul 21 2021,108752
Delaware,Jul 14 2021,108438
Delaware,Jul  7 2021,108194
Delaware,Jun 30 2021,108031
Delaware,Jun 23 2021,107891
Delaware,Jun 16 2021,107707
Delaware,Jun  9 2021,107518
Delaware,Jun  2 2021,107219
Delaware,May 26 2021,106845
Delaware,May 19 2021,106251
Delaware,May 12 2021,105448
Delaware,May  5 2021,104422
Delaware,Apr 28 2021,102942
Delaware,Apr 21 2021,101130
Delaware,Apr 14 2021,98707
Delaware,Apr  7 2021,96361
Delaware,Mar 31 2021,94181
Delaware,Mar 24 2021,92222
Delaware,Mar 17 2021,90648
Delaware,Mar 10 2021,89359
Delaware,Mar  3 2021,87920
Delaware,Feb 24 2021,85965
Delaware,Feb 17 2021,84098
Delaware,Feb 10 2021,81896
Delaware,Feb  3 2021,79341
Delaware,Jan 27 2021,76214
Delaware,Jan 20 2021,72202
Delaware,Jan 13 2021,67494
Delaware,Jan  6 2021,61914
Delaware,Dec 30 2020,56623
Delaware,Dec 23 2020,52182
Delaware,Dec 16 2020,47784
Delaware,Dec  9 2020,42112
Delaware,Dec  2 2020,36442
Delaware,Nov 25 2020,32733
Delaware,Nov 18 2020,29550
Delaware,Nov 11 2020,27142
Delaware,Nov  4 2020,25361
Delaware,Oct 28 2020,24237
Delaware,Oct 21 2020,23241
Delaware,Oct 14 2020,22329
Delaware,Oct  7 2020,21428
Delaware,Sep 30 2020,20441
Delaware,Sep 23 2020,19686
Delaware,Sep 16 2020,19004
Delaware,Sep  9 2020,18275
Delaware,Sep  2 2020,17615
Delaware,Aug 26 2020,16946
Delaware,Aug 19 2020,16428
Delaware,Aug 12 2020,15951
Delaware,Aug  5 2020,15483
Delaware,Jul 29 2020,14872
Delaware,Jul 22 2020,14101
Delaware,Jul 15 2020,13422
Delaware,Jul  8 2020,12483
Delaware,Jul  1 2020,11581
Delaware,Jun 24 2020,10886
Delaware,Jun 17 2020,10504
Delaware,Jun 10 2020,10096
Delaware,Jun  3 2020,9708
Delaware,May 27 2020,9103
Delaware,May 20 2020,8333
Delaware,May 13 2020,7229
Delaware,May  6 2020,5935
Delaware,Apr 29 2020,4754
Delaware,Apr 22 2020,3274
Delaware,Apr 15 2020,2052
Delaware,Apr  8 2020,1114
Delaware,Apr  1 2020,428
Delaware,Mar 25 2020,149
Delaware,Mar 18 2020,24
Delaware,Mar 11 2020,12
Delaware,Mar  4 2020,12
Delaware,Feb 26 2020,12
Delaware,Feb 19 2020,10
Delaware,Feb 12 2020,9
Delaware,Feb  5 2020,8
Delaware,Jan 29 2020,5
