Data Table for Total Cases - District of Columbia
Date generated: Mon Dec 05 2022 12:38:07 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
District of Columbia,Nov 30 2022,171608
District of Columbia,Nov 23 2022,171317
District of Columbia,Nov 16 2022,170750
District of Columbia,Nov  9 2022,170482
District of Columbia,Nov  2 2022,170041
District of Columbia,Oct 26 2022,169709
District of Columbia,Oct 19 2022,169436
District of Columbia,Oct 12 2022,168760
District of Columbia,Oct  5 2022,168642
District of Columbia,Sep 28 2022,168359
District of Columbia,Sep 21 2022,167857
District of Columbia,Sep 14 2022,167242
District of Columbia,Sep  7 2022,166724
District of Columbia,Aug 31 2022,166166
District of Columbia,Aug 24 2022,165573
District of Columbia,Aug 17 2022,164724
District of Columbia,Aug 10 2022,164022
District of Columbia,Aug  3 2022,163192
District of Columbia,Jul 27 2022,162098
District of Columbia,Jul 20 2022,160723
District of Columbia,Jul 13 2022,159289
District of Columbia,Jul  6 2022,157303
District of Columbia,Jun 29 2022,156557
District of Columbia,Jun 22 2022,155026
District of Columbia,Jun 15 2022,153436
District of Columbia,Jun  8 2022,151978
District of Columbia,Jun  1 2022,150303
District of Columbia,May 25 2022,148270
District of Columbia,May 18 2022,146163
District of Columbia,May 11 2022,143005
District of Columbia,May  4 2022,141943
District of Columbia,Apr 27 2022,141943
District of Columbia,Apr 20 2022,140674
District of Columbia,Apr 13 2022,139160
District of Columbia,Apr  6 2022,137603
District of Columbia,Mar 30 2022,136598
District of Columbia,Mar 23 2022,136062
District of Columbia,Mar 16 2022,135575
District of Columbia,Mar  9 2022,135086
District of Columbia,Mar  2 2022,134678
District of Columbia,Feb 23 2022,134114
District of Columbia,Feb 16 2022,133459
District of Columbia,Feb  9 2022,132628
District of Columbia,Feb  2 2022,131093
District of Columbia,Jan 26 2022,129479
District of Columbia,Jan 19 2022,126187
District of Columbia,Jan 12 2022,118802
District of Columbia,Jan  5 2022,106819
District of Columbia,Dec 29 2021,92045
District of Columbia,Dec 22 2021,77661
District of Columbia,Dec 15 2021,69867
District of Columbia,Dec  8 2021,68262
District of Columbia,Dec  1 2021,67047
District of Columbia,Nov 24 2021,66510
District of Columbia,Nov 17 2021,65793
District of Columbia,Nov 10 2021,65159
District of Columbia,Nov  3 2021,64602
District of Columbia,Oct 27 2021,63990
District of Columbia,Oct 20 2021,63400
District of Columbia,Oct 13 2021,62750
District of Columbia,Oct  6 2021,61978
District of Columbia,Sep 29 2021,60996
District of Columbia,Sep 22 2021,59849
District of Columbia,Sep 15 2021,58440
District of Columbia,Sep  8 2021,56694
District of Columbia,Sep  1 2021,55570
District of Columbia,Aug 25 2021,54156
District of Columbia,Aug 18 2021,53024
District of Columbia,Aug 11 2021,51853
District of Columbia,Aug  4 2021,50858
District of Columbia,Jul 28 2021,50268
District of Columbia,Jul 21 2021,49858
District of Columbia,Jul 14 2021,49574
