Data Table for Total Cases - Florida
Date generated: Mon Dec 05 2022 12:39:06 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Florida,Nov 30 2022,7252023
Florida,Nov 23 2022,7239180
Florida,Nov 16 2022,7227523
Florida,Nov  9 2022,7215695
Florida,Nov  2 2022,7203370
Florida,Oct 26 2022,7192538
Florida,Oct 19 2022,7182388
Florida,Oct 12 2022,7172484
Florida,Oct  5 2022,7162033
Florida,Sep 28 2022,7150188
Florida,Sep 21 2022,7132716
Florida,Sep 14 2022,7109769
Florida,Sep  7 2022,7080967
Florida,Aug 31 2022,7042096
Florida,Aug 24 2022,6998370
Florida,Aug 17 2022,6952951
Florida,Aug 10 2022,6907791
Florida,Aug  3 2022,6833032
Florida,Jul 27 2022,6759647
Florida,Jul 20 2022,6683581
Florida,Jul 13 2022,6605370
Florida,Jul  6 2022,6537512
Florida,Jun 29 2022,6463027
Florida,Jun 22 2022,6389198
Florida,Jun 15 2022,6314821
Florida,Jun  8 2022,6240440
Florida,Jun  1 2022,6168651
Florida,May 25 2022,6101783
Florida,May 18 2022,6041535
Florida,May 11 2022,6002153
Florida,May  4 2022,5969205
Florida,Apr 27 2022,5942723
Florida,Apr 20 2022,5921941
Florida,Apr 13 2022,5906352
Florida,Apr  6 2022,5895049
Florida,Mar 30 2022,5885003
Florida,Mar 23 2022,5876255
Florida,Mar 16 2022,5868207
Florida,Mar  9 2022,5857926
Florida,Mar  2 2022,5843401
Florida,Feb 23 2022,5817967
Florida,Feb 16 2022,5775781
Florida,Feb  9 2022,5653856
Florida,Feb  2 2022,5522206
Florida,Jan 26 2022,5324438
Florida,Jan 19 2022,5035800
Florida,Jan 12 2022,4606489
Florida,Jan  5 2022,4209927
Florida,Dec 29 2021,3907748
Florida,Dec 22 2021,3782883
Florida,Dec 15 2021,3754042
Florida,Dec  8 2021,3741058
Florida,Dec  1 2021,3733322
Florida,Nov 24 2021,3721499
Florida,Nov 17 2021,3711612
Florida,Nov 10 2021,3701310
Florida,Nov  3 2021,3690807
Florida,Oct 27 2021,3678660
Florida,Oct 20 2021,3664097
Florida,Oct 13 2021,3645290
Florida,Oct  6 2021,3620106
Florida,Sep 29 2021,3582807
Florida,Sep 22 2021,3528698
Florida,Sep 15 2021,3452700
Florida,Sep  8 2021,3352451
Florida,Sep  1 2021,3223249
Florida,Aug 25 2021,3071489
Florida,Aug 18 2021,2978433
Florida,Aug 11 2021,2806813
Florida,Aug  4 2021,2634234
Florida,Jul 28 2021,2523510
Florida,Jul 21 2021,2450344
Florida,Jul 14 2021,2404895
Florida,Jul  7 2021,2381148
Florida,Jun 30 2021,2365464
Florida,Jun 23 2021,2354414
Florida,Jun 16 2021,2344319
Florida,Jun  9 2021,2332864
Florida,Jun  2 2021,2327990
Florida,May 26 2021,2316141
Florida,May 19 2021,2299596
Florida,May 12 2021,2278549
Florida,May  5 2021,2253929
Florida,Apr 28 2021,2222546
Florida,Apr 21 2021,2184355
Florida,Apr 14 2021,2141687
Florida,Apr  7 2021,2096747
Florida,Mar 31 2021,2057615
Florida,Mar 24 2021,2021566
Florida,Mar 17 2021,1989045
Florida,Mar 10 2021,1957586
Florida,Mar  3 2021,1924114
Florida,Feb 24 2021,1885661
Florida,Feb 17 2021,1844640
Florida,Feb 10 2021,1798282
Florida,Feb  3 2021,1744618
Florida,Jan 27 2021,1676171
Florida,Jan 20 2021,1601011
Florida,Jan 13 2021,1517472
Florida,Jan  6 2021,1409906
Florida,Dec 30 2020,1306123
Florida,Dec 23 2020,1234399
Florida,Dec 16 2020,1155335
Florida,Dec  9 2020,1083362
Florida,Dec  2 2020,1018160
Florida,Nov 25 2020,961676
Florida,Nov 18 2020,905249
Florida,Nov 11 2020,858012
Florida,Nov  4 2020,821123
Florida,Oct 28 2020,790427
Florida,Oct 21 2020,762535
Florida,Oct 14 2020,741632
Florida,Oct  7 2020,722708
Florida,Sep 30 2020,706519
Florida,Sep 23 2020,690499
Florida,Sep 16 2020,671201
Florida,Sep  9 2020,652227
Florida,Sep  2 2020,633471
Florida,Aug 26 2020,608722
Florida,Aug 19 2020,584050
Florida,Aug 12 2020,550901
Florida,Aug  5 2020,502734
Florida,Jul 29 2020,451398
Florida,Jul 22 2020,379619
Florida,Jul 15 2020,301810
Florida,Jul  8 2020,223783
Florida,Jul  1 2020,158998
Florida,Jun 24 2020,109016
Florida,Jun 17 2020,82719
Florida,Jun 10 2020,67372
Florida,Jun  3 2020,58764
Florida,May 27 2020,52634
Florida,May 20 2020,47473
Florida,May 13 2020,42405
Florida,May  6 2020,38012
Florida,Apr 29 2020,33196
Florida,Apr 22 2020,28311
Florida,Apr 15 2020,22511
Florida,Apr  8 2020,15455
Florida,Apr  1 2020,6956
Florida,Mar 25 2020,1682
Florida,Mar 18 2020,315
Florida,Mar 11 2020,24
Florida,Mar  4 2020,2
Florida,Feb 26 2020,0
Florida,Feb 19 2020,0
Florida,Feb 12 2020,0
Florida,Feb  5 2020,0
Florida,Jan 29 2020,0
