Data Table for Total Cases - Idaho
Date generated: Mon Dec 05 2022 12:39:47 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Idaho,Nov 30 2022,506232
Idaho,Nov 23 2022,504770
Idaho,Nov 16 2022,503346
Idaho,Nov  9 2022,502105
Idaho,Nov  2 2022,500859
Idaho,Oct 26 2022,499828
Idaho,Oct 19 2022,498789
Idaho,Oct 12 2022,497710
Idaho,Oct  5 2022,496600
Idaho,Sep 28 2022,495484
Idaho,Sep 21 2022,494080
Idaho,Sep 14 2022,492580
Idaho,Sep  7 2022,490946
Idaho,Aug 31 2022,489400
Idaho,Aug 24 2022,487329
Idaho,Aug 17 2022,485489
Idaho,Aug 10 2022,483255
Idaho,Aug  3 2022,480606
Idaho,Jul 27 2022,477684
Idaho,Jul 20 2022,474150
Idaho,Jul 13 2022,470457
Idaho,Jul  6 2022,466007
Idaho,Jun 29 2022,462979
Idaho,Jun 22 2022,459524
Idaho,Jun 15 2022,457026
Idaho,Jun  8 2022,454577
Idaho,Jun  1 2022,452085
Idaho,May 25 2022,450337
Idaho,May 18 2022,448754
Idaho,May 11 2022,447540
Idaho,May  4 2022,446548
Idaho,Apr 27 2022,445820
Idaho,Apr 20 2022,445348
Idaho,Apr 13 2022,444907
Idaho,Apr  6 2022,444525
Idaho,Mar 30 2022,443913
Idaho,Mar 23 2022,443274
Idaho,Mar 16 2022,440740
Idaho,Mar  9 2022,436019
Idaho,Mar  2 2022,429473
Idaho,Feb 23 2022,419168
Idaho,Feb 16 2022,409131
Idaho,Feb  9 2022,397868
Idaho,Feb  2 2022,384741
Idaho,Jan 26 2022,368665
Idaho,Jan 19 2022,348949
Idaho,Jan 12 2022,334086
Idaho,Jan  5 2022,323965
Idaho,Dec 29 2021,318458
Idaho,Dec 22 2021,315270
Idaho,Dec 15 2021,313041
Idaho,Dec  8 2021,310661
Idaho,Dec  1 2021,307562
Idaho,Nov 24 2021,305130
Idaho,Nov 17 2021,301843
Idaho,Nov 10 2021,298634
Idaho,Nov  3 2021,294485
Idaho,Oct 27 2021,288923
Idaho,Oct 20 2021,281470
Idaho,Oct 13 2021,272625
Idaho,Oct  6 2021,264662
Idaho,Sep 29 2021,255417
Idaho,Sep 22 2021,246749
Idaho,Sep 15 2021,238315
Idaho,Sep  8 2021,229597
Idaho,Sep  1 2021,222552
Idaho,Aug 25 2021,216061
Idaho,Aug 18 2021,211533
Idaho,Aug 11 2021,206523
Idaho,Aug  4 2021,202669
Idaho,Jul 28 2021,199516
Idaho,Jul 21 2021,197780
Idaho,Jul 14 2021,196490
Idaho,Jul  7 2021,195551
Idaho,Jun 30 2021,194996
Idaho,Jun 23 2021,194518
Idaho,Jun 16 2021,193918
Idaho,Jun  9 2021,193292
Idaho,Jun  2 2021,192479
Idaho,May 26 2021,191736
Idaho,May 19 2021,190711
Idaho,May 12 2021,189586
Idaho,May  5 2021,188434
Idaho,Apr 28 2021,187267
Idaho,Apr 21 2021,185758
Idaho,Apr 14 2021,184348
Idaho,Apr  7 2021,182531
Idaho,Mar 31 2021,180538
Idaho,Mar 24 2021,178545
Idaho,Mar 17 2021,176461
Idaho,Mar 10 2021,174245
Idaho,Mar  3 2021,172288
Idaho,Feb 24 2021,170292
Idaho,Feb 17 2021,168354
Idaho,Feb 10 2021,166553
Idaho,Feb  3 2021,164163
Idaho,Jan 27 2021,161212
Idaho,Jan 20 2021,157588
Idaho,Jan 13 2021,152365
Idaho,Jan  6 2021,146110
Idaho,Dec 30 2020,139865
Idaho,Dec 23 2020,133985
Idaho,Dec 16 2020,125452
Idaho,Dec  9 2020,116203
Idaho,Dec  2 2020,104735
Idaho,Nov 25 2020,96504
Idaho,Nov 18 2020,86435
Idaho,Nov 11 2020,77121
Idaho,Nov  4 2020,68314
Idaho,Oct 28 2020,61787
Idaho,Oct 21 2020,55650
Idaho,Oct 14 2020,49892
Idaho,Oct  7 2020,45753
Idaho,Sep 30 2020,42048
Idaho,Sep 23 2020,38743
Idaho,Sep 16 2020,36094
Idaho,Sep  9 2020,34301
Idaho,Sep  2 2020,32666
Idaho,Aug 26 2020,30771
Idaho,Aug 19 2020,28680
Idaho,Aug 12 2020,26134
Idaho,Aug  5 2020,22707
Idaho,Jul 29 2020,19673
Idaho,Jul 22 2020,16321
Idaho,Jul 15 2020,12448
Idaho,Jul  8 2020,8968
Idaho,Jul  1 2020,6370
Idaho,Jun 24 2020,4402
Idaho,Jun 17 2020,3632
Idaho,Jun 10 2020,3260
Idaho,Jun  3 2020,2933
Idaho,May 27 2020,2699
Idaho,May 20 2020,2506
Idaho,May 13 2020,2293
Idaho,May  6 2020,2158
Idaho,Apr 29 2020,1953
Idaho,Apr 22 2020,1766
Idaho,Apr 15 2020,1473
Idaho,Apr  8 2020,1210
Idaho,Apr  1 2020,566
Idaho,Mar 25 2020,90
Idaho,Mar 18 2020,9
Idaho,Mar 11 2020,0
Idaho,Mar  4 2020,0
Idaho,Feb 26 2020,0
Idaho,Feb 19 2020,0
Idaho,Feb 12 2020,0
Idaho,Feb  5 2020,0
Idaho,Jan 29 2020,0
