Data Table for Total Cases - Kentucky
Date generated: Mon Dec 05 2022 12:41:17 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Kentucky,Nov 30 2022,1635283
Kentucky,Nov 23 2022,1630700
Kentucky,Nov 16 2022,1627160
Kentucky,Nov  9 2022,1623635
Kentucky,Nov  2 2022,1618624
Kentucky,Oct 26 2022,1613343
Kentucky,Oct 19 2022,1608614
Kentucky,Oct 12 2022,1604583
Kentucky,Oct  5 2022,1600500
Kentucky,Sep 28 2022,1596187
Kentucky,Sep 21 2022,1591147
Kentucky,Sep 14 2022,1584339
Kentucky,Sep  7 2022,1574783
Kentucky,Aug 31 2022,1561711
Kentucky,Aug 24 2022,1543050
Kentucky,Aug 17 2022,1523139
Kentucky,Aug 10 2022,1506750
Kentucky,Aug  3 2022,1491255
Kentucky,Jul 27 2022,1474819
Kentucky,Jul 20 2022,1457338
Kentucky,Jul 13 2022,1439854
Kentucky,Jul  6 2022,1424257
Kentucky,Jun 29 2022,1411612
Kentucky,Jun 22 2022,1399478
Kentucky,Jun 15 2022,1389700
Kentucky,Jun  8 2022,1380602
Kentucky,Jun  1 2022,1370528
Kentucky,May 25 2022,1362776
Kentucky,May 18 2022,1354068
Kentucky,May 11 2022,1346713
Kentucky,May  4 2022,1341011
Kentucky,Apr 27 2022,1337066
Kentucky,Apr 20 2022,1336594
Kentucky,Apr 13 2022,1334514
Kentucky,Apr  6 2022,1332898
Kentucky,Mar 30 2022,1331547
Kentucky,Mar 23 2022,1330131
Kentucky,Mar 16 2022,1328280
Kentucky,Mar  9 2022,1324990
Kentucky,Mar  2 2022,1320565
Kentucky,Feb 23 2022,1313387
Kentucky,Feb 16 2022,1299951
Kentucky,Feb  9 2022,1285864
Kentucky,Feb  2 2022,1243794
Kentucky,Jan 26 2022,1182722
Kentucky,Jan 19 2022,1095379
Kentucky,Jan 12 2022,1000452
Kentucky,Jan  5 2022,928430
Kentucky,Dec 29 2021,872477
Kentucky,Dec 22 2021,844821
Kentucky,Dec 15 2021,828044
Kentucky,Dec  8 2021,812669
Kentucky,Dec  1 2021,796324
Kentucky,Nov 24 2021,783595
Kentucky,Nov 17 2021,771976
Kentucky,Nov 10 2021,762326
Kentucky,Nov  3 2021,753808
Kentucky,Oct 27 2021,746669
Kentucky,Oct 20 2021,738983
Kentucky,Oct 13 2021,730072
Kentucky,Oct  6 2021,717743
Kentucky,Sep 29 2021,701499
Kentucky,Sep 22 2021,682304
Kentucky,Sep 15 2021,656478
Kentucky,Sep  8 2021,625238
Kentucky,Sep  1 2021,594709
Kentucky,Aug 25 2021,561517
Kentucky,Aug 18 2021,531948
Kentucky,Aug 11 2021,508223
Kentucky,Aug  4 2021,490684
Kentucky,Jul 28 2021,478426
Kentucky,Jul 21 2021,470541
Kentucky,Jul 14 2021,465869
Kentucky,Jul  7 2021,463043
Kentucky,Jun 30 2021,461625
Kentucky,Jun 23 2021,460460
Kentucky,Jun 16 2021,459379
Kentucky,Jun  9 2021,458125
Kentucky,Jun  2 2021,456639
Kentucky,May 26 2021,455181
Kentucky,May 19 2021,453087
Kentucky,May 12 2021,450474
Kentucky,May  5 2021,447416
Kentucky,Apr 28 2021,443722
Kentucky,Apr 21 2021,440137
Kentucky,Apr 14 2021,436457
Kentucky,Apr  7 2021,432272
Kentucky,Mar 31 2021,428910
Kentucky,Mar 24 2021,425240
Kentucky,Mar 17 2021,421341
Kentucky,Mar 10 2021,417289
Kentucky,Mar  3 2021,412531
Kentucky,Feb 24 2021,406774
Kentucky,Feb 17 2021,398696
Kentucky,Feb 10 2021,391017
Kentucky,Feb  3 2021,378185
Kentucky,Jan 27 2021,362521
Kentucky,Jan 20 2021,344126
Kentucky,Jan 13 2021,322828
Kentucky,Jan  6 2021,297050
Kentucky,Dec 30 2020,264829
Kentucky,Dec 23 2020,250056
Kentucky,Dec 16 2020,230654
Kentucky,Dec  9 2020,209135
Kentucky,Dec  2 2020,186765
Kentucky,Nov 25 2020,166140
Kentucky,Nov 18 2020,144753
Kentucky,Nov 11 2020,127345
Kentucky,Nov  4 2020,113003
Kentucky,Oct 28 2020,101496
Kentucky,Oct 21 2020,90998
Kentucky,Oct 14 2020,83013
Kentucky,Oct  7 2020,76588
Kentucky,Sep 30 2020,68841
Kentucky,Sep 23 2020,63513
Kentucky,Sep 16 2020,58746
Kentucky,Sep  9 2020,53979
Kentucky,Sep  2 2020,49990
Kentucky,Aug 26 2020,45237
Kentucky,Aug 19 2020,40927
Kentucky,Aug 12 2020,36946
Kentucky,Aug  5 2020,32728
Kentucky,Jul 29 2020,28723
Kentucky,Jul 22 2020,24542
Kentucky,Jul 15 2020,20679
Kentucky,Jul  8 2020,17920
Kentucky,Jul  1 2020,15843
Kentucky,Jun 24 2020,14363
Kentucky,Jun 17 2020,12991
Kentucky,Jun 10 2020,11878
Kentucky,Jun  3 2020,10409
Kentucky,May 27 2020,9073
Kentucky,May 20 2020,8172
Kentucky,May 13 2020,6851
Kentucky,May  6 2020,5933
Kentucky,Apr 29 2020,4522
Kentucky,Apr 22 2020,3373
Kentucky,Apr 15 2020,2220
Kentucky,Apr  8 2020,1149
Kentucky,Apr  1 2020,621
Kentucky,Mar 25 2020,194
Kentucky,Mar 18 2020,28
Kentucky,Mar 11 2020,8
Kentucky,Mar  4 2020,0
Kentucky,Feb 26 2020,0
Kentucky,Feb 19 2020,0
Kentucky,Feb 12 2020,0
Kentucky,Feb  5 2020,0
Kentucky,Jan 29 2020,0
