Data Table for Total Cases - Maryland
Date generated: Mon Dec 05 2022 12:42:01 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Maryland,Nov 30 2022,1288308
Maryland,Nov 23 2022,1284176
Maryland,Nov 16 2022,1279883
Maryland,Nov  9 2022,1275208
Maryland,Nov  2 2022,1270844
Maryland,Oct 26 2022,1265975
Maryland,Oct 19 2022,1261834
Maryland,Oct 12 2022,1257358
Maryland,Oct  5 2022,1253043
Maryland,Sep 28 2022,1248321
Maryland,Sep 21 2022,1242666
Maryland,Sep 14 2022,1236299
Maryland,Sep  7 2022,1229594
Maryland,Aug 31 2022,1223111
Maryland,Aug 24 2022,1215687
Maryland,Aug 17 2022,1207014
Maryland,Aug 10 2022,1197484
Maryland,Aug  3 2022,1186717
Maryland,Jul 27 2022,1175517
Maryland,Jul 20 2022,1164135
Maryland,Jul 13 2022,1153203
Maryland,Jul  6 2022,1142366
Maryland,Jun 29 2022,1132805
Maryland,Jun 22 2022,1122792
Maryland,Jun 15 2022,1113849
Maryland,Jun  8 2022,1104084
Maryland,Jun  1 2022,1093441
Maryland,May 25 2022,1078122
Maryland,May 18 2022,1062235
Maryland,May 11 2022,1047261
Maryland,May  4 2022,1036338
Maryland,Apr 27 2022,1028753
Maryland,Apr 20 2022,1022861
Maryland,Apr 13 2022,1017926
Maryland,Apr  6 2022,1014223
Maryland,Mar 30 2022,1011498
Maryland,Mar 23 2022,1009344
Maryland,Mar 16 2022,1007372
Maryland,Mar  9 2022,1005333
Maryland,Mar  2 2022,1003039
Maryland,Feb 23 2022,999229
Maryland,Feb 16 2022,994579
Maryland,Feb  9 2022,989532
Maryland,Feb  2 2022,980426
Maryland,Jan 26 2022,965101
Maryland,Jan 19 2022,933540
Maryland,Jan 12 2022,878679
Maryland,Jan  5 2022,788384
Maryland,Dec 29 2021,692261
Maryland,Dec 22 2021,633016
Maryland,Dec 15 2021,608274
Maryland,Dec  8 2021,597051
Maryland,Dec  1 2021,587285
Maryland,Nov 24 2021,580496
Maryland,Nov 17 2021,573835
Maryland,Nov 10 2021,567929
Maryland,Nov  3 2021,562896
Maryland,Oct 27 2021,557923
Maryland,Oct 20 2021,552524
Maryland,Oct 13 2021,546552
Maryland,Oct  6 2021,539053
Maryland,Sep 29 2021,530861
Maryland,Sep 22 2021,522355
Maryland,Sep 15 2021,513929
Maryland,Sep  8 2021,505557
Maryland,Sep  1 2021,498376
Maryland,Aug 25 2021,489930
Maryland,Aug 18 2021,482581
Maryland,Aug 11 2021,476070
Maryland,Aug  4 2021,470605
Maryland,Jul 28 2021,466931
Maryland,Jul 21 2021,464735
Maryland,Jul 14 2021,463488
Maryland,Jul  7 2021,462737
Maryland,Jun 30 2021,462279
Maryland,Jun 23 2021,461887
Maryland,Jun 16 2021,461470
Maryland,Jun  9 2021,460863
Maryland,Jun  2 2021,460067
Maryland,May 26 2021,458879
Maryland,May 19 2021,456765
Maryland,May 12 2021,454271
Maryland,May  5 2021,450689
Maryland,Apr 28 2021,445493
Maryland,Apr 21 2021,438790
Maryland,Apr 14 2021,430351
Maryland,Apr  7 2021,420526
Maryland,Mar 31 2021,411344
Maryland,Mar 24 2021,402600
Maryland,Mar 17 2021,395633
Maryland,Mar 10 2021,389566
Maryland,Mar  3 2021,383959
Maryland,Feb 24 2021,378490
Maryland,Feb 17 2021,372980
Maryland,Feb 10 2021,366666
Maryland,Feb  3 2021,357483
Maryland,Jan 27 2021,346559
Maryland,Jan 20 2021,332353
Maryland,Jan 13 2021,314867
Maryland,Jan  6 2021,292904
Maryland,Dec 30 2020,273689
Maryland,Dec 23 2020,257862
Maryland,Dec 16 2020,241767
Maryland,Dec  9 2020,222653
Maryland,Dec  2 2020,203355
Maryland,Nov 25 2020,188161
Maryland,Nov 18 2020,171824
Maryland,Nov 11 2020,158423
Maryland,Nov  4 2020,148766
Maryland,Oct 28 2020,142425
Maryland,Oct 21 2020,137236
Maryland,Oct 14 2020,132918
Maryland,Oct  7 2020,128665
Maryland,Sep 30 2020,124726
Maryland,Sep 23 2020,121297
Maryland,Sep 16 2020,117893
Maryland,Sep  9 2020,113575
Maryland,Sep  2 2020,109320
Maryland,Aug 26 2020,105486
Maryland,Aug 19 2020,101654
Maryland,Aug 12 2020,97383
Maryland,Aug  5 2020,92426
Maryland,Jul 29 2020,86290
Maryland,Jul 22 2020,80175
Maryland,Jul 15 2020,75016
Maryland,Jul  8 2020,70864
Maryland,Jul  1 2020,67908
Maryland,Jun 24 2020,65338
Maryland,Jun 17 2020,62970
Maryland,Jun 10 2020,59465
Maryland,Jun  3 2020,54986
Maryland,May 27 2020,48426
Maryland,May 20 2020,42323
Maryland,May 13 2020,34812
Maryland,May  6 2020,28164
Maryland,Apr 29 2020,20850
Maryland,Apr 22 2020,14775
Maryland,Apr 15 2020,10033
Maryland,Apr  8 2020,5529
Maryland,Apr  1 2020,1986
Maryland,Mar 25 2020,425
Maryland,Mar 18 2020,86
Maryland,Mar 11 2020,9
Maryland,Mar  4 2020,0
Maryland,Feb 26 2020,0
Maryland,Feb 19 2020,0
Maryland,Feb 12 2020,0
Maryland,Feb  5 2020,0
Maryland,Jan 29 2020,0
