Data Table for Total Cases - Michigan
Date generated: Mon Dec 05 2022 12:42:32 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Michigan,Nov 30 2022,2938443
Michigan,Nov 23 2022,2929612
Michigan,Nov 16 2022,2920679
Michigan,Nov  9 2022,2907819
Michigan,Nov  2 2022,2897827
Michigan,Oct 26 2022,2886176
Michigan,Oct 19 2022,2874009
Michigan,Oct 12 2022,2861595
Michigan,Oct  5 2022,2849047
Michigan,Sep 28 2022,2836167
Michigan,Sep 21 2022,2821489
Michigan,Sep 14 2022,2804588
Michigan,Sep  7 2022,2786213
Michigan,Aug 31 2022,2770359
Michigan,Aug 24 2022,2751201
Michigan,Aug 17 2022,2731787
Michigan,Aug 10 2022,2708622
Michigan,Aug  3 2022,2692485
Michigan,Jul 27 2022,2672312
Michigan,Jul 20 2022,2652659
Michigan,Jul 13 2022,2636214
Michigan,Jul  6 2022,2619533
Michigan,Jun 29 2022,2606431
Michigan,Jun 22 2022,2592078
Michigan,Jun 15 2022,2581397
Michigan,Jun  8 2022,2565819
Michigan,Jun  1 2022,2547366
Michigan,May 25 2022,2527831
Michigan,May 18 2022,2501863
Michigan,May 11 2022,2472596
Michigan,May  4 2022,2444891
Michigan,Apr 27 2022,2425946
Michigan,Apr 20 2022,2411463
Michigan,Apr 13 2022,2400982
Michigan,Apr  6 2022,2393258
Michigan,Mar 30 2022,2387497
Michigan,Mar 23 2022,2382175
Michigan,Mar 16 2022,2375426
Michigan,Mar  9 2022,2369857
Michigan,Mar  2 2022,2363518
Michigan,Feb 23 2022,2350468
Michigan,Feb 16 2022,2337406
Michigan,Feb  9 2022,2316871
Michigan,Feb  2 2022,2283010
Michigan,Jan 26 2022,2203646
Michigan,Jan 19 2022,2082980
Michigan,Jan 12 2022,1940708
Michigan,Jan  5 2022,1808738
Michigan,Dec 29 2021,1710325
Michigan,Dec 22 2021,1645578
Michigan,Dec 15 2021,1599680
Michigan,Dec  8 2021,1553790
Michigan,Dec  1 2021,1494953
Michigan,Nov 24 2021,1447230
Michigan,Nov 17 2021,1387938
Michigan,Nov 10 2021,1329089
Michigan,Nov  3 2021,1297496
Michigan,Oct 27 2021,1265381
Michigan,Oct 20 2021,1237845
Michigan,Oct 13 2021,1209726
Michigan,Oct  6 2021,1178908
Michigan,Sep 29 2021,1150064
Michigan,Sep 22 2021,1125564
Michigan,Sep 15 2021,1102957
Michigan,Sep  8 2021,1081184
Michigan,Sep  1 2021,1065671
Michigan,Aug 25 2021,1050153
Michigan,Aug 18 2021,1035824
Michigan,Aug 11 2021,1025004
Michigan,Aug  4 2021,1014085
Michigan,Jul 28 2021,1008428
Michigan,Jul 21 2021,1004628
Michigan,Jul 14 2021,1002468
Michigan,Jul  7 2021,1000896
Michigan,Jun 30 2021,999961
Michigan,Jun 23 2021,998852
Michigan,Jun 16 2021,997798
Michigan,Jun  9 2021,996058
Michigan,Jun  2 2021,993424
Michigan,May 26 2021,989999
Michigan,May 19 2021,982399
Michigan,May 12 2021,970376
Michigan,May  5 2021,951900
Michigan,Apr 28 2021,928407
Michigan,Apr 21 2021,895447
Michigan,Apr 14 2021,850584
Michigan,Apr  7 2021,795492
Michigan,Mar 31 2021,746351
Michigan,Mar 24 2021,706552
Michigan,Mar 17 2021,680279
Michigan,Mar 10 2021,662573
Michigan,Mar  3 2021,650762
Michigan,Feb 24 2021,641268
Michigan,Feb 17 2021,632772
Michigan,Feb 10 2021,624970
Michigan,Feb  3 2021,615835
Michigan,Jan 27 2021,604227
Michigan,Jan 20 2021,589869
Michigan,Jan 13 2021,573278
Michigan,Jan  6 2021,551498
Michigan,Dec 30 2020,528593
Michigan,Dec 23 2020,508443
Michigan,Dec 16 2020,482781
Michigan,Dec  9 2020,448415
Michigan,Dec  2 2020,402887
Michigan,Nov 25 2020,352433
Michigan,Nov 18 2020,303058
Michigan,Nov 11 2020,251872
Michigan,Nov  4 2020,212126
Michigan,Oct 28 2020,185936
Michigan,Oct 21 2020,167868
Michigan,Oct 14 2020,154457
Michigan,Oct  7 2020,145093
Michigan,Sep 30 2020,138010
Michigan,Sep 23 2020,131252
Michigan,Sep 16 2020,125737
Michigan,Sep  9 2020,119871
Michigan,Sep  2 2020,114475
Michigan,Aug 26 2020,109484
Michigan,Aug 19 2020,104091
Michigan,Aug 12 2020,98730
Michigan,Aug  5 2020,93901
Michigan,Jul 29 2020,88969
Michigan,Jul 22 2020,83721
Michigan,Jul 15 2020,78905
Michigan,Jul  8 2020,74551
Michigan,Jul  1 2020,71089
Michigan,Jun 24 2020,68556
Michigan,Jun 17 2020,66499
Michigan,Jun 10 2020,65181
Michigan,Jun  3 2020,63636
Michigan,May 27 2020,60590
Michigan,May 20 2020,57311
Michigan,May 13 2020,51822
Michigan,May  6 2020,47737
Michigan,Apr 29 2020,42373
Michigan,Apr 22 2020,35405
Michigan,Apr 15 2020,29144
Michigan,Apr  8 2020,21076
Michigan,Apr  1 2020,9716
Michigan,Mar 25 2020,2465
Michigan,Mar 18 2020,159
Michigan,Mar 11 2020,2
Michigan,Mar  4 2020,0
Michigan,Feb 26 2020,0
Michigan,Feb 19 2020,0
Michigan,Feb 12 2020,0
Michigan,Feb  5 2020,0
Michigan,Jan 29 2020,0
