Data Table for Total Cases - Minnesota
Date generated: Mon Dec 05 2022 12:45:48 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Minnesota,Nov 30 2022,1709883
Minnesota,Nov 23 2022,1704996
Minnesota,Nov 16 2022,1698979
Minnesota,Nov  9 2022,1694438
Minnesota,Nov  2 2022,1689383
Minnesota,Oct 26 2022,1686047
Minnesota,Oct 19 2022,1680915
Minnesota,Oct 12 2022,1676149
Minnesota,Oct  5 2022,1670764
Minnesota,Sep 28 2022,1664795
Minnesota,Sep 21 2022,1658675
Minnesota,Sep 14 2022,1651993
Minnesota,Sep  7 2022,1645653
Minnesota,Aug 31 2022,1639212
Minnesota,Aug 24 2022,1630817
Minnesota,Aug 17 2022,1621194
Minnesota,Aug 10 2022,1611246
Minnesota,Aug  3 2022,1601005
Minnesota,Jul 27 2022,1590564
Minnesota,Jul 20 2022,1580506
Minnesota,Jul 13 2022,1571006
Minnesota,Jul  6 2022,1561481
Minnesota,Jun 29 2022,1552798
Minnesota,Jun 22 2022,1540376
Minnesota,Jun 15 2022,1533825
Minnesota,Jun  8 2022,1523257
Minnesota,Jun  1 2022,1508898
Minnesota,May 25 2022,1500500
Minnesota,May 18 2022,1488253
Minnesota,May 11 2022,1473448
Minnesota,May  4 2022,1459261
Minnesota,Apr 27 2022,1448847
Minnesota,Apr 20 2022,1441185
Minnesota,Apr 13 2022,1435806
Minnesota,Apr  6 2022,1431874
Minnesota,Mar 30 2022,1428893
Minnesota,Mar 23 2022,1426117
Minnesota,Mar 16 2022,1423314
Minnesota,Mar  9 2022,1420244
Minnesota,Mar  2 2022,1415650
Minnesota,Feb 23 2022,1409786
Minnesota,Feb 16 2022,1399671
Minnesota,Feb  9 2022,1378225
Minnesota,Feb  2 2022,1346236
Minnesota,Jan 26 2022,1279898
Minnesota,Jan 19 2022,1193043
Minnesota,Jan 12 2022,1114858
Minnesota,Jan  5 2022,1049046
Minnesota,Dec 29 2021,1015226
Minnesota,Dec 22 2021,992670
Minnesota,Dec 15 2021,971469
Minnesota,Dec  8 2021,948293
Minnesota,Dec  1 2021,915726
Minnesota,Nov 24 2021,890946
Minnesota,Nov 17 2021,861077
Minnesota,Nov 10 2021,831527
Minnesota,Nov  3 2021,807787
Minnesota,Oct 27 2021,781361
Minnesota,Oct 20 2021,765508
Minnesota,Oct 13 2021,748874
Minnesota,Oct  6 2021,729024
Minnesota,Sep 29 2021,707911
Minnesota,Sep 22 2021,691447
Minnesota,Sep 15 2021,676120
Minnesota,Sep  8 2021,662869
Minnesota,Sep  1 2021,650996
Minnesota,Aug 25 2021,640061
Minnesota,Aug 18 2021,630134
Minnesota,Aug 11 2021,621838
Minnesota,Aug  4 2021,615549
Minnesota,Jul 28 2021,611100
Minnesota,Jul 21 2021,608321
Minnesota,Jul 14 2021,606703
Minnesota,Jul  7 2021,605664
Minnesota,Jun 30 2021,604958
Minnesota,Jun 23 2021,604300
Minnesota,Jun 16 2021,603532
Minnesota,Jun  9 2021,602541
Minnesota,Jun  2 2021,601022
Minnesota,May 26 2021,599286
Minnesota,May 19 2021,595547
Minnesota,May 12 2021,589816
Minnesota,May  5 2021,581942
Minnesota,Apr 28 2021,571444
Minnesota,Apr 21 2021,559895
Minnesota,Apr 14 2021,546564
Minnesota,Apr  7 2021,532130
Minnesota,Mar 31 2021,519018
Minnesota,Mar 24 2021,508037
Minnesota,Mar 17 2021,499446
Minnesota,Mar 10 2021,492511
Minnesota,Mar  3 2021,485886
Minnesota,Feb 24 2021,480287
Minnesota,Feb 17 2021,474806
Minnesota,Feb 10 2021,469291
Minnesota,Feb  3 2021,463131
Minnesota,Jan 27 2021,456616
Minnesota,Jan 20 2021,448791
Minnesota,Jan 13 2021,439630
Minnesota,Jan  6 2021,426844
Minnesota,Dec 30 2020,412379
Minnesota,Dec 23 2020,401727
Minnesota,Dec 16 2020,385642
Minnesota,Dec  9 2020,362981
Minnesota,Dec  2 2020,326818
Minnesota,Nov 25 2020,288766
Minnesota,Nov 18 2020,241614
Minnesota,Nov 11 2020,194267
Minnesota,Nov  4 2020,160666
Minnesota,Oct 28 2020,139231
Minnesota,Oct 21 2020,126415
Minnesota,Oct 14 2020,115789
Minnesota,Oct  7 2020,106595
Minnesota,Sep 30 2020,99022
Minnesota,Sep 23 2020,91931
Minnesota,Sep 16 2020,85679
Minnesota,Sep  9 2020,81678
Minnesota,Sep  2 2020,76933
Minnesota,Aug 26 2020,71103
Minnesota,Aug 19 2020,66472
Minnesota,Aug 12 2020,62142
Minnesota,Aug  5 2020,57615
Minnesota,Jul 29 2020,52816
Minnesota,Jul 22 2020,47881
Minnesota,Jul 15 2020,43680
Minnesota,Jul  8 2020,39522
Minnesota,Jul  1 2020,36658
Minnesota,Jun 24 2020,33701
Minnesota,Jun 17 2020,31238
Minnesota,Jun 10 2020,28788
Minnesota,Jun  3 2020,25800
Minnesota,May 27 2020,22394
Minnesota,May 20 2020,17608
Minnesota,May 13 2020,12885
Minnesota,May  6 2020,8562
Minnesota,Apr 29 2020,4639
Minnesota,Apr 22 2020,2717
Minnesota,Apr 15 2020,1804
Minnesota,Apr  8 2020,1154
Minnesota,Apr  1 2020,689
Minnesota,Mar 25 2020,283
Minnesota,Mar 18 2020,77
Minnesota,Mar 11 2020,5
Minnesota,Mar  4 2020,0
Minnesota,Feb 26 2020,0
Minnesota,Feb 19 2020,0
Minnesota,Feb 12 2020,0
Minnesota,Feb  5 2020,0
Minnesota,Jan 29 2020,0
