Data Table for Total Cases - Mississippi
Date generated: Mon Dec 05 2022 12:45:56 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Mississippi,Nov 30 2022,940023
Mississippi,Nov 23 2022,938189
Mississippi,Nov 16 2022,936814
Mississippi,Nov  9 2022,935770
Mississippi,Nov  2 2022,934401
Mississippi,Oct 26 2022,933065
Mississippi,Oct 19 2022,931707
Mississippi,Oct 12 2022,930438
Mississippi,Oct  5 2022,929079
Mississippi,Sep 28 2022,927465
Mississippi,Sep 21 2022,925596
Mississippi,Sep 14 2022,922493
Mississippi,Sep  7 2022,918874
Mississippi,Aug 31 2022,913049
Mississippi,Aug 24 2022,904905
Mississippi,Aug 17 2022,897715
Mississippi,Aug 10 2022,889213
Mississippi,Aug  3 2022,880758
Mississippi,Jul 27 2022,872265
Mississippi,Jul 20 2022,862528
Mississippi,Jul 13 2022,852423
Mississippi,Jul  6 2022,839997
Mississippi,Jun 29 2022,832212
Mississippi,Jun 22 2022,825440
Mississippi,Jun 15 2022,818550
Mississippi,Jun  8 2022,813350
Mississippi,Jun  1 2022,808338
Mississippi,May 25 2022,805800
Mississippi,May 18 2022,803311
Mississippi,May 11 2022,800241
Mississippi,May  4 2022,798283
Mississippi,Apr 27 2022,797249
Mississippi,Apr 20 2022,796645
Mississippi,Apr 13 2022,796139
Mississippi,Apr  6 2022,795408
Mississippi,Mar 30 2022,794427
Mississippi,Mar 23 2022,793870
Mississippi,Mar 16 2022,793200
Mississippi,Mar  9 2022,792129
Mississippi,Mar  2 2022,790615
Mississippi,Feb 23 2022,787939
Mississippi,Feb 16 2022,783750
Mississippi,Feb  9 2022,772844
Mississippi,Feb  2 2022,737607
Mississippi,Jan 26 2022,705598
Mississippi,Jan 19 2022,665544
Mississippi,Jan 12 2022,608768
Mississippi,Jan  5 2022,572694
Mississippi,Dec 29 2021,538852
Mississippi,Dec 22 2021,525502
Mississippi,Dec 15 2021,520834
Mississippi,Dec  8 2021,517925
Mississippi,Dec  1 2021,514638
Mississippi,Nov 24 2021,512632
Mississippi,Nov 17 2021,509947
Mississippi,Nov 10 2021,507776
Mississippi,Nov  3 2021,505664
Mississippi,Oct 27 2021,503666
Mississippi,Oct 20 2021,500286
Mississippi,Oct 13 2021,496851
Mississippi,Oct  6 2021,492559
Mississippi,Sep 29 2021,487293
Mississippi,Sep 22 2021,479326
Mississippi,Sep 15 2021,468498
Mississippi,Sep  8 2021,455282
Mississippi,Sep  1 2021,439661
Mississippi,Aug 25 2021,420174
Mississippi,Aug 18 2021,396394
Mississippi,Aug 11 2021,371712
Mississippi,Aug  4 2021,352891
Mississippi,Jul 28 2021,339954
Mississippi,Jul 21 2021,330664
Mississippi,Jul 14 2021,325713
Mississippi,Jul  7 2021,323217
Mississippi,Jun 30 2021,321764
Mississippi,Jun 23 2021,320292
Mississippi,Jun 16 2021,319512
Mississippi,Jun  9 2021,318685
Mississippi,Jun  2 2021,317857
Mississippi,May 26 2021,317064
Mississippi,May 19 2021,315894
Mississippi,May 12 2021,314150
Mississippi,May  5 2021,312706
Mississippi,Apr 28 2021,311359
Mississippi,Apr 21 2021,309720
Mississippi,Apr 14 2021,308075
Mississippi,Apr  7 2021,306611
Mississippi,Mar 31 2021,305146
Mississippi,Mar 24 2021,303625
Mississippi,Mar 17 2021,301602
Mississippi,Mar 10 2021,298445
Mississippi,Mar  3 2021,295676
Mississippi,Feb 24 2021,291892
Mississippi,Feb 17 2021,289398
Mississippi,Feb 10 2021,283754
Mississippi,Feb  3 2021,277322
Mississippi,Jan 27 2021,268672
Mississippi,Jan 20 2021,256827
Mississippi,Jan 13 2021,243899
Mississippi,Jan  6 2021,228235
Mississippi,Dec 30 2020,213055
Mississippi,Dec 23 2020,200325
Mississippi,Dec 16 2020,185643
Mississippi,Dec  9 2020,170672
Mississippi,Dec  2 2020,156868
Mississippi,Nov 25 2020,145636
Mississippi,Nov 18 2020,137396
Mississippi,Nov 11 2020,129395
Mississippi,Nov  4 2020,122277
Mississippi,Oct 28 2020,117617
Mississippi,Oct 21 2020,112123
Mississippi,Oct 14 2020,106817
Mississippi,Oct  7 2020,102241
Mississippi,Sep 30 2020,98191
Mississippi,Sep 23 2020,94571
Mississippi,Sep 16 2020,91234
Mississippi,Sep  9 2020,87803
Mississippi,Sep  2 2020,84371
Mississippi,Aug 26 2020,80098
Mississippi,Aug 19 2020,74556
Mississippi,Aug 12 2020,69374
Mississippi,Aug  5 2020,63459
Mississippi,Jul 29 2020,55804
Mississippi,Jul 22 2020,47072
Mississippi,Jul 15 2020,38521
Mississippi,Jul  8 2020,32889
Mississippi,Jul  1 2020,27901
Mississippi,Jun 24 2020,23434
Mississippi,Jun 17 2020,20635
Mississippi,Jun 10 2020,18486
Mississippi,Jun  3 2020,16322
Mississippi,May 27 2020,14050
Mississippi,May 20 2020,11972
Mississippi,May 13 2020,10091
Mississippi,May  6 2020,8426
Mississippi,Apr 29 2020,6565
Mississippi,Apr 22 2020,4898
Mississippi,Apr 15 2020,3360
Mississippi,Apr  8 2020,2006
Mississippi,Apr  1 2020,1072
Mississippi,Mar 25 2020,377
Mississippi,Mar 18 2020,34
Mississippi,Mar 11 2020,0
Mississippi,Mar  4 2020,0
Mississippi,Feb 26 2020,0
Mississippi,Feb 19 2020,0
Mississippi,Feb 12 2020,0
Mississippi,Feb  5 2020,0
Mississippi,Jan 29 2020,0
