Data Table for Total Cases - Montana
Date generated: Mon Dec 05 2022 12:46:37 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Montana,Nov 30 2022,319023
Montana,Nov 23 2022,318105
Montana,Nov 16 2022,317134
Montana,Nov  9 2022,316250
Montana,Nov  2 2022,315421
Montana,Oct 26 2022,314564
Montana,Oct 19 2022,313809
Montana,Oct 12 2022,312861
Montana,Oct  5 2022,311830
Montana,Sep 28 2022,310731
Montana,Sep 21 2022,309452
Montana,Sep 14 2022,308022
Montana,Sep  7 2022,306708
Montana,Aug 31 2022,305560
Montana,Aug 24 2022,304168
Montana,Aug 17 2022,302454
Montana,Aug 10 2022,300606
Montana,Aug  3 2022,298744
Montana,Jul 27 2022,296598
Montana,Jul 20 2022,294339
Montana,Jul 13 2022,292024
Montana,Jul  6 2022,289342
Montana,Jun 29 2022,287143
Montana,Jun 22 2022,285016
Montana,Jun 15 2022,283053
Montana,Jun  8 2022,280965
Montana,Jun  1 2022,278993
Montana,May 25 2022,277497
Montana,May 18 2022,276192
Montana,May 11 2022,275112
Montana,May  4 2022,274385
Montana,Apr 27 2022,273782
Montana,Apr 20 2022,273364
Montana,Apr 13 2022,273015
Montana,Apr  6 2022,272787
Montana,Mar 30 2022,272542
Montana,Mar 23 2022,272303
Montana,Mar 16 2022,271944
Montana,Mar  9 2022,271456
Montana,Mar  2 2022,268135
Montana,Feb 23 2022,264274
Montana,Feb 16 2022,259700
Montana,Feb  9 2022,254233
Montana,Feb  2 2022,244555
Montana,Jan 26 2022,233056
Montana,Jan 19 2022,218047
Montana,Jan 12 2022,208132
Montana,Jan  5 2022,200558
Montana,Dec 29 2021,197060
Montana,Dec 22 2021,195421
Montana,Dec 15 2021,194399
Montana,Dec  8 2021,193273
Montana,Dec  1 2021,191593
Montana,Nov 24 2021,189678
Montana,Nov 17 2021,186802
Montana,Nov 10 2021,183213
Montana,Nov  3 2021,178981
Montana,Oct 27 2021,174084
Montana,Oct 20 2021,168513
Montana,Oct 13 2021,162240
Montana,Oct  6 2021,156079
Montana,Sep 29 2021,149824
Montana,Sep 22 2021,143824
Montana,Sep 15 2021,137391
Montana,Sep  8 2021,131751
Montana,Sep  1 2021,128100
Montana,Aug 25 2021,124277
Montana,Aug 18 2021,121381
Montana,Aug 11 2021,119123
Montana,Aug  4 2021,117328
Montana,Jul 28 2021,115889
Montana,Jul 21 2021,115002
Montana,Jul 14 2021,114507
Montana,Jul  7 2021,114100
Montana,Jun 30 2021,113752
Montana,Jun 23 2021,113402
Montana,Jun 16 2021,113020
Montana,Jun  9 2021,112590
Montana,Jun  2 2021,112000
Montana,May 26 2021,111455
Montana,May 19 2021,110925
Montana,May 12 2021,110293
Montana,May  5 2021,109440
Montana,Apr 28 2021,108482
Montana,Apr 21 2021,107531
Montana,Apr 14 2021,106627
Montana,Apr  7 2021,105521
Montana,Mar 31 2021,104541
Montana,Mar 24 2021,103658
Montana,Mar 17 2021,102471
Montana,Mar 10 2021,101239
Montana,Mar  3 2021,100346
Montana,Feb 24 2021,99237
Montana,Feb 17 2021,97897
Montana,Feb 10 2021,96594
Montana,Feb  3 2021,94807
Montana,Jan 27 2021,92539
Montana,Jan 20 2021,90257
Montana,Jan 13 2021,87653
Montana,Jan  6 2021,84060
Montana,Dec 30 2020,81225
Montana,Dec 23 2020,78501
Montana,Dec 16 2020,74648
Montana,Dec  9 2020,70134
Montana,Dec  2 2020,64341
Montana,Nov 25 2020,58568
Montana,Nov 18 2020,50582
Montana,Nov 11 2020,41992
Montana,Nov  4 2020,35898
Montana,Oct 28 2020,29968
Montana,Oct 21 2020,24711
Montana,Oct 14 2020,20211
Montana,Oct  7 2020,16061
Montana,Sep 30 2020,13072
Montana,Sep 23 2020,10913
Montana,Sep 16 2020,9433
Montana,Sep  9 2020,8469
Montana,Sep  2 2020,7691
Montana,Aug 26 2020,6787
Montana,Aug 19 2020,5955
Montana,Aug 12 2020,5270
Montana,Aug  5 2020,4429
Montana,Jul 29 2020,3673
Montana,Jul 22 2020,2813
Montana,Jul 15 2020,2095
Montana,Jul  8 2020,1371
Montana,Jul  1 2020,1017
Montana,Jun 24 2020,765
Montana,Jun 17 2020,630
Montana,Jun 10 2020,561
Montana,Jun  3 2020,524
Montana,May 27 2020,481
Montana,May 20 2020,478
Montana,May 13 2020,462
Montana,May  6 2020,455
Montana,Apr 29 2020,451
Montana,Apr 22 2020,439
Montana,Apr 15 2020,404
Montana,Apr  8 2020,332
Montana,Apr  1 2020,207
Montana,Mar 25 2020,65
Montana,Mar 18 2020,10
Montana,Mar 11 2020,0
Montana,Mar  4 2020,0
Montana,Feb 26 2020,0
Montana,Feb 19 2020,0
Montana,Feb 12 2020,0
Montana,Feb  5 2020,0
Montana,Jan 29 2020,0
