Data Table for Total Cases - Nevada
Date generated: Mon Dec 05 2022 12:47:08 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Nevada,Nov 30 2022,864406
Nevada,Nov 23 2022,861746
Nevada,Nov 16 2022,859537
Nevada,Nov  9 2022,857473
Nevada,Nov  2 2022,854700
Nevada,Oct 26 2022,852958
Nevada,Oct 19 2022,851298
Nevada,Oct 12 2022,849745
Nevada,Oct  5 2022,848615
Nevada,Sep 28 2022,847332
Nevada,Sep 21 2022,846811
Nevada,Sep 14 2022,845183
Nevada,Sep  7 2022,835614
Nevada,Aug 31 2022,833960
Nevada,Aug 24 2022,832159
Nevada,Aug 17 2022,829613
Nevada,Aug 10 2022,827061
Nevada,Aug  3 2022,823573
Nevada,Jul 27 2022,819041
Nevada,Jul 20 2022,789670
Nevada,Jul 13 2022,782544
Nevada,Jul  6 2022,774842
Nevada,Jun 29 2022,766699
Nevada,Jun 22 2022,758577
Nevada,Jun 15 2022,751504
Nevada,Jun  8 2022,742375
Nevada,Jun  1 2022,735631
Nevada,May 25 2022,728449
Nevada,May 18 2022,722259
Nevada,May 11 2022,717894
Nevada,May  4 2022,714711
Nevada,Apr 27 2022,712280
Nevada,Apr 20 2022,710340
Nevada,Apr 13 2022,709106
Nevada,Apr  6 2022,707966
Nevada,Mar 30 2022,706754
Nevada,Mar 23 2022,705595
Nevada,Mar 16 2022,704448
Nevada,Mar  9 2022,681302
Nevada,Mar  2 2022,679005
Nevada,Feb 23 2022,673512
Nevada,Feb 16 2022,671336
Nevada,Feb  9 2022,666840
Nevada,Feb  2 2022,657971
Nevada,Jan 26 2022,636701
Nevada,Jan 19 2022,599868
Nevada,Jan 12 2022,535716
Nevada,Jan  5 2022,501974
Nevada,Dec 29 2021,481330
Nevada,Dec 22 2021,472370
Nevada,Dec 15 2021,466848
Nevada,Dec  8 2021,462488
Nevada,Dec  1 2021,458068
Nevada,Nov 24 2021,454726
Nevada,Nov 17 2021,450634
Nevada,Nov 10 2021,446285
Nevada,Nov  3 2021,441755
Nevada,Oct 27 2021,437452
Nevada,Oct 20 2021,433430
Nevada,Oct 13 2021,429478
Nevada,Oct  6 2021,424924
Nevada,Sep 29 2021,420115
Nevada,Sep 22 2021,414321
Nevada,Sep 15 2021,407215
Nevada,Sep  8 2021,399205
Nevada,Sep  1 2021,392030
Nevada,Aug 25 2021,384116
Nevada,Aug 18 2021,376065
Nevada,Aug 11 2021,368614
Nevada,Aug  4 2021,361136
Nevada,Jul 28 2021,353743
Nevada,Jul 21 2021,347098
Nevada,Jul 14 2021,341293
Nevada,Jul  7 2021,336562
Nevada,Jun 30 2021,333712
Nevada,Jun 23 2021,330362
Nevada,Jun 16 2021,328194
Nevada,Jun  9 2021,326591
Nevada,Jun  2 2021,324681
Nevada,May 26 2021,323249
Nevada,May 19 2021,321716
Nevada,May 12 2021,319714
Nevada,May  5 2021,317088
Nevada,Apr 28 2021,314475
Nevada,Apr 21 2021,311750
Nevada,Apr 14 2021,309150
Nevada,Apr  7 2021,305929
Nevada,Mar 31 2021,303762
Nevada,Mar 24 2021,301727
Nevada,Mar 17 2021,300118
Nevada,Mar 10 2021,297147
Nevada,Mar  3 2021,294684
Nevada,Feb 24 2021,292059
Nevada,Feb 17 2021,289392
Nevada,Feb 10 2021,285795
Nevada,Feb  3 2021,280707
Nevada,Jan 27 2021,273873
Nevada,Jan 20 2021,265143
Nevada,Jan 13 2021,253985
Nevada,Jan  6 2021,237393
Nevada,Dec 30 2020,222595
Nevada,Dec 23 2020,209962
Nevada,Dec 16 2020,194098
Nevada,Dec  9 2020,176282
Nevada,Dec  2 2020,156972
Nevada,Nov 25 2020,142239
Nevada,Nov 18 2020,125459
Nevada,Nov 11 2020,113411
Nevada,Nov  4 2020,104093
Nevada,Oct 28 2020,97479
Nevada,Oct 21 2020,92063
Nevada,Oct 14 2020,87313
Nevada,Oct  7 2020,83347
Nevada,Sep 30 2020,79980
Nevada,Sep 23 2020,76807
Nevada,Sep 16 2020,74248
Nevada,Sep  9 2020,72258
Nevada,Sep  2 2020,69871
Nevada,Aug 26 2020,66667
Nevada,Aug 19 2020,63028
Nevada,Aug 12 2020,58048
Nevada,Aug  5 2020,52828
Nevada,Jul 29 2020,45807
Nevada,Jul 22 2020,38657
Nevada,Jul 15 2020,30468
Nevada,Jul  8 2020,24301
Nevada,Jul  1 2020,19101
Nevada,Jun 24 2020,14360
Nevada,Jun 17 2020,11854
Nevada,Jun 10 2020,10216
Nevada,Jun  3 2020,8952
Nevada,May 27 2020,8149
Nevada,May 20 2020,7308
Nevada,May 13 2020,6476
Nevada,May  6 2020,5741
Nevada,Apr 29 2020,4934
Nevada,Apr 22 2020,4081
Nevada,Apr 15 2020,3210
Nevada,Apr  8 2020,2259
Nevada,Apr  1 2020,1279
Nevada,Mar 25 2020,323
Nevada,Mar 18 2020,55
Nevada,Mar 11 2020,7
Nevada,Mar  4 2020,0
Nevada,Feb 26 2020,0
Nevada,Feb 19 2020,0
Nevada,Feb 12 2020,0
Nevada,Feb  5 2020,0
Nevada,Jan 29 2020,0
