Data Table for Total Cases - New Jersey
Date generated: Mon Dec 05 2022 12:47:41 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
New Jersey,Nov 30 2022,2848609
New Jersey,Nov 23 2022,2835549
New Jersey,Nov 16 2022,2824396
New Jersey,Nov  9 2022,2813645
New Jersey,Nov  2 2022,2801506
New Jersey,Oct 26 2022,2787227
New Jersey,Oct 19 2022,2775804
New Jersey,Oct 12 2022,2763340
New Jersey,Oct  5 2022,2750373
New Jersey,Sep 28 2022,2735732
New Jersey,Sep 21 2022,2719358
New Jersey,Sep 14 2022,2703340
New Jersey,Sep  7 2022,2689371
New Jersey,Aug 31 2022,2676932
New Jersey,Aug 24 2022,2661873
New Jersey,Aug 17 2022,2645729
New Jersey,Aug 10 2022,2627779
New Jersey,Aug  3 2022,2606229
New Jersey,Jul 27 2022,2582494
New Jersey,Jul 20 2022,2556303
New Jersey,Jul 13 2022,2530796
New Jersey,Jul  6 2022,2505692
New Jersey,Jun 29 2022,2484840
New Jersey,Jun 22 2022,2464207
New Jersey,Jun 15 2022,2444707
New Jersey,Jun  8 2022,2424606
New Jersey,Jun  1 2022,2398157
New Jersey,May 25 2022,2370508
New Jersey,May 18 2022,2335255
New Jersey,May 11 2022,2300407
New Jersey,May  4 2022,2273050
New Jersey,Apr 27 2022,2252044
New Jersey,Apr 20 2022,2235034
New Jersey,Apr 13 2022,2221058
New Jersey,Apr  6 2022,2208118
New Jersey,Mar 30 2022,2198339
New Jersey,Mar 23 2022,2190835
New Jersey,Mar 16 2022,2184240
New Jersey,Mar  9 2022,2177598
New Jersey,Mar  2 2022,2170061
New Jersey,Feb 23 2022,2161191
New Jersey,Feb 16 2022,2150351
New Jersey,Feb  9 2022,2136387
New Jersey,Feb  2 2022,2119298
New Jersey,Jan 26 2022,2085385
New Jersey,Jan 19 2022,2025616
New Jersey,Jan 12 2022,1915417
New Jersey,Jan  5 2022,1711738
New Jersey,Dec 29 2021,1495354
New Jersey,Dec 22 2021,1373212
New Jersey,Dec 15 2021,1316108
New Jersey,Dec  8 2021,1283925
New Jersey,Dec  1 2021,1255893
New Jersey,Nov 24 2021,1238359
New Jersey,Nov 17 2021,1223455
New Jersey,Nov 10 2021,1211423
New Jersey,Nov  3 2021,1202251
New Jersey,Oct 27 2021,1193201
New Jersey,Oct 20 2021,1184395
New Jersey,Oct 13 2021,1175889
New Jersey,Oct  6 2021,1164378
New Jersey,Sep 29 2021,1152243
New Jersey,Sep 22 2021,1139367
New Jersey,Sep 15 2021,1123364
New Jersey,Sep  8 2021,1108291
New Jersey,Sep  1 2021,1094249
New Jersey,Aug 25 2021,1079900
New Jersey,Aug 18 2021,1065736
New Jersey,Aug 11 2021,1053398
New Jersey,Aug  4 2021,1043702
New Jersey,Jul 28 2021,1035975
New Jersey,Jul 21 2021,1030580
New Jersey,Jul 14 2021,1027014
New Jersey,Jul  7 2021,1024748
New Jersey,Jun 30 2021,1023417
New Jersey,Jun 23 2021,1021822
New Jersey,Jun 16 2021,1020326
New Jersey,Jun  9 2021,1018487
New Jersey,Jun  2 2021,1016766
New Jersey,May 26 2021,1014971
New Jersey,May 19 2021,1012165
