Data Table for Total Cases - North Dakota
Date generated: Mon Dec 05 2022 12:58:51 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
North Dakota,Nov 30 2022,276274
North Dakota,Nov 23 2022,275510
North Dakota,Nov 16 2022,274701
North Dakota,Nov  9 2022,273779
North Dakota,Nov  2 2022,272812
North Dakota,Oct 26 2022,271912
North Dakota,Oct 19 2022,271085
North Dakota,Oct 12 2022,270288
North Dakota,Oct  5 2022,269306
North Dakota,Sep 28 2022,268307
North Dakota,Sep 21 2022,267287
North Dakota,Sep 14 2022,266273
North Dakota,Sep  7 2022,265306
North Dakota,Aug 31 2022,263918
North Dakota,Aug 24 2022,262554
North Dakota,Aug 17 2022,261045
North Dakota,Aug 10 2022,259269
North Dakota,Aug  3 2022,257331
North Dakota,Jul 27 2022,255475
North Dakota,Jul 20 2022,253676
North Dakota,Jul 13 2022,251876
North Dakota,Jul  6 2022,250319
North Dakota,Jun 29 2022,248961
North Dakota,Jun 22 2022,247796
North Dakota,Jun 15 2022,246543
North Dakota,Jun  8 2022,245474
North Dakota,Jun  1 2022,244275
North Dakota,May 25 2022,243340
North Dakota,May 18 2022,242458
North Dakota,May 11 2022,241735
North Dakota,May  4 2022,241124
North Dakota,Apr 27 2022,240710
North Dakota,Apr 20 2022,240377
North Dakota,Apr 13 2022,240104
North Dakota,Apr  6 2022,239857
North Dakota,Mar 30 2022,239667
North Dakota,Mar 23 2022,239437
North Dakota,Mar 16 2022,239292
North Dakota,Mar  9 2022,238884
North Dakota,Mar  2 2022,238317
North Dakota,Feb 23 2022,237302
North Dakota,Feb 16 2022,235863
North Dakota,Feb  9 2022,232724
North Dakota,Feb  2 2022,226742
North Dakota,Jan 26 2022,216810
North Dakota,Jan 19 2022,202334
North Dakota,Jan 12 2022,187528
North Dakota,Jan  5 2022,177811
North Dakota,Dec 29 2021,172607
North Dakota,Dec 22 2021,170373
North Dakota,Dec 15 2021,168249
North Dakota,Dec  8 2021,165844
North Dakota,Dec  1 2021,162978
North Dakota,Nov 24 2021,159844
North Dakota,Nov 17 2021,156740
North Dakota,Nov 10 2021,153425
North Dakota,Nov  3 2021,149857
North Dakota,Oct 27 2021,146387
North Dakota,Oct 20 2021,142987
North Dakota,Oct 13 2021,139563
North Dakota,Oct  6 2021,135732
North Dakota,Sep 29 2021,131400
North Dakota,Sep 22 2021,127283
North Dakota,Sep 15 2021,124046
North Dakota,Sep  8 2021,120602
North Dakota,Sep  1 2021,117955
North Dakota,Aug 25 2021,115666
North Dakota,Aug 18 2021,113923
North Dakota,Aug 11 2021,112743
North Dakota,Aug  4 2021,111932
North Dakota,Jul 28 2021,111409
North Dakota,Jul 21 2021,111091
North Dakota,Jul 14 2021,110926
North Dakota,Jul  7 2021,110775
North Dakota,Jun 30 2021,110703
North Dakota,Jun 23 2021,110606
North Dakota,Jun 16 2021,110487
North Dakota,Jun  9 2021,110296
North Dakota,Jun  2 2021,110042
North Dakota,May 26 2021,109778
North Dakota,May 19 2021,109362
North Dakota,May 12 2021,108759
North Dakota,May  5 2021,108080
North Dakota,Apr 28 2021,107153
North Dakota,Apr 21 2021,106219
North Dakota,Apr 14 2021,105214
North Dakota,Apr  7 2021,104168
North Dakota,Mar 31 2021,103093
North Dakota,Mar 24 2021,101997
North Dakota,Mar 17 2021,101283
North Dakota,Mar 10 2021,100617
North Dakota,Mar  3 2021,100071
North Dakota,Feb 24 2021,99527
North Dakota,Feb 17 2021,98901
North Dakota,Feb 10 2021,98238
North Dakota,Feb  3 2021,97903
North Dakota,Jan 27 2021,97147
North Dakota,Jan 20 2021,96215
North Dakota,Jan 13 2021,95131
North Dakota,Jan  6 2021,93826
North Dakota,Dec 30 2020,92492
North Dakota,Dec 23 2020,90704
North Dakota,Dec 16 2020,88687
North Dakota,Dec  9 2020,86149
North Dakota,Dec  2 2020,80138
North Dakota,Nov 25 2020,75480
North Dakota,Nov 18 2020,67231
North Dakota,Nov 11 2020,57376
North Dakota,Nov  4 2020,48301
North Dakota,Oct 28 2020,39910
North Dakota,Oct 21 2020,34165
North Dakota,Oct 14 2020,28950
North Dakota,Oct  7 2020,24858
North Dakota,Sep 30 2020,21847
North Dakota,Sep 23 2020,18981
North Dakota,Sep 16 2020,16338
North Dakota,Sep  9 2020,14125
North Dakota,Sep  2 2020,12270
North Dakota,Aug 26 2020,10462
North Dakota,Aug 19 2020,8967
North Dakota,Aug 12 2020,7972
North Dakota,Aug  5 2020,7058
North Dakota,Jul 29 2020,6226
North Dakota,Jul 22 2020,5365
North Dakota,Jul 15 2020,4565
North Dakota,Jul  8 2020,3971
North Dakota,Jul  1 2020,3615
North Dakota,Jun 24 2020,3361
North Dakota,Jun 17 2020,3166
North Dakota,Jun 10 2020,2941
North Dakota,Jun  3 2020,2679
North Dakota,May 27 2020,2438
North Dakota,May 20 2020,2078
North Dakota,May 13 2020,1647
North Dakota,May  6 2020,1323
North Dakota,Apr 29 2020,1033
North Dakota,Apr 22 2020,679
North Dakota,Apr 15 2020,365
North Dakota,Apr  8 2020,251
North Dakota,Apr  1 2020,141
North Dakota,Mar 25 2020,45
North Dakota,Mar 18 2020,6
North Dakota,Mar 11 2020,0
North Dakota,Mar  4 2020,0
North Dakota,Feb 26 2020,0
North Dakota,Feb 19 2020,0
North Dakota,Feb 12 2020,0
North Dakota,Feb  5 2020,0
North Dakota,Jan 29 2020,0
