Data Table for Total Cases - Ohio
Date generated: Mon Dec 05 2022 12:59:00 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Ohio,Nov 30 2022,3227759
Ohio,Nov 23 2022,3227759
Ohio,Nov 16 2022,3208165
Ohio,Nov  9 2022,3197297
Ohio,Nov  2 2022,3185038
Ohio,Oct 26 2022,3173375
Ohio,Oct 19 2022,3162278
Ohio,Oct 12 2022,3153743
Ohio,Oct  5 2022,3143746
Ohio,Sep 28 2022,3131645
Ohio,Sep 21 2022,3117109
Ohio,Sep 14 2022,3096557
Ohio,Sep  7 2022,3074826
Ohio,Aug 31 2022,3049546
Ohio,Aug 24 2022,3026110
Ohio,Aug 17 2022,3002043
Ohio,Aug 10 2022,2976027
Ohio,Aug  3 2022,2948242
Ohio,Jul 27 2022,2918366
Ohio,Jul 20 2022,2891756
Ohio,Jul 13 2022,2867291
Ohio,Jul  6 2022,2848453
Ohio,Jun 29 2022,2831228
Ohio,Jun 22 2022,2815069
Ohio,Jun 15 2022,2798900
Ohio,Jun  8 2022,2780653
Ohio,Jun  1 2022,2763123
Ohio,May 25 2022,2743577
Ohio,May 18 2022,2724041
Ohio,May 11 2022,2708071
Ohio,May  4 2022,2697058
Ohio,Apr 27 2022,2688326
Ohio,Apr 20 2022,2681437
Ohio,Apr 13 2022,2676619
Ohio,Apr  6 2022,2672786
Ohio,Mar 30 2022,2669694
Ohio,Mar 23 2022,2666030
Ohio,Mar 16 2022,2663835
Ohio,Mar  9 2022,2661557
Ohio,Mar  2 2022,2656164
Ohio,Feb 23 2022,2648378
Ohio,Feb 16 2022,2638202
Ohio,Feb  9 2022,2621382
Ohio,Feb  2 2022,2595504
Ohio,Jan 26 2022,2540864
Ohio,Jan 19 2022,2439205
Ohio,Jan 12 2022,2246974
Ohio,Jan  5 2022,2112824
Ohio,Dec 29 2021,1975723
Ohio,Dec 22 2021,1880588
Ohio,Dec 15 2021,1807539
Ohio,Dec  8 2021,1752508
Ohio,Dec  1 2021,1699161
Ohio,Nov 24 2021,1660131
Ohio,Nov 17 2021,1620436
Ohio,Nov 10 2021,1585798
Ohio,Nov  3 2021,1556208
Ohio,Oct 27 2021,1531815
Ohio,Oct 20 2021,1507676
Ohio,Oct 13 2021,1480371
Ohio,Oct  6 2021,1445785
Ohio,Sep 29 2021,1407442
Ohio,Sep 22 2021,1365800
Ohio,Sep 15 2021,1319265
Ohio,Sep  8 2021,1268841
Ohio,Sep  1 2021,1228002
Ohio,Aug 25 2021,1192478
Ohio,Aug 18 2021,1168111
Ohio,Aug 11 2021,1149318
Ohio,Aug  4 2021,1134965
Ohio,Jul 28 2021,1125421
Ohio,Jul 21 2021,1119298
Ohio,Jul 14 2021,1115245
Ohio,Jul  7 2021,1113008
Ohio,Jun 30 2021,1111325
Ohio,Jun 23 2021,1109701
Ohio,Jun 16 2021,1107900
Ohio,Jun  9 2021,1105717
Ohio,Jun  2 2021,1102885
Ohio,May 26 2021,1099580
Ohio,May 19 2021,1093536
Ohio,May 12 2021,1087182
Ohio,May  5 2021,1078734
Ohio,Apr 28 2021,1068985
Ohio,Apr 21 2021,1058397
Ohio,Apr 14 2021,1045945
Ohio,Apr  7 2021,1030864
Ohio,Mar 31 2021,1017565
Ohio,Mar 24 2021,1004670
Ohio,Mar 17 2021,993681
Ohio,Mar 10 2021,983488
Ohio,Mar  3 2021,972605
Ohio,Feb 24 2021,960007
Ohio,Feb 17 2021,945090
Ohio,Feb 10 2021,928631
Ohio,Feb  3 2021,906727
Ohio,Jan 27 2021,878284
Ohio,Jan 20 2021,842433
Ohio,Jan 13 2021,799639
Ohio,Jan  6 2021,742817
Ohio,Dec 30 2020,690748
Ohio,Dec 23 2020,644822
Ohio,Dec 16 2020,584770
Ohio,Dec  9 2020,520112
Ohio,Dec  2 2020,437928
Ohio,Nov 25 2020,382743
Ohio,Nov 18 2020,318828
Ohio,Nov 11 2020,267356
Ohio,Nov  4 2020,230209
Ohio,Oct 28 2020,205347
Ohio,Oct 21 2020,188005
Ohio,Oct 14 2020,173665
Ohio,Oct  7 2020,162723
Ohio,Sep 30 2020,153988
Ohio,Sep 23 2020,146754
Ohio,Sep 16 2020,140518
Ohio,Sep  9 2020,132968
Ohio,Sep  2 2020,125770
Ohio,Aug 26 2020,117586
Ohio,Aug 19 2020,110870
Ohio,Aug 12 2020,104248
Ohio,Aug  5 2020,96305
Ohio,Jul 29 2020,87893
Ohio,Jul 22 2020,78743
Ohio,Jul 15 2020,69313
Ohio,Jul  8 2020,60181
Ohio,Jul  1 2020,52865
Ohio,Jun 24 2020,46760
Ohio,Jun 17 2020,42425
Ohio,Jun 10 2020,39575
Ohio,Jun  3 2020,36796
Ohio,May 27 2020,33442
Ohio,May 20 2020,29442
Ohio,May 13 2020,25721
Ohio,May  6 2020,21576
Ohio,Apr 29 2020,17303
Ohio,Apr 22 2020,14120
Ohio,Apr 15 2020,7791
Ohio,Apr  8 2020,5149
Ohio,Apr  1 2020,2548
Ohio,Mar 25 2020,705
Ohio,Mar 18 2020,89
Ohio,Mar 11 2020,4
Ohio,Mar  4 2020,0
Ohio,Feb 26 2020,0
Ohio,Feb 19 2020,0
Ohio,Feb 12 2020,0
Ohio,Feb  5 2020,0
Ohio,Jan 29 2020,0
