Data Table for Total Cases - Oregon
Date generated: Mon Dec 05 2022 12:59:28 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Oregon,Nov 30 2022,924632
Oregon,Nov 23 2022,920718
Oregon,Nov 16 2022,917164
Oregon,Nov  9 2022,913809
Oregon,Nov  2 2022,910693
Oregon,Oct 26 2022,908181
Oregon,Oct 19 2022,905873
Oregon,Oct 12 2022,902319
Oregon,Oct  5 2022,899013
Oregon,Sep 28 2022,894776
Oregon,Sep 21 2022,890506
Oregon,Sep 14 2022,885962
Oregon,Sep  7 2022,881996
Oregon,Aug 31 2022,878149
Oregon,Aug 24 2022,873957
Oregon,Aug 17 2022,868903
Oregon,Aug 10 2022,863044
Oregon,Aug  3 2022,856228
Oregon,Jul 27 2022,848045
Oregon,Jul 20 2022,839294
Oregon,Jul 13 2022,830059
Oregon,Jul  6 2022,819678
Oregon,Jun 29 2022,809826
Oregon,Jun 22 2022,798052
Oregon,Jun 15 2022,788127
Oregon,Jun  8 2022,777699
Oregon,Jun  1 2022,767285
Oregon,May 25 2022,757209
Oregon,May 18 2022,745723
Oregon,May 11 2022,735464
Oregon,May  4 2022,726611
Oregon,Apr 27 2022,718630
Oregon,Apr 20 2022,712685
Oregon,Apr 13 2022,708521
Oregon,Apr  6 2022,705816
Oregon,Mar 30 2022,703839
Oregon,Mar 23 2022,702284
Oregon,Mar 16 2022,700655
Oregon,Mar  9 2022,698493
Oregon,Mar  2 2022,695322
Oregon,Feb 23 2022,690480
Oregon,Feb 16 2022,682565
Oregon,Feb  9 2022,668782
Oregon,Feb  2 2022,643973
Oregon,Jan 26 2022,605363
Oregon,Jan 19 2022,549942
Oregon,Jan 12 2022,494946
Oregon,Jan  5 2022,441648
Oregon,Dec 29 2021,418333
Oregon,Dec 22 2021,409249
Oregon,Dec 15 2021,403328
Oregon,Dec  8 2021,398262
Oregon,Dec  1 2021,392197
Oregon,Nov 24 2021,387485
Oregon,Nov 17 2021,381842
Oregon,Nov 10 2021,376373
Oregon,Nov  3 2021,369817
Oregon,Oct 27 2021,362560
Oregon,Oct 20 2021,354676
Oregon,Oct 13 2021,346484
Oregon,Oct  6 2021,338131
Oregon,Sep 29 2021,328184
Oregon,Sep 22 2021,317107
Oregon,Sep 15 2021,305560
Oregon,Sep  8 2021,291978
Oregon,Sep  1 2021,279087
Oregon,Aug 25 2021,263164
Oregon,Aug 18 2021,247866
Oregon,Aug 11 2021,234393
Oregon,Aug  4 2021,224547
Oregon,Jul 28 2021,217689
Oregon,Jul 21 2021,213729
Oregon,Jul 14 2021,211316
Oregon,Jul  7 2021,209764
Oregon,Jun 30 2021,208641
Oregon,Jun 23 2021,207333
Oregon,Jun 16 2021,205698
Oregon,Jun  9 2021,203933
Oregon,Jun  2 2021,201994
Oregon,May 26 2021,199784
Oregon,May 19 2021,196787
Oregon,May 12 2021,193014
Oregon,May  5 2021,188417
Oregon,Apr 28 2021,182916
Oregon,Apr 21 2021,177134
Oregon,Apr 14 2021,172206
Oregon,Apr  7 2021,168128
Oregon,Mar 31 2021,165012
Oregon,Mar 24 2021,162383
Oregon,Mar 17 2021,160288
Oregon,Mar 10 2021,158291
Oregon,Mar  3 2021,156288
Oregon,Feb 24 2021,154058
Oregon,Feb 17 2021,151257
Oregon,Feb 10 2021,148475
Oregon,Feb  3 2021,144605
Oregon,Jan 27 2021,140063
Oregon,Jan 20 2021,135143
Oregon,Jan 13 2021,129109
Oregon,Jan  6 2021,120223
Oregon,Dec 30 2020,112260
Oregon,Dec 23 2020,105971
Oregon,Dec 16 2020,97621
Oregon,Dec  9 2020,88287
Oregon,Dec  2 2020,78160
Oregon,Nov 25 2020,68503
Oregon,Nov 18 2020,59669
Oregon,Nov 11 2020,52770
Oregon,Nov  4 2020,47049
Oregon,Oct 28 2020,43228
Oregon,Oct 21 2020,40445
Oregon,Oct 14 2020,38161
Oregon,Oct  7 2020,35634
Oregon,Sep 30 2020,33508
Oregon,Sep 23 2020,31503
Oregon,Sep 16 2020,29849
Oregon,Sep  9 2020,28469
Oregon,Sep  2 2020,27074
Oregon,Aug 26 2020,25566
Oregon,Aug 19 2020,23867
Oregon,Aug 12 2020,22018
Oregon,Aug  5 2020,19976
Oregon,Jul 29 2020,17718
Oregon,Jul 22 2020,15391
Oregon,Jul 15 2020,13081
Oregon,Jul  8 2020,10810
Oregon,Jul  1 2020,8931
Oregon,Jun 24 2020,7444
Oregon,Jun 17 2020,6220
Oregon,Jun 10 2020,5062
Oregon,Jun  3 2020,4398
Oregon,May 27 2020,4036
Oregon,May 20 2020,3795
Oregon,May 13 2020,3413
Oregon,May  6 2020,2915
Oregon,Apr 29 2020,2446
Oregon,Apr 22 2020,2059
Oregon,Apr 15 2020,1664
Oregon,Apr  8 2020,1182
Oregon,Apr  1 2020,735
Oregon,Mar 25 2020,266
Oregon,Mar 18 2020,75
Oregon,Mar 11 2020,19
Oregon,Mar  4 2020,3
Oregon,Feb 26 2020,0
Oregon,Feb 19 2020,0
Oregon,Feb 12 2020,0
Oregon,Feb  5 2020,0
Oregon,Jan 29 2020,0
