Data Table for Total Cases - Pennsylvania
Date generated: Mon Dec 05 2022 12:59:48 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Pennsylvania,Nov 30 2022,3360797
Pennsylvania,Nov 23 2022,3350067
Pennsylvania,Nov 16 2022,3340015
Pennsylvania,Nov  9 2022,3330228
Pennsylvania,Nov  2 2022,3318008
Pennsylvania,Oct 26 2022,3304938
Pennsylvania,Oct 19 2022,3292643
Pennsylvania,Oct 12 2022,3280509
Pennsylvania,Oct  5 2022,3267127
Pennsylvania,Sep 28 2022,3254348
Pennsylvania,Sep 21 2022,3239101
Pennsylvania,Sep 14 2022,3221810
Pennsylvania,Sep  7 2022,3202876
Pennsylvania,Aug 31 2022,3185916
Pennsylvania,Aug 24 2022,3167636
Pennsylvania,Aug 17 2022,3147414
Pennsylvania,Aug 10 2022,3125912
Pennsylvania,Aug  3 2022,3105254
Pennsylvania,Jul 27 2022,3083286
Pennsylvania,Jul 20 2022,3058253
Pennsylvania,Jul 13 2022,3038167
Pennsylvania,Jul  6 2022,3018396
Pennsylvania,Jun 29 2022,3001382
Pennsylvania,Jun 22 2022,2987470
Pennsylvania,Jun 15 2022,2972282
Pennsylvania,Jun  8 2022,2954806
Pennsylvania,Jun  1 2022,2932594
Pennsylvania,May 25 2022,2908253
Pennsylvania,May 18 2022,2877616
Pennsylvania,May 11 2022,2849853
Pennsylvania,May  4 2022,2827827
Pennsylvania,Apr 27 2022,2812823
Pennsylvania,Apr 20 2022,2801522
Pennsylvania,Apr 13 2022,2792077
Pennsylvania,Apr  6 2022,2785093
Pennsylvania,Mar 30 2022,2780236
Pennsylvania,Mar 23 2022,2775910
Pennsylvania,Mar 16 2022,2771669
Pennsylvania,Mar  9 2022,2766203
Pennsylvania,Mar  2 2022,2759297
Pennsylvania,Feb 23 2022,2749362
Pennsylvania,Feb 16 2022,2732800
Pennsylvania,Feb  9 2022,2710244
Pennsylvania,Feb  2 2022,2675788
Pennsylvania,Jan 26 2022,2606904
Pennsylvania,Jan 19 2022,2507761
Pennsylvania,Jan 12 2022,2351053
Pennsylvania,Jan  5 2022,2149881
Pennsylvania,Dec 29 2021,1995095
Pennsylvania,Dec 22 2021,1914742
Pennsylvania,Dec 15 2021,1858289
Pennsylvania,Dec  8 2021,1800424
Pennsylvania,Dec  1 2021,1745788
Pennsylvania,Nov 24 2021,1705734
Pennsylvania,Nov 17 2021,1661272
Pennsylvania,Nov 10 2021,1623786
Pennsylvania,Nov  3 2021,1592178
Pennsylvania,Oct 27 2021,1565193
Pennsylvania,Oct 20 2021,1537523
Pennsylvania,Oct 13 2021,1506895
Pennsylvania,Oct  6 2021,1473402
Pennsylvania,Sep 29 2021,1439395
Pennsylvania,Sep 22 2021,1405859
Pennsylvania,Sep 15 2021,1371979
Pennsylvania,Sep  8 2021,1341357
Pennsylvania,Sep  1 2021,1315946
Pennsylvania,Aug 25 2021,1292234
Pennsylvania,Aug 18 2021,1272171
Pennsylvania,Aug 11 2021,1257212
Pennsylvania,Aug  4 2021,1245460
Pennsylvania,Jul 28 2021,1237209
Pennsylvania,Jul 21 2021,1232363
Pennsylvania,Jul 14 2021,1229279
Pennsylvania,Jul  7 2021,1227481
Pennsylvania,Jun 30 2021,1226294
Pennsylvania,Jun 23 2021,1225026
Pennsylvania,Jun 16 2021,1223368
Pennsylvania,Jun  9 2021,1220804
Pennsylvania,Jun  2 2021,1216933
Pennsylvania,May 26 2021,1211782
Pennsylvania,May 19 2021,1202965
Pennsylvania,May 12 2021,1191857
Pennsylvania,May  5 2021,1176567
Pennsylvania,Apr 28 2021,1154938
Pennsylvania,Apr 21 2021,1130118
Pennsylvania,Apr 14 2021,1099334
Pennsylvania,Apr  7 2021,1065333
Pennsylvania,Mar 31 2021,1035284
Pennsylvania,Mar 24 2021,1006271
Pennsylvania,Mar 17 2021,982915
Pennsylvania,Mar 10 2021,964252
Pennsylvania,Mar  3 2021,946717
Pennsylvania,Feb 24 2021,928568
Pennsylvania,Feb 17 2021,910535
Pennsylvania,Feb 10 2021,888820
Pennsylvania,Feb  3 2021,861942
Pennsylvania,Jan 27 2021,826816
Pennsylvania,Jan 20 2021,791402
Pennsylvania,Jan 13 2021,750146
Pennsylvania,Jan  6 2021,692078
Pennsylvania,Dec 30 2020,640139
Pennsylvania,Dec 23 2020,589711
Pennsylvania,Dec 16 2020,527869
Pennsylvania,Dec  9 2020,453464
Pennsylvania,Dec  2 2020,383879
Pennsylvania,Nov 25 2020,335401
Pennsylvania,Nov 18 2020,288831
Pennsylvania,Nov 11 2020,249428
Pennsylvania,Nov  4 2020,223168
Pennsylvania,Oct 28 2020,205862
Pennsylvania,Oct 21 2020,191403
Pennsylvania,Oct 14 2020,180715
Pennsylvania,Oct  7 2020,171388
Pennsylvania,Sep 30 2020,163900
Pennsylvania,Sep 23 2020,157170
Pennsylvania,Sep 16 2020,151603
Pennsylvania,Sep  9 2020,145827
Pennsylvania,Sep  2 2020,140121
Pennsylvania,Aug 26 2020,134852
Pennsylvania,Aug 19 2020,130414
Pennsylvania,Aug 12 2020,125306
Pennsylvania,Aug  5 2020,119806
Pennsylvania,Jul 29 2020,114198
Pennsylvania,Jul 22 2020,107543
Pennsylvania,Jul 15 2020,101567
Pennsylvania,Jul  8 2020,96111
Pennsylvania,Jul  1 2020,91078
Pennsylvania,Jun 24 2020,86992
Pennsylvania,Jun 17 2020,83559
Pennsylvania,Jun 10 2020,80566
Pennsylvania,Jun  3 2020,77106
Pennsylvania,May 27 2020,72967
Pennsylvania,May 20 2020,67831
Pennsylvania,May 13 2020,61995
Pennsylvania,May  6 2020,54826
Pennsylvania,Apr 29 2020,46355
