Data Table for Total Cases - South Dakota
Date generated: Mon Dec 05 2022 13:01:00 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
South Dakota,Nov 30 2022,268797
South Dakota,Nov 23 2022,267689
South Dakota,Nov 16 2022,266842
South Dakota,Nov  9 2022,265890
South Dakota,Nov  2 2022,265019
South Dakota,Oct 26 2022,264187
South Dakota,Oct 19 2022,263468
South Dakota,Oct 12 2022,262837
South Dakota,Oct  5 2022,262212
South Dakota,Sep 28 2022,261371
South Dakota,Sep 21 2022,260639
South Dakota,Sep 14 2022,259683
South Dakota,Sep  7 2022,258510
South Dakota,Aug 31 2022,257547
South Dakota,Aug 24 2022,256255
South Dakota,Aug 17 2022,254670
South Dakota,Aug 10 2022,253232
South Dakota,Aug  3 2022,251859
South Dakota,Jul 27 2022,250286
South Dakota,Jul 20 2022,248788
South Dakota,Jul 13 2022,247274
South Dakota,Jul  6 2022,245705
South Dakota,Jun 29 2022,244523
South Dakota,Jun 22 2022,243269
South Dakota,Jun 15 2022,242297
South Dakota,Jun  8 2022,241323
South Dakota,Jun  1 2022,240353
South Dakota,May 25 2022,239703
South Dakota,May 18 2022,239109
South Dakota,May 11 2022,238635
South Dakota,May  4 2022,238182
South Dakota,Apr 27 2022,237812
South Dakota,Apr 20 2022,237535
South Dakota,Apr 13 2022,237368
South Dakota,Apr  6 2022,237241
South Dakota,Mar 30 2022,237104
South Dakota,Mar 23 2022,236950
South Dakota,Mar 16 2022,236745
South Dakota,Mar  9 2022,236493
South Dakota,Mar  2 2022,236117
South Dakota,Feb 23 2022,235517
South Dakota,Feb 16 2022,233690
South Dakota,Feb  9 2022,231940
South Dakota,Feb  2 2022,228892
South Dakota,Jan 26 2022,222881
South Dakota,Jan 19 2022,211885
South Dakota,Jan 12 2022,197912
South Dakota,Jan  5 2022,185284
South Dakota,Dec 29 2021,178394
South Dakota,Dec 22 2021,175246
South Dakota,Dec 15 2021,172762
South Dakota,Dec  8 2021,170400
South Dakota,Dec  1 2021,167140
South Dakota,Nov 24 2021,164291
South Dakota,Nov 17 2021,161472
South Dakota,Nov 10 2021,158822
South Dakota,Nov  3 2021,156123
South Dakota,Oct 27 2021,153775
South Dakota,Oct 20 2021,151554
South Dakota,Oct 13 2021,149337
South Dakota,Oct  6 2021,146996
South Dakota,Sep 29 2021,144548
South Dakota,Sep 22 2021,141744
South Dakota,Sep 15 2021,138860
South Dakota,Sep  8 2021,135537
South Dakota,Sep  1 2021,132837
South Dakota,Aug 25 2021,129865
South Dakota,Aug 18 2021,127696
South Dakota,Aug 11 2021,126457
South Dakota,Aug  4 2021,125599
South Dakota,Jul 28 2021,125224
South Dakota,Jul 21 2021,124959
South Dakota,Jul 14 2021,124762
South Dakota,Jul  7 2021,124650
South Dakota,Jun 30 2021,124546
South Dakota,Jun 23 2021,124466
South Dakota,Jun 16 2021,124372
South Dakota,Jun  9 2021,124299
South Dakota,Jun  2 2021,124213
South Dakota,May 26 2021,124063
South Dakota,May 19 2021,123822
South Dakota,May 12 2021,123514
South Dakota,May  5 2021,123068
South Dakota,Apr 28 2021,122397
South Dakota,Apr 21 2021,121517
South Dakota,Apr 14 2021,120379
South Dakota,Apr  7 2021,118976
South Dakota,Mar 31 2021,117756
South Dakota,Mar 24 2021,116352
South Dakota,Mar 17 2021,114959
South Dakota,Mar 10 2021,113952
South Dakota,Mar  3 2021,112830
South Dakota,Feb 24 2021,111807
South Dakota,Feb 17 2021,110683
South Dakota,Feb 10 2021,109578
South Dakota,Feb  3 2021,108638
South Dakota,Jan 27 2021,107611
South Dakota,Jan 20 2021,106039
South Dakota,Jan 13 2021,104175
South Dakota,Jan  6 2021,101678
South Dakota,Dec 30 2020,98721
South Dakota,Dec 23 2020,96039
South Dakota,Dec 16 2020,92604
South Dakota,Dec  9 2020,88023
South Dakota,Dec  2 2020,82203
South Dakota,Nov 25 2020,76142
South Dakota,Nov 18 2020,68671
South Dakota,Nov 11 2020,58696
South Dakota,Nov  4 2020,49789
South Dakota,Oct 28 2020,42000
South Dakota,Oct 21 2020,35044
South Dakota,Oct 14 2020,30215
South Dakota,Oct  7 2020,25906
South Dakota,Sep 30 2020,22389
South Dakota,Sep 23 2020,19633
South Dakota,Sep 16 2020,17294
South Dakota,Sep  9 2020,15574
South Dakota,Sep  2 2020,14004
South Dakota,Aug 26 2020,11571
South Dakota,Aug 19 2020,10566
South Dakota,Aug 12 2020,9816
South Dakota,Aug  5 2020,9151
South Dakota,Jul 29 2020,8634
South Dakota,Jul 22 2020,8077
South Dakota,Jul 15 2020,7651
South Dakota,Jul  8 2020,7242
South Dakota,Jul  1 2020,6826
South Dakota,Jun 24 2020,6419
South Dakota,Jun 17 2020,6043
South Dakota,Jun 10 2020,5598
South Dakota,Jun  3 2020,5160
South Dakota,May 27 2020,4706
South Dakota,May 20 2020,4177
South Dakota,May 13 2020,3732
South Dakota,May  6 2020,2778
South Dakota,Apr 29 2020,2374
South Dakota,Apr 22 2020,1858
South Dakota,Apr 15 2020,1168
South Dakota,Apr  8 2020,393
South Dakota,Apr  1 2020,129
South Dakota,Mar 25 2020,41
South Dakota,Mar 18 2020,11
South Dakota,Mar 11 2020,7
South Dakota,Mar  4 2020,0
South Dakota,Feb 26 2020,0
South Dakota,Feb 19 2020,0
South Dakota,Feb 12 2020,0
South Dakota,Feb  5 2020,0
South Dakota,Jan 29 2020,0
