Data Table for Total Cases - Tennessee
Date generated: Mon Dec 05 2022 13:01:19 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Tennessee,Nov 30 2022,2389250
Tennessee,Nov 23 2022,2384048
Tennessee,Nov 16 2022,2377161
Tennessee,Nov  9 2022,2370955
Tennessee,Nov  2 2022,2363920
Tennessee,Oct 26 2022,2356887
Tennessee,Oct 19 2022,2351624
Tennessee,Oct 12 2022,2346708
Tennessee,Oct  5 2022,2341354
Tennessee,Sep 28 2022,2335380
Tennessee,Sep 21 2022,2328222
Tennessee,Sep 14 2022,2319715
Tennessee,Sep  7 2022,2308821
Tennessee,Aug 31 2022,2292790
Tennessee,Aug 24 2022,2270438
Tennessee,Aug 17 2022,2242534
Tennessee,Aug 10 2022,2224528
Tennessee,Aug  3 2022,2206913
Tennessee,Jul 27 2022,2188171
Tennessee,Jul 20 2022,2168080
Tennessee,Jul 13 2022,2148220
Tennessee,Jul  6 2022,2131198
Tennessee,Jun 29 2022,2114472
Tennessee,Jun 22 2022,2098895
Tennessee,Jun 15 2022,2086157
Tennessee,Jun  8 2022,2073518
Tennessee,Jun  1 2022,2062239
Tennessee,May 25 2022,2051779
Tennessee,May 18 2022,2042775
Tennessee,May 11 2022,2036315
Tennessee,May  4 2022,2031533
Tennessee,Apr 27 2022,2027967
Tennessee,Apr 20 2022,2025209
Tennessee,Apr 13 2022,2023084
Tennessee,Apr  6 2022,2021346
Tennessee,Mar 30 2022,2019868
Tennessee,Mar 23 2022,2018226
Tennessee,Mar 16 2022,2016221
Tennessee,Mar  9 2022,2013113
Tennessee,Mar  2 2022,2006395
Tennessee,Feb 23 2022,2001977
Tennessee,Feb 16 2022,1987038
Tennessee,Feb  9 2022,1959677
Tennessee,Feb  2 2022,1904616
Tennessee,Jan 26 2022,1825635
Tennessee,Jan 19 2022,1713151
Tennessee,Jan 12 2022,1596036
Tennessee,Jan  5 2022,1494667
Tennessee,Dec 29 2021,1411693
Tennessee,Dec 22 2021,1366043
Tennessee,Dec 15 2021,1345556
Tennessee,Dec  8 2021,1333418
Tennessee,Dec  1 2021,1320313
Tennessee,Nov 24 2021,1310863
Tennessee,Nov 17 2021,1301580
Tennessee,Nov 10 2021,1292983
Tennessee,Nov  3 2021,1285146
Tennessee,Oct 27 2021,1278209
Tennessee,Oct 20 2021,1270108
Tennessee,Oct 13 2021,1259723
Tennessee,Oct  6 2021,1245704
Tennessee,Sep 29 2021,1227484
Tennessee,Sep 22 2021,1202995
Tennessee,Sep 15 2021,1170852
Tennessee,Sep  8 2021,1118370
Tennessee,Sep  1 2021,1063723
Tennessee,Aug 25 2021,1013271
Tennessee,Aug 18 2021,969603
Tennessee,Aug 11 2021,936221
Tennessee,Aug  4 2021,909697
Tennessee,Jul 28 2021,890886
Tennessee,Jul 21 2021,878582
Tennessee,Jul 14 2021,872209
Tennessee,Jul  7 2021,868348
Tennessee,Jun 30 2021,866161
Tennessee,Jun 23 2021,864675
Tennessee,Jun 16 2021,863492
Tennessee,Jun  9 2021,861948
Tennessee,Jun  2 2021,860324
Tennessee,May 26 2021,858277
Tennessee,May 19 2021,855289
Tennessee,May 12 2021,851248
Tennessee,May  5 2021,846130
Tennessee,Apr 28 2021,840212
Tennessee,Apr 21 2021,832672
Tennessee,Apr 14 2021,822512
Tennessee,Apr  7 2021,814343
Tennessee,Mar 31 2021,806777
Tennessee,Mar 24 2021,798760
Tennessee,Mar 17 2021,789853
Tennessee,Mar 10 2021,781335
Tennessee,Mar  3 2021,772495
Tennessee,Feb 24 2021,763993
Tennessee,Feb 17 2021,754469
Tennessee,Feb 10 2021,744270
Tennessee,Feb  3 2021,728111
Tennessee,Jan 27 2021,710369
Tennessee,Jan 20 2021,689284
Tennessee,Jan 13 2021,661408
Tennessee,Jan  6 2021,622815
Tennessee,Dec 30 2020,576491
Tennessee,Dec 23 2020,536672
Tennessee,Dec 16 2020,482450
Tennessee,Dec  9 2020,418500
Tennessee,Dec  2 2020,380299
Tennessee,Nov 25 2020,344495
Tennessee,Nov 18 2020,322116
Tennessee,Nov 11 2020,291214
Tennessee,Nov  4 2020,267452
Tennessee,Oct 28 2020,252572
Tennessee,Oct 21 2020,233531
Tennessee,Oct 14 2020,219286
Tennessee,Oct  7 2020,206029
Tennessee,Sep 30 2020,194513
Tennessee,Sep 23 2020,185029
Tennessee,Sep 16 2020,175354
Tennessee,Sep  9 2020,165104
Tennessee,Sep  2 2020,156238
Tennessee,Aug 26 2020,145704
Tennessee,Aug 19 2020,135863
Tennessee,Aug 12 2020,124745
Tennessee,Aug  5 2020,112648
Tennessee,Jul 29 2020,99265
Tennessee,Jul 22 2020,83979
Tennessee,Jul 15 2020,68921
Tennessee,Jul  8 2020,55827
Tennessee,Jul  1 2020,45118
Tennessee,Jun 24 2020,37326
Tennessee,Jun 17 2020,32024
Tennessee,Jun 10 2020,28006
Tennessee,Jun  3 2020,24876
Tennessee,May 27 2020,21387
Tennessee,May 20 2020,18708
Tennessee,May 13 2020,16589
Tennessee,May  6 2020,13943
Tennessee,Apr 29 2020,10806
Tennessee,Apr 22 2020,8148
Tennessee,Apr 15 2020,6051
Tennessee,Apr  8 2020,4399
Tennessee,Apr  1 2020,2627
Tennessee,Mar 25 2020,915
Tennessee,Mar 18 2020,100
Tennessee,Mar 11 2020,9
Tennessee,Mar  4 2020,0
Tennessee,Feb 26 2020,0
Tennessee,Feb 19 2020,0
Tennessee,Feb 12 2020,0
Tennessee,Feb  5 2020,0
Tennessee,Jan 29 2020,0
