Data Table for Total Cases - The United States
Date generated: Mon Dec 05 2022 12:34:22 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
United States,Nov 30 2022,98777220
United States,Nov 23 2022,98474119
United States,Nov 16 2022,98167263
United States,Nov  9 2022,97885786
United States,Nov  2 2022,97595310
United States,Oct 26 2022,97321086
United States,Oct 19 2022,97058726
United States,Oct 12 2022,96797550
United States,Oct  5 2022,96532247
United States,Sep 28 2022,96212156
United States,Sep 21 2022,95869638
United States,Sep 14 2022,95472571
United States,Sep  7 2022,95000219
United States,Aug 31 2022,94475174
United States,Aug 24 2022,93858743
United States,Aug 17 2022,93206938
United States,Aug 10 2022,92513115
United States,Aug  3 2022,91740513
United States,Jul 27 2022,90903605
United States,Jul 20 2022,89978031
United States,Jul 13 2022,89072328
United States,Jul  6 2022,88207542
United States,Jun 29 2022,87428348
United States,Jun 22 2022,86656221
United States,Jun 15 2022,85963043
United States,Jun  8 2022,85236894
United States,Jun  1 2022,84463653
United States,May 25 2022,83749082
United States,May 18 2022,82973379
United States,May 11 2022,82273676
United States,May  4 2022,81690981
United States,Apr 27 2022,81240486
United States,Apr 20 2022,80873831
United States,Apr 13 2022,80580420
United States,Apr  6 2022,80353437
United States,Mar 30 2022,80159323
United States,Mar 23 2022,79966354
United States,Mar 16 2022,79773541
United States,Mar  9 2022,79561321
United States,Mar  2 2022,79292644
United States,Feb 23 2022,78925800
United States,Feb 16 2022,78380532
United States,Feb  9 2022,77459387
United States,Feb  2 2022,75978402
United States,Jan 26 2022,73289143
United States,Jan 19 2022,68883913
United States,Jan 12 2022,63276729
United States,Jan  5 2022,57779390
United States,Dec 29 2021,53647292
United States,Dec 22 2021,51503176
United States,Dec 15 2021,50341983
United States,Dec  8 2021,49503108
United States,Dec  1 2021,48659978
United States,Nov 24 2021,48045631
United States,Nov 17 2021,47376542
United States,Nov 10 2021,46762545
United States,Nov  3 2021,46224703
United States,Oct 27 2021,45720887
United States,Oct 20 2021,45214999
United States,Oct 13 2021,44681242
United States,Oct  6 2021,44062760
United States,Sep 29 2021,43356628
United States,Sep 22 2021,42555772
United States,Sep 15 2021,41635319
United States,Sep  8 2021,40549159
United States,Sep  1 2021,39481435
United States,Aug 25 2021,38304105
United States,Aug 18 2021,37293005
United States,Aug 11 2021,36290784
United States,Aug  4 2021,35387726
United States,Jul 28 2021,34716251
United States,Jul 21 2021,34261958
United States,Jul 14 2021,33973060
United States,Jul  7 2021,33793979
United States,Jun 30 2021,33684324
United States,Jun 23 2021,33590419
United States,Jun 16 2021,33508174
United States,Jun  9 2021,33421471
United States,Jun  2 2021,33321457
United States,May 26 2021,33210181
United States,May 19 2021,33048805
United States,May 12 2021,32840060
United States,May  5 2021,32586378
United States,Apr 28 2021,32260393
United States,Apr 21 2021,31890506
United States,Apr 14 2021,31443686
United States,Apr  7 2021,30946610
United States,Mar 31 2021,30487757
United States,Mar 24 2021,30039328
United States,Mar 17 2021,29636417
United States,Mar 10 2021,29254141
United States,Mar  3 2021,28861439
United States,Feb 24 2021,28417634
United States,Feb 17 2021,27941114
United States,Feb 10 2021,27401507
United States,Feb  3 2021,26673914
United States,Jan 27 2021,25717819
United States,Jan 20 2021,24576736
United States,Jan 13 2021,23197959
United States,Jan  6 2021,21488046
United States,Dec 30 2020,19883042
United States,Dec 23 2020,18580916
United States,Dec 16 2020,17080736
United States,Dec  9 2020,15555058
United States,Dec  2 2020,14074179
United States,Nov 25 2020,12901410
United States,Nov 18 2020,11649375
United States,Nov 11 2020,10505707
United States,Nov  4 2020,9586593
United States,Oct 28 2020,8882200
United States,Oct 21 2020,8354001
United States,Oct 14 2020,7920051
United States,Oct  7 2020,7548438
United States,Sep 30 2020,7230092
United States,Sep 23 2020,6933869
United States,Sep 16 2020,6627733
United States,Sep  9 2020,6356279
United States,Sep  2 2020,6100507
United States,Aug 26 2020,5810918
United States,Aug 19 2020,5514804
United States,Aug 12 2020,5184075
United States,Aug  5 2020,4806767
United States,Jul 29 2020,4408607
United States,Jul 22 2020,3957622
United States,Jul 15 2020,3490506
United States,Jul  8 2020,3049463
United States,Jul  1 2020,2679739
United States,Jun 24 2020,2368162
United States,Jun 17 2020,2148873
United States,Jun 10 2020,1990012
United States,Jun  3 2020,1847410
United States,May 27 2020,1702404
United States,May 20 2020,1556640
United States,May 13 2020,1399027
United States,May  6 2020,1239431
United States,Apr 29 2020,1051222
United States,Apr 22 2020,853749
United States,Apr 15 2020,654651
United States,Apr  8 2020,447562
United States,Apr  1 2020,228134
United States,Mar 25 2020,69644
United States,Mar 18 2020,9449
United States,Mar 11 2020,1349
United States,Mar  4 2020,183
United States,Feb 26 2020,71
United States,Feb 19 2020,47
United States,Feb 12 2020,32
United States,Feb  5 2020,22
United States,Jan 29 2020,12
