Data Table for Total Cases - Utah
Date generated: Mon Dec 05 2022 13:02:06 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Utah,Nov 30 2022,1061722
Utah,Nov 23 2022,1057770
Utah,Nov 16 2022,1053871
Utah,Nov  9 2022,1050452
Utah,Nov  2 2022,1047360
Utah,Oct 26 2022,1045112
Utah,Oct 19 2022,1043003
Utah,Oct 12 2022,1041367
Utah,Oct  5 2022,1039876
Utah,Sep 28 2022,1038143
Utah,Sep 21 2022,1036246
Utah,Sep 14 2022,1034232
Utah,Sep  7 2022,1031666
Utah,Aug 31 2022,1029196
Utah,Aug 24 2022,1026270
Utah,Aug 17 2022,1023073
Utah,Aug 10 2022,1019437
Utah,Aug  3 2022,1014664
Utah,Jul 27 2022,1009176
Utah,Jul 20 2022,1003406
Utah,Jul 13 2022,996266
Utah,Jul  6 2022,988425
Utah,Jun 29 2022,981533
Utah,Jun 22 2022,974044
Utah,Jun 15 2022,967622
Utah,Jun  8 2022,961003
Utah,Jun  1 2022,953466
Utah,May 25 2022,947981
Utah,May 18 2022,942482
Utah,May 11 2022,938192
Utah,May  4 2022,934951
Utah,Apr 27 2022,932457
Utah,Apr 20 2022,930815
Utah,Apr 13 2022,929627
Utah,Apr  6 2022,928881
Utah,Mar 30 2022,928179
Utah,Mar 23 2022,927379
Utah,Mar 16 2022,926492
Utah,Mar  9 2022,925351
Utah,Mar  2 2022,923780
Utah,Feb 23 2022,920953
Utah,Feb 16 2022,916122
Utah,Feb  9 2022,907048
Utah,Feb  2 2022,891798
Utah,Jan 26 2022,861876
Utah,Jan 19 2022,802623
Utah,Jan 12 2022,725990
Utah,Jan  5 2022,663404
Utah,Dec 29 2021,633422
Utah,Dec 22 2021,622497
Utah,Dec 15 2021,615630
Utah,Dec  8 2021,608035
Utah,Dec  1 2021,598134
Utah,Nov 24 2021,589731
Utah,Nov 17 2021,579404
Utah,Nov 10 2021,567696
Utah,Nov  3 2021,556435
Utah,Oct 27 2021,546189
Utah,Oct 20 2021,534894
Utah,Oct 13 2021,526379
Utah,Oct  6 2021,516728
Utah,Sep 29 2021,506795
Utah,Sep 22 2021,497419
Utah,Sep 15 2021,487346
Utah,Sep  8 2021,475625
Utah,Sep  1 2021,466098
Utah,Aug 25 2021,457094
Utah,Aug 18 2021,449248
Utah,Aug 11 2021,442230
Utah,Aug  4 2021,436486
Utah,Jul 28 2021,430139
Utah,Jul 21 2021,425601
Utah,Jul 14 2021,421255
Utah,Jul  7 2021,417653
Utah,Jun 30 2021,415131
Utah,Jun 23 2021,412541
Utah,Jun 16 2021,410370
Utah,Jun  9 2021,408422
Utah,Jun  2 2021,406478
Utah,May 26 2021,405071
Utah,May 19 2021,403410
Utah,May 12 2021,401231
Utah,May  5 2021,398967
Utah,Apr 28 2021,396512
Utah,Apr 21 2021,393853
Utah,Apr 14 2021,391174
Utah,Apr  7 2021,388421
Utah,Mar 31 2021,385620
Utah,Mar 24 2021,382717
Utah,Mar 17 2021,379762
Utah,Mar 10 2021,376287
Utah,Mar  3 2021,372676
Utah,Feb 24 2021,368567
Utah,Feb 17 2021,363203
Utah,Feb 10 2021,357316
Utah,Feb  3 2021,349952
Utah,Jan 27 2021,340630
Utah,Jan 20 2021,328343
Utah,Jan 13 2021,314890
Utah,Jan  6 2021,294923
Utah,Dec 30 2020,273908
Utah,Dec 23 2020,259536
Utah,Dec 16 2020,242452
Utah,Dec  9 2020,224082
Utah,Dec  2 2020,203719
Utah,Nov 25 2020,185202
Utah,Nov 18 2020,163191
Utah,Nov 11 2020,140782
Utah,Nov  4 2020,122424
Utah,Oct 28 2020,109540
Utah,Oct 21 2020,98504
Utah,Oct 14 2020,89470
Utah,Oct  7 2020,80896
Utah,Sep 30 2020,73450
Utah,Sep 23 2020,66196
Utah,Sep 16 2020,59972
Utah,Sep  9 2020,55774
Utah,Sep  2 2020,52927
Utah,Aug 26 2020,50245
Utah,Aug 19 2020,47567
Utah,Aug 12 2020,45114
Utah,Aug  5 2020,42373
Utah,Jul 29 2020,39274
Utah,Jul 22 2020,35669
Utah,Jul 15 2020,31254
Utah,Jul  8 2020,26952
Utah,Jul  1 2020,22798
Utah,Jun 24 2020,18828
Utah,Jun 17 2020,15367
Utah,Jun 10 2020,12874
Utah,Jun  3 2020,10499
Utah,May 27 2020,8690
Utah,May 20 2020,7702
Utah,May 13 2020,6600
Utah,May  6 2020,5570
Utah,Apr 29 2020,4478
Utah,Apr 22 2020,3446
Utah,Apr 15 2020,2537
Utah,Apr  8 2020,1814
Utah,Apr  1 2020,984
Utah,Mar 25 2020,324
Utah,Mar 18 2020,52
Utah,Mar 11 2020,2
Utah,Mar  4 2020,0
Utah,Feb 26 2020,0
Utah,Feb 19 2020,0
Utah,Feb 12 2020,0
Utah,Feb  5 2020,0
Utah,Jan 29 2020,0
