Data Table for Total Cases - Washington
Date generated: Mon Dec 05 2022 13:02:58 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Washington,Nov 30 2022,1859858
Washington,Nov 23 2022,1854190
Washington,Nov 16 2022,1848748
Washington,Nov  9 2022,1843926
Washington,Nov  2 2022,1839331
Washington,Oct 26 2022,1835087
Washington,Oct 19 2022,1830508
Washington,Oct 12 2022,1826835
Washington,Oct  5 2022,1821634
Washington,Sep 28 2022,1814902
Washington,Sep 21 2022,1807103
Washington,Sep 14 2022,1799414
Washington,Sep  7 2022,1792187
Washington,Aug 31 2022,1785866
Washington,Aug 24 2022,1777441
Washington,Aug 17 2022,1768805
Washington,Aug 10 2022,1758530
Washington,Aug  3 2022,1746487
Washington,Jul 27 2022,1732460
Washington,Jul 20 2022,1717152
Washington,Jul 13 2022,1698989
Washington,Jul  6 2022,1679919
Washington,Jun 29 2022,1662536
Washington,Jun 22 2022,1643220
Washington,Jun 15 2022,1625225
Washington,Jun  8 2022,1607448
Washington,Jun  1 2022,1586777
Washington,May 25 2022,1569199
Washington,May 18 2022,1547009
Washington,May 11 2022,1527240
Washington,May  4 2022,1510414
Washington,Apr 27 2022,1495273
Washington,Apr 20 2022,1480756
Washington,Apr 13 2022,1472914
Washington,Apr  6 2022,1465397
Washington,Mar 30 2022,1455563
Washington,Mar 23 2022,1449765
Washington,Mar 16 2022,1443979
Washington,Mar  9 2022,1436322
Washington,Mar  2 2022,1428196
Washington,Feb 23 2022,1412310
Washington,Feb 16 2022,1393697
Washington,Feb  9 2022,1370935
Washington,Feb  2 2022,1329521
Washington,Jan 26 2022,1245828
Washington,Jan 19 2022,1130832
Washington,Jan 12 2022,1024623
Washington,Jan  5 2022,913405
Washington,Dec 29 2021,848812
Washington,Dec 22 2021,813556
Washington,Dec 15 2021,798011
Washington,Dec  8 2021,788607
Washington,Dec  1 2021,778505
Washington,Nov 24 2021,768983
Washington,Nov 17 2021,760175
Washington,Nov 10 2021,747888
Washington,Nov  3 2021,735489
Washington,Oct 27 2021,722370
Washington,Oct 20 2021,707545
Washington,Oct 13 2021,692048
Washington,Oct  6 2021,676308
Washington,Sep 29 2021,658086
Washington,Sep 22 2021,637671
Washington,Sep 15 2021,616659
Washington,Sep  8 2021,593047
Washington,Sep  1 2021,570276
Washington,Aug 25 2021,545812
Washington,Aug 18 2021,523574
Washington,Aug 11 2021,502878
Washington,Aug  4 2021,485306
Washington,Jul 28 2021,471826
Washington,Jul 21 2021,464309
Washington,Jul 14 2021,458829
Washington,Jul  7 2021,453837
Washington,Jun 30 2021,451267
Washington,Jun 23 2021,448712
Washington,Jun 16 2021,445397
Washington,Jun  9 2021,441789
Washington,Jun  2 2021,437541
Washington,May 26 2021,432361
Washington,May 19 2021,424896
Washington,May 12 2021,417982
Washington,May  5 2021,409804
Washington,Apr 28 2021,399861
Washington,Apr 21 2021,390749
Washington,Apr 14 2021,380533
Washington,Apr  7 2021,371917
Washington,Mar 31 2021,364474
Washington,Mar 24 2021,357417
Washington,Mar 17 2021,352053
Washington,Mar 10 2021,346741
Washington,Mar  3 2021,342083
Washington,Feb 24 2021,336580
Washington,Feb 17 2021,330733
Washington,Feb 10 2021,324996
Washington,Feb  3 2021,316828
Washington,Jan 27 2021,305705
Washington,Jan 20 2021,294549
Washington,Jan 13 2021,281425
Washington,Jan  6 2021,262155
Washington,Dec 30 2020,244804
Washington,Dec 23 2020,231635
Washington,Dec 16 2020,215107
Washington,Dec  9 2020,197434
Washington,Dec  2 2020,176549
Washington,Nov 25 2020,159543
Washington,Nov 18 2020,140298
Washington,Nov 11 2020,125783
Washington,Nov  4 2020,114950
Washington,Oct 28 2020,107587
Washington,Oct 21 2020,102430
Washington,Oct 14 2020,97717
Washington,Oct  7 2020,93269
Washington,Sep 30 2020,89248
Washington,Sep 23 2020,85250
Washington,Sep 16 2020,82012
Washington,Sep  9 2020,79093
Washington,Sep  2 2020,76349
Washington,Aug 26 2020,73023
Washington,Aug 19 2020,69363
Washington,Aug 12 2020,65162
Washington,Aug  5 2020,60715
Washington,Jul 29 2020,55605
Washington,Jul 22 2020,49836
Washington,Jul 15 2020,44081
Washington,Jul  8 2020,38445
Washington,Jul  1 2020,33997
Washington,Jun 24 2020,30265
Washington,Jun 17 2020,27080
Washington,Jun 10 2020,24772
Washington,Jun  3 2020,22657
Washington,May 27 2020,20751
Washington,May 20 2020,19142
Washington,May 13 2020,17864
Washington,May  6 2020,16370
Washington,Apr 29 2020,14425
Washington,Apr 22 2020,12838
Washington,Apr 15 2020,11258
Washington,Apr  8 2020,9729
Washington,Apr  1 2020,6428
Washington,Mar 25 2020,2917
Washington,Mar 18 2020,1297
Washington,Mar 11 2020,411
Washington,Mar  4 2020,56
Washington,Feb 26 2020,2
Washington,Feb 19 2020,2
Washington,Feb 12 2020,2
Washington,Feb  5 2020,2
Washington,Jan 29 2020,2
