Data Table for Total Deaths - Alabama
Date generated: Mon Dec 05 2022 12:35:04 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Alabama,Nov 30 2022,20652
Alabama,Nov 23 2022,20631
Alabama,Nov 16 2022,20617
Alabama,Nov  9 2022,20608
Alabama,Nov  2 2022,20558
Alabama,Oct 26 2022,20533
Alabama,Oct 19 2022,20505
Alabama,Oct 12 2022,20473
Alabama,Oct  5 2022,20422
Alabama,Sep 28 2022,20395
Alabama,Sep 21 2022,20322
Alabama,Sep 14 2022,20239
Alabama,Sep  7 2022,20160
Alabama,Aug 31 2022,20048
Alabama,Aug 24 2022,20041
Alabama,Aug 17 2022,20026
Alabama,Aug 10 2022,19974
Alabama,Aug  3 2022,19891
Alabama,Jul 27 2022,19890
Alabama,Jul 20 2022,19852
Alabama,Jul 13 2022,19812
Alabama,Jul  6 2022,19766
Alabama,Jun 29 2022,19740
Alabama,Jun 22 2022,19722
Alabama,Jun 15 2022,19696
Alabama,Jun  8 2022,19676
Alabama,Jun  1 2022,19664
Alabama,May 25 2022,19651
Alabama,May 18 2022,19633
Alabama,May 11 2022,19606
Alabama,May  4 2022,19590
Alabama,Apr 27 2022,19558
Alabama,Apr 20 2022,19523
Alabama,Apr 13 2022,19440
Alabama,Apr  6 2022,19370
Alabama,Mar 30 2022,19284
Alabama,Mar 23 2022,19167
Alabama,Mar 16 2022,18944
Alabama,Mar  9 2022,18694
Alabama,Mar  2 2022,18334
Alabama,Feb 23 2022,18006
Alabama,Feb 16 2022,17748
Alabama,Feb  9 2022,17452
Alabama,Feb  2 2022,17215
Alabama,Jan 26 2022,16914
Alabama,Jan 19 2022,16756
Alabama,Jan 12 2022,16640
Alabama,Jan  5 2022,16502
Alabama,Dec 29 2021,16453
Alabama,Dec 22 2021,16378
Alabama,Dec 15 2021,16303
Alabama,Dec  8 2021,16201
Alabama,Dec  1 2021,16140
Alabama,Nov 24 2021,16099
Alabama,Nov 17 2021,16020
Alabama,Nov 10 2021,15910
Alabama,Nov  3 2021,15668
Alabama,Oct 27 2021,15432
Alabama,Oct 20 2021,15308
Alabama,Oct 13 2021,14979
Alabama,Oct  6 2021,14612
Alabama,Sep 29 2021,14200
Alabama,Sep 22 2021,13665
Alabama,Sep 15 2021,12784
Alabama,Sep  8 2021,12487
Alabama,Sep  1 2021,12292
Alabama,Aug 25 2021,12000
Alabama,Aug 18 2021,11872
Alabama,Aug 11 2021,11689
Alabama,Aug  4 2021,11560
Alabama,Jul 28 2021,11508
Alabama,Jul 21 2021,11459
Alabama,Jul 14 2021,11426
Alabama,Jul  7 2021,11386
Alabama,Jun 30 2021,11350
Alabama,Jun 23 2021,11318
Alabama,Jun 16 2021,11280
Alabama,Jun  9 2021,11241
Alabama,Jun  2 2021,11161
Alabama,May 26 2021,11132
Alabama,May 19 2021,11040
Alabama,May 12 2021,10993
Alabama,May  5 2021,10928
Alabama,Apr 28 2021,10876
Alabama,Apr 21 2021,10799
Alabama,Apr 14 2021,10725
Alabama,Apr  7 2021,10650
Alabama,Mar 31 2021,10547
Alabama,Mar 24 2021,10481
Alabama,Mar 17 2021,10360
Alabama,Mar 10 2021,10219
Alabama,Mar  3 2021,10026
Alabama,Feb 24 2021,9741
Alabama,Feb 17 2021,9347
Alabama,Feb 10 2021,8888
Alabama,Feb  3 2021,8201
Alabama,Jan 27 2021,7169
Alabama,Jan 20 2021,6281
Alabama,Jan 13 2021,5752
Alabama,Jan  6 2021,4987
Alabama,Dec 30 2020,4774
Alabama,Dec 23 2020,4585
Alabama,Dec 16 2020,4196
Alabama,Dec  9 2020,3982
Alabama,Dec  2 2020,3708
Alabama,Nov 25 2020,3528
Alabama,Nov 18 2020,3343
Alabama,Nov 11 2020,3198
Alabama,Nov  4 2020,3003
Alabama,Oct 28 2020,2909
Alabama,Oct 21 2020,2826
Alabama,Oct 14 2020,2706
Alabama,Oct  7 2020,2602
Alabama,Sep 30 2020,2530
Alabama,Sep 23 2020,2465
Alabama,Sep 16 2020,2386
Alabama,Sep  9 2020,2281
Alabama,Sep  2 2020,2211
Alabama,Aug 26 2020,2043
Alabama,Aug 19 2020,1942
Alabama,Aug 12 2020,1879
Alabama,Aug  5 2020,1694
Alabama,Jul 29 2020,1539
Alabama,Jul 22 2020,1364
Alabama,Jul 15 2020,1210
Alabama,Jul  8 2020,1058
Alabama,Jul  1 2020,974
Alabama,Jun 24 2020,886
Alabama,Jun 17 2020,787
Alabama,Jun 10 2020,742
Alabama,Jun  3 2020,650
Alabama,May 27 2020,583
Alabama,May 20 2020,522
Alabama,May 13 2020,448
Alabama,May  6 2020,341
Alabama,Apr 29 2020,255
Alabama,Apr 22 2020,193
Alabama,Apr 15 2020,110
Alabama,Apr  8 2020,65
Alabama,Apr  1 2020,26
Alabama,Mar 25 2020,1
Alabama,Mar 18 2020,0
Alabama,Mar 11 2020,0
Alabama,Mar  4 2020,0
Alabama,Feb 26 2020,0
Alabama,Feb 19 2020,0
Alabama,Feb 12 2020,0
Alabama,Feb  5 2020,0
Alabama,Jan 29 2020,0
