Data Table for Total Deaths - Colorado
Date generated: Mon Dec 05 2022 12:37:26 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Colorado,Nov 30 2022,13609
Colorado,Nov 23 2022,13572
Colorado,Nov 16 2022,13555
Colorado,Nov  9 2022,13497
Colorado,Nov  2 2022,13430
Colorado,Oct 26 2022,13427
Colorado,Oct 19 2022,13378
Colorado,Oct 12 2022,13375
Colorado,Oct  5 2022,13347
Colorado,Sep 28 2022,13326
Colorado,Sep 21 2022,13286
Colorado,Sep 14 2022,13252
Colorado,Sep  7 2022,13220
Colorado,Aug 31 2022,13184
Colorado,Aug 24 2022,13163
Colorado,Aug 17 2022,13132
Colorado,Aug 10 2022,13087
Colorado,Aug  3 2022,13058
Colorado,Jul 27 2022,13008
Colorado,Jul 20 2022,12952
Colorado,Jul 13 2022,12912
Colorado,Jul  6 2022,12859
Colorado,Jun 29 2022,12765
Colorado,Jun 22 2022,12751
Colorado,Jun 15 2022,12694
Colorado,Jun  8 2022,12643
Colorado,Jun  1 2022,12584
Colorado,May 25 2022,12545
Colorado,May 18 2022,12510
Colorado,May 11 2022,12509
Colorado,May  4 2022,12505
Colorado,Apr 27 2022,12495
Colorado,Apr 20 2022,12485
Colorado,Apr 13 2022,12478
Colorado,Apr  6 2022,12464
Colorado,Mar 30 2022,12454
Colorado,Mar 23 2022,12442
Colorado,Mar 16 2022,12432
Colorado,Mar  9 2022,12412
Colorado,Mar  2 2022,12386
Colorado,Feb 23 2022,12350
Colorado,Feb 16 2022,12300
Colorado,Feb  9 2022,12226
Colorado,Feb  2 2022,12092
Colorado,Jan 26 2022,11914
Colorado,Jan 19 2022,11675
Colorado,Jan 12 2022,11374
Colorado,Jan  5 2022,11022
Colorado,Dec 29 2021,10743
Colorado,Dec 22 2021,10559
Colorado,Dec 15 2021,10394
Colorado,Dec  8 2021,10235
Colorado,Dec  1 2021,10018
Colorado,Nov 24 2021,9811
Colorado,Nov 17 2021,9575
Colorado,Nov 10 2021,9279
Colorado,Nov  3 2021,9007
Colorado,Oct 27 2021,8759
Colorado,Oct 20 2021,8509
Colorado,Oct 13 2021,8284
Colorado,Oct  6 2021,8130
Colorado,Sep 29 2021,7965
Colorado,Sep 22 2021,7813
Colorado,Sep 15 2021,7677
Colorado,Sep  8 2021,7563
Colorado,Sep  1 2021,7438
Colorado,Aug 25 2021,7337
Colorado,Aug 18 2021,7248
Colorado,Aug 11 2021,7166
Colorado,Aug  4 2021,7092
Colorado,Jul 28 2021,7032
Colorado,Jul 21 2021,6989
Colorado,Jul 14 2021,6951
Colorado,Jul  7 2021,6911
Colorado,Jun 30 2021,6887
Colorado,Jun 23 2021,6841
Colorado,Jun 16 2021,6818
Colorado,Jun  9 2021,6779
Colorado,Jun  2 2021,6746
Colorado,May 26 2021,6690
Colorado,May 19 2021,6647
Colorado,May 12 2021,6592
Colorado,May  5 2021,6529
Colorado,Apr 28 2021,6460
Colorado,Apr 21 2021,6385
Colorado,Apr 14 2021,6317
Colorado,Apr  7 2021,6261
Colorado,Mar 31 2021,6211
Colorado,Mar 24 2021,6174
Colorado,Mar 17 2021,6149
Colorado,Mar 10 2021,6119
Colorado,Mar  3 2021,6090
Colorado,Feb 24 2021,6056
Colorado,Feb 17 2021,6023
Colorado,Feb 10 2021,5979
Colorado,Feb  3 2021,5927
Colorado,Jan 27 2021,5868
Colorado,Jan 20 2021,5792
Colorado,Jan 13 2021,5687
Colorado,Jan  6 2021,5542
Colorado,Dec 30 2020,5397
Colorado,Dec 23 2020,5242
Colorado,Dec 16 2020,5060
Colorado,Dec  9 2020,4787
Colorado,Dec  2 2020,4388
Colorado,Nov 25 2020,3941
Colorado,Nov 18 2020,3497
Colorado,Nov 11 2020,3066
Colorado,Nov  4 2020,2753
Colorado,Oct 28 2020,2526
Colorado,Oct 21 2020,2320
Colorado,Oct 14 2020,2180
Colorado,Oct  7 2020,2138
Colorado,Sep 30 2020,2095
Colorado,Sep 23 2020,2062
Colorado,Sep 16 2020,2025
Colorado,Sep  9 2020,2005
Colorado,Sep  2 2020,1976
Colorado,Aug 26 2020,1950
Colorado,Aug 19 2020,1914
Colorado,Aug 12 2020,1896
Colorado,Aug  5 2020,1878
Colorado,Jul 29 2020,1864
Colorado,Jul 22 2020,1844
Colorado,Jul 15 2020,1800
Colorado,Jul  8 2020,1766
Colorado,Jul  1 2020,1731
Colorado,Jun 24 2020,1704
Colorado,Jun 17 2020,1686
Colorado,Jun 10 2020,1665
Colorado,Jun  3 2020,1633
Colorado,May 27 2020,1592
Colorado,May 20 2020,1531
Colorado,May 13 2020,1426
Colorado,May  6 2020,1334
Colorado,Apr 29 2020,1239
Colorado,Apr 22 2020,1081
Colorado,Apr 15 2020,898
Colorado,Apr  8 2020,681
Colorado,Apr  1 2020,457
Colorado,Mar 25 2020,59
Colorado,Mar 18 2020,14
Colorado,Mar 11 2020,1
Colorado,Mar  4 2020,0
Colorado,Feb 26 2020,0
Colorado,Feb 19 2020,0
Colorado,Feb 12 2020,0
Colorado,Feb  5 2020,0
Colorado,Jan 29 2020,0
