Data Table for Total Deaths - Connecticut
Date generated: Mon Dec 05 2022 12:37:30 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Connecticut,Nov 30 2022,11587
Connecticut,Nov 23 2022,11572
Connecticut,Nov 16 2022,11559
Connecticut,Nov  9 2022,11527
Connecticut,Nov  2 2022,11478
Connecticut,Oct 26 2022,11448
Connecticut,Oct 19 2022,11423
Connecticut,Oct 12 2022,11402
Connecticut,Oct  5 2022,11385
Connecticut,Sep 28 2022,11365
Connecticut,Sep 21 2022,11342
Connecticut,Sep 14 2022,11316
Connecticut,Sep  7 2022,11294
Connecticut,Aug 31 2022,11269
Connecticut,Aug 24 2022,11195
Connecticut,Aug 17 2022,11180
Connecticut,Aug 10 2022,11164
Connecticut,Aug  3 2022,11130
Connecticut,Jul 27 2022,11102
Connecticut,Jul 20 2022,11092
Connecticut,Jul 13 2022,11084
Connecticut,Jul  6 2022,11051
Connecticut,Jun 29 2022,11045
Connecticut,Jun 22 2022,11034
Connecticut,Jun 15 2022,11015
Connecticut,Jun  8 2022,10999
Connecticut,Jun  1 2022,10973
Connecticut,May 25 2022,10937
Connecticut,May 18 2022,10922
Connecticut,May 11 2022,10882
Connecticut,May  4 2022,10858
Connecticut,Apr 27 2022,10839
Connecticut,Apr 20 2022,10825
Connecticut,Apr 13 2022,10809
Connecticut,Apr  6 2022,10795
Connecticut,Mar 30 2022,10779
Connecticut,Mar 23 2022,10742
Connecticut,Mar 16 2022,10676
Connecticut,Mar  9 2022,10609
Connecticut,Mar  2 2022,10512
Connecticut,Feb 23 2022,10438
Connecticut,Feb 16 2022,10325
Connecticut,Feb  9 2022,10214
Connecticut,Feb  2 2022,10083
Connecticut,Jan 26 2022,9901
Connecticut,Jan 19 2022,9670
Connecticut,Jan 12 2022,9443
Connecticut,Jan  5 2022,9281
Connecticut,Dec 29 2021,9160
Connecticut,Dec 22 2021,9077
Connecticut,Dec 15 2021,9002
Connecticut,Dec  8 2021,8946
Connecticut,Dec  1 2021,8909
Connecticut,Nov 24 2021,8865
Connecticut,Nov 17 2021,8834
Connecticut,Nov 10 2021,8809
Connecticut,Nov  3 2021,8776
Connecticut,Oct 27 2021,8752
Connecticut,Oct 20 2021,8721
Connecticut,Oct 13 2021,8705
Connecticut,Oct  6 2021,8667
Connecticut,Sep 29 2021,8629
Connecticut,Sep 22 2021,8484
Connecticut,Sep 15 2021,8447
Connecticut,Sep  8 2021,8415
Connecticut,Sep  1 2021,8358
Connecticut,Aug 25 2021,8335
Connecticut,Aug 18 2021,8308
Connecticut,Aug 11 2021,8297
Connecticut,Aug  4 2021,8292
Connecticut,Jul 28 2021,8286
Connecticut,Jul 21 2021,8281
Connecticut,Jul 14 2021,8278
Connecticut,Jul  7 2021,8277
Connecticut,Jun 30 2021,8276
Connecticut,Jun 23 2021,8270
Connecticut,Jun 16 2021,8264
Connecticut,Jun  9 2021,8257
Connecticut,Jun  2 2021,8245
Connecticut,May 26 2021,8227
Connecticut,May 19 2021,8204
Connecticut,May 12 2021,8161
Connecticut,May  5 2021,8124
Connecticut,Apr 28 2021,8080
Connecticut,Apr 21 2021,8027
Connecticut,Apr 14 2021,7984
Connecticut,Apr  7 2021,7934
Connecticut,Mar 31 2021,7890
Connecticut,Mar 24 2021,7851
Connecticut,Mar 17 2021,7805
Connecticut,Mar 10 2021,7752
Connecticut,Mar  3 2021,7678
Connecticut,Feb 24 2021,7593
Connecticut,Feb 17 2021,7476
Connecticut,Feb 10 2021,7326
Connecticut,Feb  3 2021,7157
Connecticut,Jan 27 2021,6976
Connecticut,Jan 20 2021,6726
Connecticut,Jan 13 2021,6536
Connecticut,Jan  6 2021,6230
Connecticut,Dec 30 2020,5964
Connecticut,Dec 23 2020,5735
Connecticut,Dec 16 2020,5506
Connecticut,Dec  9 2020,5285
Connecticut,Dec  2 2020,5091
Connecticut,Nov 25 2020,4926
Connecticut,Nov 18 2020,4784
Connecticut,Nov 11 2020,4716
Connecticut,Nov  4 2020,4645
Connecticut,Oct 28 2020,4604
Connecticut,Oct 21 2020,4567
Connecticut,Oct 14 2020,4537
Connecticut,Oct  7 2020,4522
Connecticut,Sep 30 2020,4508
Connecticut,Sep 23 2020,4497
Connecticut,Sep 16 2020,4487
Connecticut,Sep  9 2020,4474
Connecticut,Sep  2 2020,4467
Connecticut,Aug 26 2020,4462
Connecticut,Aug 19 2020,4455
Connecticut,Aug 12 2020,4449
Connecticut,Aug  5 2020,4436
Connecticut,Jul 29 2020,4425
Connecticut,Jul 22 2020,4406
Connecticut,Jul 15 2020,4380
Connecticut,Jul  8 2020,4343
Connecticut,Jul  1 2020,4326
Connecticut,Jun 24 2020,4287
Connecticut,Jun 17 2020,4219
Connecticut,Jun 10 2020,4120
Connecticut,Jun  3 2020,3990
Connecticut,May 27 2020,3803
Connecticut,May 20 2020,3529
Connecticut,May 13 2020,3125
Connecticut,May  6 2020,2718
Connecticut,Apr 29 2020,2168
Connecticut,Apr 22 2020,1539
Connecticut,Apr 15 2020,868
Connecticut,Apr  8 2020,326
Connecticut,Apr  1 2020,85
Connecticut,Mar 25 2020,19
Connecticut,Mar 18 2020,1
Connecticut,Mar 11 2020,0
Connecticut,Mar  4 2020,0
Connecticut,Feb 26 2020,0
Connecticut,Feb 19 2020,0
Connecticut,Feb 12 2020,0
Connecticut,Feb  5 2020,0
Connecticut,Jan 29 2020,0
