Data Table for Total Deaths - Florida
Date generated: Mon Dec 05 2022 12:39:09 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Florida,Nov 30 2022,83095
Florida,Nov 23 2022,82869
Florida,Nov 16 2022,82714
Florida,Nov  9 2022,82533
Florida,Nov  2 2022,82355
Florida,Oct 26 2022,82168
Florida,Oct 19 2022,81905
Florida,Oct 12 2022,81653
Florida,Oct  5 2022,81416
Florida,Sep 28 2022,81138
Florida,Sep 21 2022,80782
Florida,Sep 14 2022,80385
Florida,Sep  7 2022,80029
Florida,Aug 31 2022,79571
Florida,Aug 24 2022,78896
Florida,Aug 17 2022,78480
Florida,Aug 10 2022,78012
Florida,Aug  3 2022,77550
Florida,Jul 27 2022,76974
Florida,Jul 20 2022,76566
Florida,Jul 13 2022,76143
Florida,Jul  6 2022,75860
Florida,Jun 29 2022,75475
Florida,Jun 22 2022,75080
Florida,Jun 15 2022,74841
Florida,Jun  8 2022,74575
Florida,Jun  1 2022,74455
Florida,May 25 2022,74315
Florida,May 18 2022,74166
Florida,May 11 2022,74045
Florida,May  4 2022,73942
Florida,Apr 27 2022,73811
Florida,Apr 20 2022,73683
Florida,Apr 13 2022,73526
Florida,Apr  6 2022,73269
Florida,Mar 30 2022,73010
Florida,Mar 23 2022,72595
Florida,Mar 16 2022,72242
Florida,Mar  9 2022,70997
Florida,Mar  2 2022,69789
Florida,Feb 23 2022,68889
Florida,Feb 16 2022,67571
Florida,Feb  9 2022,66273
Florida,Feb  2 2022,64953
Florida,Jan 26 2022,63757
Florida,Jan 19 2022,63131
Florida,Jan 12 2022,62683
Florida,Jan  5 2022,62470
Florida,Dec 29 2021,62338
Florida,Dec 22 2021,62207
Florida,Dec 15 2021,62010
Florida,Dec  8 2021,61697
Florida,Dec  1 2021,61486
Florida,Nov 24 2021,61053
Florida,Nov 17 2021,60696
Florida,Nov 10 2021,60305
Florida,Nov  3 2021,59604
Florida,Oct 27 2021,58800
Florida,Oct 20 2021,57856
Florida,Oct 13 2021,56649
Florida,Oct  6 2021,55288
Florida,Sep 29 2021,53579
Florida,Sep 22 2021,51240
Florida,Sep 15 2021,48772
Florida,Sep  8 2021,46324
Florida,Sep  1 2021,43979
Florida,Aug 25 2021,42252
Florida,Aug 18 2021,41138
Florida,Aug 11 2021,40171
Florida,Aug  4 2021,39079
Florida,Jul 28 2021,38670
Florida,Jul 21 2021,38388
Florida,Jul 14 2021,38157
Florida,Jul  7 2021,37985
Florida,Jun 30 2021,37772
Florida,Jun 23 2021,37555
Florida,Jun 16 2021,37265
Florida,Jun  9 2021,36985
Florida,Jun  2 2021,36925
Florida,May 26 2021,36642
Florida,May 19 2021,36282
Florida,May 12 2021,35882
Florida,May  5 2021,35485
Florida,Apr 28 2021,35030
Florida,Apr 21 2021,34606
Florida,Apr 14 2021,34167
Florida,Apr  7 2021,33809
Florida,Mar 31 2021,33418
Florida,Mar 24 2021,32854
Florida,Mar 17 2021,32505
Florida,Mar 10 2021,31966
Florida,Mar  3 2021,31263
Florida,Feb 24 2021,30350
Florida,Feb 17 2021,29314
Florida,Feb 10 2021,28209
Florida,Feb  3 2021,27022
Florida,Jan 27 2021,25833
Florida,Jan 20 2021,24581
Florida,Jan 13 2021,23396
Florida,Jan  6 2021,22316
Florida,Dec 30 2020,21544
Florida,Dec 23 2020,20880
Florida,Dec 16 2020,20196
Florida,Dec  9 2020,19473
Florida,Dec  2 2020,18778
Florida,Nov 25 2020,18247
Florida,Nov 18 2020,17732
Florida,Nov 11 2020,17300
Florida,Nov  4 2020,16920
Florida,Oct 28 2020,16566
Florida,Oct 21 2020,16208
Florida,Oct 14 2020,15595
Florida,Oct  7 2020,14907
Florida,Sep 30 2020,14313
Florida,Sep 23 2020,13616
Florida,Sep 16 2020,12937
Florida,Sep  9 2020,12108
Florida,Sep  2 2020,11500
Florida,Aug 26 2020,10733
Florida,Aug 19 2020,9932
Florida,Aug 12 2020,8765
Florida,Aug  5 2020,7627
Florida,Jul 29 2020,6333
Florida,Jul 22 2020,5346
Florida,Jul 15 2020,4521
Florida,Jul  8 2020,3890
Florida,Jul  1 2020,3552
Florida,Jun 24 2020,3283
Florida,Jun 17 2020,3018
Florida,Jun 10 2020,2800
Florida,Jun  3 2020,2564
Florida,May 27 2020,2318
Florida,May 20 2020,2095
Florida,May 13 2020,1827
Florida,May  6 2020,1536
Florida,Apr 29 2020,1218
Florida,Apr 22 2020,893
Florida,Apr 15 2020,596
Florida,Apr  8 2020,309
Florida,Apr  1 2020,87
Florida,Mar 25 2020,23
Florida,Mar 18 2020,7
Florida,Mar 11 2020,2
Florida,Mar  4 2020,0
Florida,Feb 26 2020,0
Florida,Feb 19 2020,0
Florida,Feb 12 2020,0
Florida,Feb  5 2020,0
Florida,Jan 29 2020,0
