Data Table for Total Deaths - Hawaii
Date generated: Mon Dec 05 2022 12:39:40 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Hawaii,Nov 30 2022,1705
Hawaii,Nov 23 2022,1701
Hawaii,Nov 16 2022,1691
Hawaii,Nov  9 2022,1685
Hawaii,Nov  2 2022,1685
Hawaii,Oct 26 2022,1684
Hawaii,Oct 19 2022,1684
Hawaii,Oct 12 2022,1683
Hawaii,Oct  5 2022,1681
Hawaii,Sep 28 2022,1679
Hawaii,Sep 21 2022,1677
Hawaii,Sep 14 2022,1675
Hawaii,Sep  7 2022,1667
Hawaii,Aug 31 2022,1658
Hawaii,Aug 24 2022,1655
Hawaii,Aug 17 2022,1648
Hawaii,Aug 10 2022,1642
Hawaii,Aug  3 2022,1631
Hawaii,Jul 27 2022,1626
Hawaii,Jul 20 2022,1609
Hawaii,Jul 13 2022,1601
Hawaii,Jul  6 2022,1594
Hawaii,Jun 29 2022,1584
Hawaii,Jun 22 2022,1566
Hawaii,Jun 15 2022,1549
Hawaii,Jun  8 2022,1535
Hawaii,Jun  1 2022,1517
Hawaii,May 25 2022,1495
Hawaii,May 18 2022,1479
Hawaii,May 11 2022,1468
Hawaii,May  4 2022,1460
Hawaii,Apr 27 2022,1454
Hawaii,Apr 20 2022,1449
Hawaii,Apr 13 2022,1447
Hawaii,Apr  6 2022,1445
Hawaii,Mar 30 2022,1444
Hawaii,Mar 23 2022,1444
Hawaii,Mar 16 2022,1444
Hawaii,Mar  9 2022,1439
Hawaii,Mar  2 2022,1435
Hawaii,Feb 23 2022,1428
Hawaii,Feb 16 2022,1420
Hawaii,Feb  9 2022,1407
Hawaii,Feb  2 2022,1387
Hawaii,Jan 26 2022,1356
Hawaii,Jan 19 2022,1295
Hawaii,Jan 12 2022,1236
Hawaii,Jan  5 2022,1184
Hawaii,Dec 29 2021,1162
Hawaii,Dec 22 2021,1148
Hawaii,Dec 15 2021,1136
Hawaii,Dec  8 2021,1131
Hawaii,Dec  1 2021,1126
Hawaii,Nov 24 2021,1121
Hawaii,Nov 17 2021,1115
Hawaii,Nov 10 2021,1109
Hawaii,Nov  3 2021,1104
Hawaii,Oct 27 2021,1095
Hawaii,Oct 20 2021,1084
Hawaii,Oct 13 2021,1075
Hawaii,Oct  6 2021,1059
Hawaii,Sep 29 2021,1034
Hawaii,Sep 22 2021,1007
Hawaii,Sep 15 2021,960
Hawaii,Sep  8 2021,905
Hawaii,Sep  1 2021,853
Hawaii,Aug 25 2021,776
Hawaii,Aug 18 2021,718
Hawaii,Aug 11 2021,663
Hawaii,Aug  4 2021,613
Hawaii,Jul 28 2021,582
Hawaii,Jul 21 2021,572
Hawaii,Jul 14 2021,557
Hawaii,Jul  7 2021,546
Hawaii,Jun 30 2021,540
Hawaii,Jun 23 2021,533
Hawaii,Jun 16 2021,533
Hawaii,Jun  9 2021,530
Hawaii,Jun  2 2021,530
Hawaii,May 26 2021,526
Hawaii,May 19 2021,516
Hawaii,May 12 2021,515
Hawaii,May  5 2021,509
Hawaii,Apr 28 2021,501
Hawaii,Apr 21 2021,499
Hawaii,Apr 14 2021,497
Hawaii,Apr  7 2021,493
Hawaii,Mar 31 2021,490
Hawaii,Mar 24 2021,488
Hawaii,Mar 17 2021,485
Hawaii,Mar 10 2021,480
Hawaii,Mar  3 2021,477
Hawaii,Feb 24 2021,472
Hawaii,Feb 17 2021,469
Hawaii,Feb 10 2021,465
Hawaii,Feb  3 2021,463
Hawaii,Jan 27 2021,456
Hawaii,Jan 20 2021,447
Hawaii,Jan 13 2021,440
Hawaii,Jan  6 2021,428
Hawaii,Dec 30 2020,407
Hawaii,Dec 23 2020,399
Hawaii,Dec 16 2020,385
Hawaii,Dec  9 2020,377
Hawaii,Dec  2 2020,374
Hawaii,Nov 25 2020,373
Hawaii,Nov 18 2020,360
Hawaii,Nov 11 2020,350
Hawaii,Nov  4 2020,340
Hawaii,Oct 28 2020,335
Hawaii,Oct 21 2020,331
Hawaii,Oct 14 2020,320
Hawaii,Oct  7 2020,305
Hawaii,Sep 30 2020,288
Hawaii,Sep 23 2020,272
Hawaii,Sep 16 2020,252
Hawaii,Sep  9 2020,229
Hawaii,Sep  2 2020,200
Hawaii,Aug 26 2020,155
Hawaii,Aug 19 2020,106
Hawaii,Aug 12 2020,69
Hawaii,Aug  5 2020,47
Hawaii,Jul 29 2020,33
Hawaii,Jul 22 2020,29
Hawaii,Jul 15 2020,28
Hawaii,Jul  8 2020,23
Hawaii,Jul  1 2020,22
Hawaii,Jun 24 2020,19
Hawaii,Jun 17 2020,16
Hawaii,Jun 10 2020,16
Hawaii,Jun  3 2020,15
Hawaii,May 27 2020,14
Hawaii,May 20 2020,14
Hawaii,May 13 2020,14
Hawaii,May  6 2020,14
Hawaii,Apr 29 2020,14
Hawaii,Apr 22 2020,13
Hawaii,Apr 15 2020,13
Hawaii,Apr  8 2020,10
Hawaii,Apr  1 2020,5
Hawaii,Mar 25 2020,1
Hawaii,Mar 18 2020,1
Hawaii,Mar 11 2020,1
Hawaii,Mar  4 2020,0
Hawaii,Feb 26 2020,0
Hawaii,Feb 19 2020,0
Hawaii,Feb 12 2020,0
Hawaii,Feb  5 2020,0
Hawaii,Jan 29 2020,0
