Data Table for Total Deaths - Idaho
Date generated: Mon Dec 05 2022 13:35:31 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Idaho,Nov 30 2022,5268
Idaho,Nov 23 2022,5251
Idaho,Nov 16 2022,5246
Idaho,Nov  9 2022,5236
Idaho,Nov  2 2022,5225
Idaho,Oct 26 2022,5216
Idaho,Oct 19 2022,5203
Idaho,Oct 12 2022,5198
Idaho,Oct  5 2022,5185
Idaho,Sep 28 2022,5171
Idaho,Sep 21 2022,5164
Idaho,Sep 14 2022,5141
Idaho,Sep  7 2022,5125
Idaho,Aug 31 2022,5115
Idaho,Aug 24 2022,5100
Idaho,Aug 17 2022,5081
Idaho,Aug 10 2022,5059
Idaho,Aug  3 2022,5046
Idaho,Jul 27 2022,5027
Idaho,Jul 20 2022,5010
Idaho,Jul 13 2022,4993
Idaho,Jul  6 2022,4983
Idaho,Jun 29 2022,4969
Idaho,Jun 22 2022,4957
Idaho,Jun 15 2022,4950
Idaho,Jun  8 2022,4942
Idaho,Jun  1 2022,4937
Idaho,May 25 2022,4934
Idaho,May 18 2022,4932
Idaho,May 11 2022,4927
Idaho,May  4 2022,4926
Idaho,Apr 27 2022,4921
Idaho,Apr 20 2022,4916
Idaho,Apr 13 2022,4903
Idaho,Apr  6 2022,4890
Idaho,Mar 30 2022,4871
Idaho,Mar 23 2022,4859
Idaho,Mar 16 2022,4830
Idaho,Mar  9 2022,4806
Idaho,Mar  2 2022,4771
Idaho,Feb 23 2022,4713
Idaho,Feb 16 2022,4633
Idaho,Feb  9 2022,4536
Idaho,Feb  2 2022,4453
Idaho,Jan 26 2022,4357
Idaho,Jan 19 2022,4292
Idaho,Jan 12 2022,4259
Idaho,Jan  5 2022,4192
Idaho,Dec 29 2021,4160
Idaho,Dec 22 2021,4097
Idaho,Dec 15 2021,4057
Idaho,Dec  8 2021,4001
Idaho,Dec  1 2021,3949
Idaho,Nov 24 2021,3891
Idaho,Nov 17 2021,3801
Idaho,Nov 10 2021,3703
Idaho,Nov  3 2021,3600
Idaho,Oct 27 2021,3500
Idaho,Oct 20 2021,3346
Idaho,Oct 13 2021,3186
Idaho,Oct  6 2021,3040
Idaho,Sep 29 2021,2854
Idaho,Sep 22 2021,2687
Idaho,Sep 15 2021,2560
Idaho,Sep  8 2021,2426
Idaho,Sep  1 2021,2370
Idaho,Aug 25 2021,2315
Idaho,Aug 18 2021,2280
Idaho,Aug 11 2021,2235
Idaho,Aug  4 2021,2209
Idaho,Jul 28 2021,2190
Idaho,Jul 21 2021,2179
Idaho,Jul 14 2021,2165
Idaho,Jul  7 2021,2162
Idaho,Jun 30 2021,2152
Idaho,Jun 23 2021,2140
Idaho,Jun 16 2021,2122
Idaho,Jun  9 2021,2115
Idaho,Jun  2 2021,2096
Idaho,May 26 2021,2087
Idaho,May 19 2021,2074
Idaho,May 12 2021,2064
Idaho,May  5 2021,2050
Idaho,Apr 28 2021,2043
Idaho,Apr 21 2021,2027
Idaho,Apr 14 2021,2006
Idaho,Apr  7 2021,1980
Idaho,Mar 31 2021,1962
Idaho,Mar 24 2021,1952
Idaho,Mar 17 2021,1934
Idaho,Mar 10 2021,1901
Idaho,Mar  3 2021,1875
Idaho,Feb 24 2021,1839
Idaho,Feb 17 2021,1816
Idaho,Feb 10 2021,1790
Idaho,Feb  3 2021,1748
Idaho,Jan 27 2021,1714
Idaho,Jan 20 2021,1635
Idaho,Jan 13 2021,1565
Idaho,Jan  6 2021,1488
Idaho,Dec 30 2020,1404
Idaho,Dec 23 2020,1324
Idaho,Dec 16 2020,1229
Idaho,Dec  9 2020,1102
Idaho,Dec  2 2020,991
Idaho,Nov 25 2020,895
Idaho,Nov 18 2020,812
Idaho,Nov 11 2020,732
Idaho,Nov  4 2020,663
Idaho,Oct 28 2020,598
Idaho,Oct 21 2020,546
Idaho,Oct 14 2020,516
Idaho,Oct  7 2020,500
Idaho,Sep 30 2020,469
Idaho,Sep 23 2020,453
Idaho,Sep 16 2020,429
Idaho,Sep  9 2020,407
Idaho,Sep  2 2020,372
Idaho,Aug 26 2020,337
Idaho,Aug 19 2020,289
Idaho,Aug 12 2020,246
Idaho,Aug  5 2020,217
Idaho,Jul 29 2020,173
Idaho,Jul 22 2020,135
Idaho,Jul 15 2020,110
Idaho,Jul  8 2020,98
Idaho,Jul  1 2020,92
Idaho,Jun 24 2020,89
Idaho,Jun 17 2020,87
Idaho,Jun 10 2020,85
Idaho,Jun  3 2020,83
Idaho,May 27 2020,81
Idaho,May 20 2020,76
Idaho,May 13 2020,69
Idaho,May  6 2020,66
Idaho,Apr 29 2020,60
Idaho,Apr 22 2020,51
Idaho,Apr 15 2020,39
Idaho,Apr  8 2020,15
Idaho,Apr  1 2020,9
Idaho,Mar 25 2020,0
Idaho,Mar 18 2020,0
Idaho,Mar 11 2020,0
Idaho,Mar  4 2020,0
Idaho,Feb 26 2020,0
Idaho,Feb 19 2020,0
Idaho,Feb 12 2020,0
Idaho,Feb  5 2020,0
Idaho,Jan 29 2020,0
