Data Table for Total Deaths - Iowa
Date generated: Mon Dec 05 2022 12:40:43 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Iowa,Nov 30 2022,10294
Iowa,Nov 23 2022,10276
Iowa,Nov 16 2022,10253
Iowa,Nov  9 2022,10229
Iowa,Nov  2 2022,10207
Iowa,Oct 26 2022,10177
Iowa,Oct 19 2022,10152
Iowa,Oct 12 2022,10124
Iowa,Oct  5 2022,10096
Iowa,Sep 28 2022,10075
Iowa,Sep 21 2022,10049
Iowa,Sep 14 2022,9993
Iowa,Sep  7 2022,9967
Iowa,Aug 31 2022,9939
Iowa,Aug 24 2022,9905
Iowa,Aug 17 2022,9880
Iowa,Aug 10 2022,9848
Iowa,Aug  3 2022,9816
Iowa,Jul 27 2022,9781
Iowa,Jul 20 2022,9759
Iowa,Jul 13 2022,9718
Iowa,Jul  6 2022,9702
Iowa,Jun 29 2022,9688
Iowa,Jun 22 2022,9679
Iowa,Jun 15 2022,9614
Iowa,Jun  8 2022,9614
Iowa,Jun  1 2022,9599
Iowa,May 25 2022,9586
Iowa,May 18 2022,9570
Iowa,May 11 2022,9554
Iowa,May  4 2022,9532
Iowa,Apr 27 2022,9528
Iowa,Apr 20 2022,9509
Iowa,Apr 13 2022,9474
Iowa,Apr  6 2022,9453
Iowa,Mar 30 2022,9429
Iowa,Mar 23 2022,9385
Iowa,Mar 16 2022,9341
Iowa,Mar  9 2022,9258
Iowa,Mar  2 2022,9170
Iowa,Feb 23 2022,9083
Iowa,Feb 16 2022,8948
Iowa,Feb  9 2022,8829
Iowa,Feb  2 2022,8657
Iowa,Jan 26 2022,8499
Iowa,Jan 19 2022,8317
Iowa,Jan 12 2022,8201
Iowa,Jan  5 2022,8019
Iowa,Dec 29 2021,7858
Iowa,Dec 22 2021,7799
Iowa,Dec 15 2021,7680
Iowa,Dec  8 2021,7445
Iowa,Dec  1 2021,7445
Iowa,Nov 24 2021,7354
Iowa,Nov 17 2021,7268
Iowa,Nov 10 2021,7166
Iowa,Nov  3 2021,7069
Iowa,Oct 27 2021,6965
Iowa,Oct 20 2021,6848
Iowa,Oct 13 2021,6748
Iowa,Oct  6 2021,6651
Iowa,Sep 29 2021,6563
Iowa,Sep 22 2021,6483
Iowa,Sep 15 2021,6401
Iowa,Sep  8 2021,6337
Iowa,Sep  1 2021,6307
Iowa,Aug 25 2021,6268
Iowa,Aug 18 2021,6226
Iowa,Aug 11 2021,6210
Iowa,Aug  4 2021,6193
Iowa,Jul 28 2021,6183
Iowa,Jul 21 2021,6170
Iowa,Jul 14 2021,6158
Iowa,Jul  7 2021,6149
Iowa,Jun 30 2021,6138
Iowa,Jun 23 2021,6120
Iowa,Jun 16 2021,6108
Iowa,Jun  9 2021,6084
Iowa,Jun  2 2021,6061
Iowa,May 26 2021,6044
Iowa,May 19 2021,6018
Iowa,May 12 2021,5993
Iowa,May  5 2021,5961
Iowa,Apr 28 2021,5931
Iowa,Apr 21 2021,5899
Iowa,Apr 14 2021,5856
Iowa,Apr  7 2021,5834
Iowa,Mar 31 2021,5741
Iowa,Mar 24 2021,5687
Iowa,Mar 17 2021,5665
Iowa,Mar 10 2021,5599
Iowa,Mar  3 2021,5499
Iowa,Feb 24 2021,5414
Iowa,Feb 17 2021,5306
Iowa,Feb 10 2021,5175
Iowa,Feb  3 2021,4975
Iowa,Jan 27 2021,4500
Iowa,Jan 20 2021,4394
Iowa,Jan 13 2021,4232
Iowa,Jan  6 2021,4060
Iowa,Dec 30 2020,3822
Iowa,Dec 23 2020,3667
Iowa,Dec 16 2020,3350
Iowa,Dec  9 2020,2676
Iowa,Dec  2 2020,2494
Iowa,Nov 25 2020,2300
Iowa,Nov 18 2020,2099
Iowa,Nov 11 2020,1924
Iowa,Nov  4 2020,1800
Iowa,Oct 28 2020,1690
Iowa,Oct 21 2020,1593
Iowa,Oct 14 2020,1503
Iowa,Oct  7 2020,1418
Iowa,Sep 30 2020,1357
Iowa,Sep 23 2020,1297
Iowa,Sep 16 2020,1248
Iowa,Sep  9 2020,1204
Iowa,Sep  2 2020,1132
Iowa,Aug 26 2020,1071
Iowa,Aug 19 2020,1010
Iowa,Aug 12 2020,953
Iowa,Aug  5 2020,900
Iowa,Jul 29 2020,854
Iowa,Jul 22 2020,814
Iowa,Jul 15 2020,775
Iowa,Jul  8 2020,736
Iowa,Jul  1 2020,716
Iowa,Jun 24 2020,689
Iowa,Jun 17 2020,675
Iowa,Jun 10 2020,631
Iowa,Jun  3 2020,573
Iowa,May 27 2020,496
Iowa,May 20 2020,393
Iowa,May 13 2020,306
Iowa,May  6 2020,218
Iowa,Apr 29 2020,148
Iowa,Apr 22 2020,90
Iowa,Apr 15 2020,53
Iowa,Apr  8 2020,27
Iowa,Apr  1 2020,9
Iowa,Mar 25 2020,1
Iowa,Mar 18 2020,0
Iowa,Mar 11 2020,0
Iowa,Mar  4 2020,0
Iowa,Feb 26 2020,0
Iowa,Feb 19 2020,0
Iowa,Feb 12 2020,0
Iowa,Feb  5 2020,0
Iowa,Jan 29 2020,0
